Address,Allocation %,Type,Sum
0x26AF0D4C44c6bB3031A673Fea70c05A2DFa0456f,10.00000000000000%,Developer,99.98650000000780%
0xDB1357f18BD95Ef88F6713E299F57af2E2B7C106,2.85714285714286%,LP,
0x1b958EC4dDF78F1c4ed2ee25D67a76c4881ff159,2.85714285714286%,LP,
0xddAcAd3B1edee8E2F5b2e84f658202534fcb0374,2.85714285714286%,LP,
0x3EA1fE3E024A1D5c07136E0D872841B8992078ac,2.85714285714286%,LP,
0x4A6EA8dd90c1b8b809875e684b1F261dd96f6c6B,2.85714285714286%,LP,
0x24F2a38D7a0e228d8aD6A1A762C474aFf99D0408,2.85714285714286%,LP,
0x7127A84aC60CdD9877ea654DcDd5d8653141b009,2.85714285714286%,LP,
0xcffad3200574698b78f32232aa9d63eabd290703,0.00075026259191%,SHRAP Holder,
0xf3b0073e3a7f747c7a38b36b805247b222c302a3,0.00075026259191%,SHRAP Holder,
0xd4b69e8d62c880e9dd55d419d5e07435c3538342,0.00075026259191%,SHRAP Holder,
0xad36a77d9a10fa7ac41bcd25abfcb8b4ad24cb7f,0.00075026259191%,SHRAP Holder,
0xdbeeb6550a55f89a906eb128ecc0fe371ae96ca9,0.00075026259191%,SHRAP Holder,
0x151c5249337b6bf433f63d127550d18540ea889f,0.00075026259191%,SHRAP Holder,
0x047cf708bece1fc43bf2de3fb7090f3eaf17b677,0.00075026259191%,SHRAP Holder,
0x7df301c4529c58546527f5b912c74ecccad0ae2d,0.00075026259191%,SHRAP Holder,
0xbbbd51b8b8915c909bcd875923d16909847eea71,0.00075026259191%,SHRAP Holder,
0xf7f8a31dd7810abcc4a8c5a7c2247abe9cb5f16c,0.00075026259191%,SHRAP Holder,
0x2651e6689c17c9f807d16a2fda87b0433c78411e,0.00075026259191%,SHRAP Holder,
0x66253b9012b4ea899f634be550ff647a63884448,0.00075026259191%,SHRAP Holder,
0x444804e050961823d66c60cad8ce7c8bf80ee7c2,0.00075026259191%,SHRAP Holder,
0x5cd4bb2a9f502d68b7ff2d4bd8b963d6b253d35b,0.00075026259191%,SHRAP Holder,
0x46340b20830761efd32832a74d7169b29feb9758,0.00075026259191%,SHRAP Holder,
0xa2f5e5228e47af487fa426c0b01a0af1d5c115c0,0.00075026259191%,SHRAP Holder,
0x92a63b9b045bd1c48a1ca5505d00acc8e6251ded,0.00075026259191%,SHRAP Holder,
0x96cd84bae5d20b65b663aa9331a7299fa776612a,0.00075026259191%,SHRAP Holder,
0xf51c9c875e89d9075fa97dc39232d72438f4bce0,0.00075026259191%,SHRAP Holder,
0x7268c398c67f9de9b9b463c79eba084f0bd8368e,0.00075026259191%,SHRAP Holder,
0x9a539f692cde873d6b882fc326c8d62d4cea8048,0.00075026259191%,SHRAP Holder,
0x87f2365a544078770c1e711375f01317906e1378,0.00075026259191%,SHRAP Holder,
0xd8d6ffe342210057bf4dcc31da28d006f253cef0,0.00075026259191%,SHRAP Holder,
0x05a8bf717c2b1a56782dc7753f01bcd2088d5c9c,0.00075026259191%,SHRAP Holder,
0x422991b35624c14a16c79779f4cc560d91f0b3a0,0.00075026259191%,SHRAP Holder,
0x7d80bcf7b18c77f772d130d5b04a34aa3d24852c,0.00075026259191%,SHRAP Holder,
0x872b6c97bd7b73e7c700442a2a5415435c2317e7,0.00075026259191%,SHRAP Holder,
0x6320681f5a5e6e96040fe853f65f4f75a2a7c53f,0.00075026259191%,SHRAP Holder,
0xbe6394b772f814e8e3e75c9f244670151c0c99ee,0.00075026259191%,SHRAP Holder,
0x4db1d3391407c04bb6a61bf3ad9b5a8cf4722860,0.00075026259191%,SHRAP Holder,
0x6e378648324db9d02844cdabf420ba6d5e1ad28c,0.00075026259191%,SHRAP Holder,
0xee3cbcf85f1c2ab6573db1c1be822f686219bcd2,0.00075026259191%,SHRAP Holder,
0x598f8e407ff0c1cd51a8851a2b2561413ec7dd1b,0.00075026259191%,SHRAP Holder,
0xb19e3b8cb4947debfb2b4e4a241275bda626282b,0.00075026259191%,SHRAP Holder,
0x865911efdfe06756914d59882d4f681295a53205,0.00075026259191%,SHRAP Holder,
0x45bcdde84248d1eec62f5831f4248e594bef14e3,0.00075026259191%,SHRAP Holder,
0x57da4198c2aa5c8e7242575126612f02796cf123,0.00075026259191%,SHRAP Holder,
0x09db59efd2cd76e43e57491129df407d07138492,0.00075026259191%,SHRAP Holder,
0x9a375d661e08c45299837ee72f7a5530230068ea,0.00075026259191%,SHRAP Holder,
0x69c2fafb83ab510957eb32abae3d28192638aebe,0.00075026259191%,SHRAP Holder,
0x0daaa9c5be58d9db2dfab598cb5135b0f45d80c9,0.00075026259191%,SHRAP Holder,
0xa2fa6a7ad372012b860a67e94478705b2de81d02,0.00075026259191%,SHRAP Holder,
0xf4da9d337fe1264819852904002224c61044b5f0,0.00075026259191%,SHRAP Holder,
0xbf581fd76702809a0ec962b39f064b28cc510b89,0.00075026259191%,SHRAP Holder,
