Address,Allocation %,Type,Sum
0x565336703d10178b375338e8026e820AEE2DAeA5,10.00000000000000000%,Developer,100.00000000000200000%
0x0e58a55ee2c6fd3b31acbd0f1cfa5d0f588719d0,3.29516129032258000%,User,
0x21f0ab9b85f8b9d8cde5aeaa15f38d078710e9c7,3.00483870967742000%,User,
0x7ce26acca0512280cf5a8dd4b79f7bbc19bb1145,2.46774193548387000%,User,
0x8a08e3ce6ced24d376a13c544e45d4dda02fafea,2.42419354838710000%,User,
0x78f0911af7a1114be620bcadc067a1b059948b24,1.85806451612903000%,User,
0x50997fcee2ca672d765afe0b9b18306a78a44884,1.58225806451613000%,User,
0x53d99dbbff3e6d6bbf6c44b071dd0cb549a6c652,1.55322580645161000%,User,
0xc9dca2d1d24b3e59934654047fe77acbf23d19e3,1.55322580645161000%,User,
0x88529d2289d47e9339938f25f2e56a33c91671cb,1.49516129032258000%,User,
0xf67d3717e963413fbae5a59494b32ee5d24da662,1.43709677419355000%,User,
0x30f3656d89034f7d4a4afc81975c439f9ab5102e,1.42258064516129000%,User,
0x9d0f09f475a2b539a34f94dfbf2cfdacf9b72377,1.36451612903226000%,User,
0xb3f29c7b7e81e90d6d1ff334ed6f59b2a257c2b9,1.16129032258065000%,User,
0x2d1144ce0c6d7845d134b22bffb62f8c6be2c6a0,1.08870967741935000%,User,
0xf30e298928709c498a8c847d2c1317df16d15cd5,1.08870967741935000%,User,
0xbb20580db0b59c1b51ddc4519455b4430835f57b,1.07419354838710000%,User,
0x6ae61f9d7c3fd9938c6290e1cbf39c017662e488,0.97258064516129000%,User,
0x51650898e81fcbf133b2cf68dbf009f7bfc4712b,0.95806451612903200%,User,
0xdb22ca143f6396ad289c79cdfa5cc47f65884162,0.87096774193548400%,User,
0x1e094ed9dfe65b02fd4dd14c046ac6b413d383a2,0.85645161290322600%,User,
0xb549e9891c7a2a5081305a003bbb02ac2ce308a6,0.74032258064516100%,User,
0x8066d1c7a8b6d044fadbc9cbbe3c70f82f1970e4,0.72580645161290300%,User,
0x433c8a73bec1273561e4e2201649de12f20b7d58,0.68225806451612900%,User,
0xeb5f66dd442e5654750ba01757f2df322ff0d8de,0.63870967741935500%,User,
0x8f7881423d4b4b9120ecccfa32b864a74cf1181d,0.63870967741935500%,User,
0x002747ef871cd694d33fb030b5b1fc86e9213af5,0.62419354838709700%,User,
0x03040c5bc2a6341037f1fb81310d87d9c990780d,0.60967741935483900%,User,
0x9cf61a4c89e8934022b77c70ad9c87c8b0d136ae,0.58064516129032300%,User,
0xdabb4f7b7ac84b41ce77a971f84e0e24ca5d3111,0.58064516129032300%,User,
0xf93aaffd6c5826db7d17094dffd2ad0d36c07ecb,0.56612903225806500%,User,
0x3817ce16931f0a06cab45e0fb8f740eab683e287,0.53709677419354800%,User,
0x76e241c45db5c2f661d2a23591ab3ef2dc2248d0,0.53709677419354800%,User,
0xd53156caa14167b8f5d0722b584e32666479f170,0.53709677419354800%,User,
0x0d5b5a7a5cabed747bdd5c710f4e7d6f023953ed,0.50806451612903200%,User,
0xcac624276df3ba84bbb68270769a49a1e5c270d3,0.50806451612903200%,User,
0x556f6c8889d9cdb63d7e3c54aaa96afd4708277c,0.49354838709677400%,User,
0xa1922c47aa67c41b1c1e877e9919f5ef29c99373,0.46451612903225800%,User,
0x68a98d4825c8681716a5ef65e10692325f73cfc0,0.45000000000000000%,User,
0x225430f0f9945f6f0b660bb6a543a5bed2566492,0.43548387096774200%,User,
0x49e482a17ced473be06797c3f384b9f0e24068bd,0.40645161290322600%,User,
0xc534383486dec031ceb464117a81a8de537c0de1,0.37741935483871000%,User,
0xf8fd6b269acd7aa144424140cbb26c5a4e5dc5bc,0.36290322580645200%,User,
0x2acbfbe460d6cfeaade79f219c9c5fb1442db906,0.36290322580645200%,User,
0x5d23dba47f5257a017e8a4504bbf45f72e93b795,0.34838709677419400%,User,
0x6a95cd0027ee17a64b8e608a4fc3580e9c890991,0.34838709677419400%,User,
0xc02d74ca6b6f0a02f0d9f5d6735295b91fab5d14,0.34838709677419400%,User,
0x1abbe1d6502d082acef986870f3586ce136ee159,0.33387096774193600%,User,
0x6c64f2cfe196d70e29f1a3e6b87cba4f305b29f8,0.33387096774193600%,User,
0x2fec847350206e96aa40f39a544353f1bf64215d,0.33387096774193600%,User,
