Address,Allocation %,Type ,Sum 
0x0d9726458624d812EB83196ce8ff5C83798A4A29,10%,dev,100%
0xf82a991947e4799945a5293bfdff2aa63742ee4e,0.01%,Bridge Users,
0x1d05d4e1584be59db98d46d8027d4a1efbff99e4,0.01%,Bridge Users,
0x4fb0fba1e45d40bd605959bcc5e571f35867964f,0.01%,Bridge Users,
0x222eee20cdb18b80352f906e0ae1cf4b70d7b413,0.01%,Bridge Users,
0xa4f2374b56badd4516dcca20a81c8a8b678f33ea,0.01%,Bridge Users,
0xd53f0b61f6c4725ac2f8dd9568b89d63b1523c36,0.01%,Bridge Users,
0x37a87e634240dc0ee4a201d52bce2774efd4b602,0.01%,Bridge Users,
0xa232a6a4c158143085a22b967de45f239445b9db,0.01%,Bridge Users,
0x9d89d5a4600c4c59df5d8a3939427da9dcffb938,0.01%,Bridge Users,
0x3de5f0972155f84e5a31063e4be8da4c5a820051,0.01%,Bridge Users,
0x12a0a400feb541e16d4c1ea5fc32bd750b44b84b,0.01%,Bridge Users,
0xda17875498e58904ce8d343d2ee66a6967f6d10b,0.01%,Bridge Users,
0xd420a727ea9c45876f57740288efd580192f1622,0.01%,Bridge Users,
0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,0.01%,Bridge Users,
0x562c432e009a645c1751c8ed645ea91baa2ae682,0.01%,Bridge Users,
0xe4a59c196346544a23c7bcc63752edf74f1942d3,0.01%,Bridge Users,
0xffebaf265d6653c40e635f5c7891089dc4c8e9be,0.01%,Bridge Users,
0x368cb4212abd097f35efcd34e291b6ee1d60e622,0.01%,Bridge Users,
0x0365e8572f7ee20418fdcb2d32ec6632e90d1411,0.01%,Bridge Users,
0x73d59fcfea1acb2ac249a3654a6111fff020cbf8,0.01%,Bridge Users,
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0.01%,Bridge Users,
0x1039c07f482fb6d71adc2d18293e54807e9b4368,0.01%,Bridge Users,
0xca74f404e0c7bfa35b13b511097df966d5a65597,0.01%,Bridge Users,
0xf9305cdca6b6975f9baef556b17c026b790ba931,0.01%,Bridge Users,
0x9d221582d9e4716f7a5102bacbb4dafc17e876df,0.01%,Bridge Users,
0x9ac0233a97b0005462f7d65943b8cf6d7d074280,0.01%,Bridge Users,
0xb79cdf3ab15fdbbbfd956274c48a12e13f045bff,0.01%,Bridge Users,
0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0.01%,Bridge Users,
0x18621132c28c5ffe4fdd4cbe6b7c8bfbfa46b728,0.01%,Bridge Users,
0xb85626ce729bd932efd2b8143fa65d13af8d5e92,0.01%,Bridge Users,
0x628eada15af981010c79f4083ccaa7ee322b78d8,0.01%,Bridge Users,
