Address,Allocation %,Type,Sum
0x86d8b7F2E1eB8D1b606138a4245Ad8A0b614Eb7a,0.714285714285714%,Developer,100.00%
0x2e67318ac8299a675cfa7f08b657559ed792ca8e,0.714285714285714%,Developer,
0x129f08A68d8F23194702D801E9eB9a3860556d22,0.714285714285714%,Developer,
0xF519A211307469e0B7BeD209F54D8E7d1e3f25C4,0.714285714285714%,Developer,
0xcF8CFd650a56E47F3595710a0a4E588127546999,0.714285714285714%,Developer,
0x12B021A2e543dDD0471a2a0893b5b8b7Db156e61,0.714285714285714%,Developer,
0x21556de9c584cd979c78b6aD6C6d0931409aFCcA,0.714285714285714%,Developer,
0xedf513b2dda9425ba70c54fcf762c041730ce115,0.714285714285714%,Developer,
0x80d38D0f1a056ABCC4C06Eca377d54F6702933d3,0.714285714285714%,Developer,
0xb40f71ad90977E8F351536dfcB42474b429FcCFB,0.714285714285714%,Developer,
0x7Ae8a5ea87b6056aD1D7d696Ac99ee9f1A415e9a,0.714285714285714%,Developer,
0x91D999B8593fEAAAAb158476708FA01127565525,0.714285714285714%,Developer,
0x08A0Cd7E52688e83DC3EC4561A19Aa3bD9E4d75D,0.714285714285714%,Developer,
0x2e00Bc96a8b21756596dD3B27c4c548316c0b0a6,0.714285714285714%,Developer,
0xa62e88e3edbd300791e9ccee06b66462b608d5b8,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x19c43f8bfb4f13c217094adf6df1f9f51b677e61,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x18169bbfb40bfc3896b28697b174bcb2a5b7581c,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x25ffec77db3f9071bf0c9414d6c67f7f384b135c,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x7ecd3fc5c664051f8315616173e96ac7c89ebcf8,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x260062222781bdfcd00c9d3000459b4eb2e48a0e,0.769230769230769%,Users who bridged an NFT using LayerZero,
0xa9dea8370828bfa23d0df14d76908c1bd233e67f,0.769230769230769%,Users who bridged an NFT using LayerZero,
0xb87186765f4951dce0342fabda15b8966513a464,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x3fc8b3bc52cbac9335978e7f0fe3a7f4ac712acb,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x0f10abd1fdf897a831692fc5b28fda12ef685323,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x91a799f331e58b8f734c116c548ad7963b83dd92,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x62f05be70ffee4dc631009bc96c6573ba14481e6,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x718a8c40a8d382330d886f3bbfe59d9b992777e2,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x7b619744e17158dc2a53aec56c734f9195007f49,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x444c44e6c579aa4b812d50254fa1540c93bd8b20,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x6383f822e882cb960a9aa06b2c40a699dc4ba269,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x87a713b4551c35f87c502ddc5dd879d6e46e835c,0.769230769230769%,Users who bridged an NFT using LayerZero,
0xf24d4253ab9dc267f709ff1fae8fd4774aff2860,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x0e9b3bdc2ad4cda19c1a1e87b70e40c1faa70103,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x3cb1cf92ad2e04da6bc6c1e05e52164617e11e81,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x6047eb37d54cc9d98b84b837a85bea37aa62243f,0.769230769230769%,Users who bridged an NFT using LayerZero,
0xd15099f506f5d3fc5a5e4fc81980659815f17f6f,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x71a39888d33da9a2393e5fc0be1b593862f1f88d,0.769230769230769%,Users who bridged an NFT using LayerZero,
0xd2a2b456c6c73c9eda24e27fc7f823ce8bd9dc2e,0.769230769230769%,Users who bridged an NFT using LayerZero,
0xc8fe3c5bf5566c0ce664826b657c40bc0218c18c,0.769230769230769%,Users who bridged an NFT using LayerZero,
0x5a3fcbfb81070b393296a809a305b4ca43608ba5,0.769230769230769%,Users who bridged an NFT using LayerZero,
0xa62e88e3edbd300791e9ccee06b66462b608d5b8,0.410958904109589%,Users who have a transaction on Singular,
0x86d8b7f2e1eb8d1b606138a4245ad8a0b614eb7a,0.410958904109589%,Users who have a transaction on Singular,
0x80d38d0f1a056abcc4c06eca377d54f6702933d3,0.410958904109589%,Users who have a transaction on Singular,
0xe99d09054e07b4b44e0a12350613c9005a661c3d,0.410958904109589%,Users who have a transaction on Singular,
0xc7ed9e61a685b65d12d3e1e967e4aff2e1b55b09,0.410958904109589%,Users who have a transaction on Singular,
0x429f13e4ec5e57c9ae2388c5020e372f73fe168a,0.410958904109589%,Users who have a transaction on Singular,
0x00000000e6c69368eeba9dff99fde5dc3368d04c,0.410958904109589%,Users who have a transaction on Singular,
0x19c43f8bfb4f13c217094adf6df1f9f51b677e61,0.410958904109589%,Users who have a transaction on Singular,
0x73546b4a2ae0754f509c2123e2cd65dcb4b9c24a,0.410958904109589%,Users who have a transaction on Singular,
0x18169bbfb40bfc3896b28697b174bcb2a5b7581c,0.410958904109589%,Users who have a transaction on Singular,
0xe84ba89684eb4f7ae813d508aaf806ae50243a6f,0.410958904109589%,Users who have a transaction on Singular,
0x25ffec77db3f9071bf0c9414d6c67f7f384b135c,0.410958904109589%,Users who have a transaction on Singular,
0xb5c628a53b3bb0de8a3d17df93ae952358a1afcf,0.410958904109589%,Users who have a transaction on Singular,
0x7ecd3fc5c664051f8315616173e96ac7c89ebcf8,0.410958904109589%,Users who have a transaction on Singular,
0x08ebfdb527eb9215e05cc5959aefaf68df0f7e76,0.410958904109589%,Users who have a transaction on Singular,
0xa9dea8370828bfa23d0df14d76908c1bd233e67f,0.410958904109589%,Users who have a transaction on Singular,
0x9c6fe744be395305aaa558aa433de56f83b1e364,0.410958904109589%,Users who have a transaction on Singular,
0xb87186765f4951dce0342fabda15b8966513a464,0.410958904109589%,Users who have a transaction on Singular,
0x6ebbd2f1ce30b0b9e61ae35344255a80fdfa9e5e,0.410958904109589%,Users who have a transaction on Singular,
0x4d534e042f53604a53ca9fb3680f69e01e1f0365,0.410958904109589%,Users who have a transaction on Singular,
0xa56efd45012c2ab743a3a6f35cabc87a446d2780,0.410958904109589%,Users who have a transaction on Singular,
0x3fc8b3bc52cbac9335978e7f0fe3a7f4ac712acb,0.410958904109589%,Users who have a transaction on Singular,
0x0f10abd1fdf897a831692fc5b28fda12ef685323,0.410958904109589%,Users who have a transaction on Singular,
0x00bacc98afd2fe088e5c666db02f83d41ac6fcd3,0.410958904109589%,Users who have a transaction on Singular,
0x62f05be70ffee4dc631009bc96c6573ba14481e6,0.410958904109589%,Users who have a transaction on Singular,
0x805b8462d6025dfc663a65c9db832c7cf94f01e2,0.410958904109589%,Users who have a transaction on Singular,
0xb40f71ad90977e8f351536dfcb42474b429fccfb,0.410958904109589%,Users who have a transaction on Singular,
0x4ad12b4636b1a617e75461314c962361b380a9aa,0.410958904109589%,Users who have a transaction on Singular,
0x718a8c40a8d382330d886f3bbfe59d9b992777e2,0.410958904109589%,Users who have a transaction on Singular,
0x7b619744e17158dc2a53aec56c734f9195007f49,0.410958904109589%,Users who have a transaction on Singular,
0x444c44e6c579aa4b812d50254fa1540c93bd8b20,0.410958904109589%,Users who have a transaction on Singular,
0x0aeb18af829538d4f8feab4d8d0a073491174969,0.410958904109589%,Users who have a transaction on Singular,
0x58938ed7566b1cdb70a4c9f5e537ed18e36303f8,0.410958904109589%,Users who have a transaction on Singular,
0x8b7a53c4ecca2343c05f4c57533017f8e5b12ac5,0.410958904109589%,Users who have a transaction on Singular,
0x6383f822e882cb960a9aa06b2c40a699dc4ba269,0.410958904109589%,Users who have a transaction on Singular,
0x87a713b4551c35f87c502ddc5dd879d6e46e835c,0.410958904109589%,Users who have a transaction on Singular,
0xf24d4253ab9dc267f709ff1fae8fd4774aff2860,0.410958904109589%,Users who have a transaction on Singular,
0x0e9b3bdc2ad4cda19c1a1e87b70e40c1faa70103,0.410958904109589%,Users who have a transaction on Singular,
0x7d3990c6a568ab3b33a7eb8bcf9d9db0b388dffd,0.410958904109589%,Users who have a transaction on Singular,
0xc22381d831ee51a831cc46e021c7e8eab7dada29,0.410958904109589%,Users who have a transaction on Singular,
0xbd0a3e270c38f3096f75c69890f77508e762ae8e,0.410958904109589%,Users who have a transaction on Singular,
0x545ab213e8fe038210308b84de00a547ca25b550,0.410958904109589%,Users who have a transaction on Singular,
0x888e38214437b56191a636229a44fa57dd89434d,0.410958904109589%,Users who have a transaction on Singular,
0xb4c41edc2d6ab7cf5a5df94d8f22cf5ce1055418,0.410958904109589%,Users who have a transaction on Singular,
0x9501e9c8ad4b193069cfbd36351b3fdfa4cd342f,0.410958904109589%,Users who have a transaction on Singular,
0x3cb1cf92ad2e04da6bc6c1e05e52164617e11e81,0.410958904109589%,Users who have a transaction on Singular,
0x78912cb6b7fd599b3e96e21a15f1b0c2081ef33d,0.410958904109589%,Users who have a transaction on Singular,
0x733a2c9c576b1056b2161640d0ae7fccee27ec71,0.410958904109589%,Users who have a transaction on Singular,
0x56b2826cd764059d537338ee78b6dcfbb457847b,0.410958904109589%,Users who have a transaction on Singular,
0xf670f4451fbf4430e58a65119202c0773a60b24e,0.410958904109589%,Users who have a transaction on Singular,
0x578c7dfafff50179e0171e70cbe5542218f6663f,0.410958904109589%,Users who have a transaction on Singular,
0x4d8eecd352a245554811814fcf055827494fb4a8,0.410958904109589%,Users who have a transaction on Singular,
0xe0ecfaf547c2205b3965e1430b8b01416fb1bfc2,0.410958904109589%,Users who have a transaction on Singular,
0xc7461c16f101ccd03e026814ad91cddc2cfbafbb,0.410958904109589%,Users who have a transaction on Singular,
0x17c15d052e56e33a2ed31aba0bc21181e78c1bf2,0.410958904109589%,Users who have a transaction on Singular,
0x9df0936c2ff484cbc41573d1d1b3eb1816cfcbfa,0.410958904109589%,Users who have a transaction on Singular,
0x1aee1ef71dc05cbb3bc86a1f0ad7c367878076c8,0.410958904109589%,Users who have a transaction on Singular,
0xa65f292a89ff42cc7b38c7a33549b4fafb84c98d,0.410958904109589%,Users who have a transaction on Singular,
0xd6e5a614aed66ecd540c4a065a3db0dec61012db,0.410958904109589%,Users who have a transaction on Singular,
0x1daee58a6b1b75f99327ebe9fbfa0652feb82aae,0.410958904109589%,Users who have a transaction on Singular,
0x1e7d75e49e0236d9d27aa93ab1dff7aac523499c,0.410958904109589%,Users who have a transaction on Singular,
0x2807de9820ed5760e5bb977064a0cf591f71bd2b,0.410958904109589%,Users who have a transaction on Singular,
0xb8f4383637c13f2ac472e96b46c46a2bf69c6270,0.410958904109589%,Users who have a transaction on Singular,
0x4ca19be8160cdb78176c89204402888a553bc83a,0.410958904109589%,Users who have a transaction on Singular,
0x84288c0ec9696d3372fab76eacc6007cda5bf542,0.410958904109589%,Users who have a transaction on Singular,
0x5e4698f379a65dd1288b73c1af3c85daf86b7d43,0.410958904109589%,Users who have a transaction on Singular,
0xb4009c1096ca903966212a3096afc88f2ba9088b,0.410958904109589%,Users who have a transaction on Singular,
0x32b0cb6280994dee658b966c99e5348ea0202c36,0.410958904109589%,Users who have a transaction on Singular,
0x3070665ff6e9d9877807c2c7db75dad710c44d94,0.410958904109589%,Users who have a transaction on Singular,
0x733d6295dbb57ca1f680fcbc00c128276237e759,0.410958904109589%,Users who have a transaction on Singular,
0xf4e62670314b948b73cddb54f95dd23be2e49291,0.410958904109589%,Users who have a transaction on Singular,
0x493dbb0d0921fbe8e04b63acd34e305ffb55d626,0.410958904109589%,Users who have a transaction on Singular,
0xbe7b985946454e9421317c9e1058e7fe43170b88,0.410958904109589%,Users who have a transaction on Singular,
0x0212decfa4a6ea325cc111b7e5761e707eb3b498,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x029464e0bc3da94865656d7af682acc6c00c9a82,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x02a9be2cecddee603c00f8a3ea7abd9beafb4ed5,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x031894f3f9ec387a56d0529db7cf056a8c337447,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0339b508cc9b68d6bc025126996746870117a0dd,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x04076832e55dd059a6d61355c0bcc670ab040f41,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x042b2c0a460930d5ddb119c7308946e349a582fb,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x04d6c31207fbe36e836434806b7aea4125f58375,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x04f20a93bd5f28495b8d1ba67dc1a2efa085ac66,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0539d43f7d251b0b5df9322893ffb6c83747c23f,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x053efa0558ddd0ccee1cdc335a2ea39c72e96bcd,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0581780c52ef32af755a360e62776dbacbbd72ce,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x05e37a012d90796fba8cb780bebeaf5a7cc79b35,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x06efd10e33d370f5643264f1e1ab3d19b8867af1,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x07473e3565fe659d86a4669cdface687fb7caf83,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x07ec69a9b174240db7834b9eadfd0e093a0f0586,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x089514a87898255a1c82a84f9b90a8c5c6e45923,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x08abfbd0745609f0c9b1ab5b7c0b5db083ffa209,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x091fd6564b7c030b14a6c89c81fe12f206e84e0b,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x09285460b5f825bd5fbb9777a3bb78ca570c3b37,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x093d00a157032ac84ac05c297ec0d7e03b913737,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0a031b576d88ed91b80567d3a491f657e6367701,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0a0c5edb6cde9fbe15416de58a7469b861948047,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0af1fcbfd4c7916d6b5582b1a1483d1809adf412,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0b28b68d4183c1e815cf5fef296076681477951b,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0b84da39d006c40322d04a10772f2f36118769f2,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0b981f8411f6c48c0787dce9589a1193978c2781,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0ba0c95df4d90e870f6bf3bc057dd2fdc1335e0d,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0c14d87c9af50cab3e4a9af5b63e0a634c05cb9f,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0c836e88d13fff45180be06a0a6a17373a44a695,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0cc35c7019da041b960d9b13c8056e1df08a2d54,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0cdca936fab6188e02424c6427031724598e155f,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0d56e185203b6d4f96f9e6a7cd93ae12c39576ee,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0e1221f0798a14459b51239d11ed9a9aa9d8ef6d,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0e193531f2e94509d5390ebd49c1e4eb418d5e11,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x0e7b2f2a5a6c5f603a0e44ffd10ed860458f71cc,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1006c693f9ab1b6dbc3620d4a85436a9ac0b25b7,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x102724ee1d62009a5d0524c64e0f2059e20b9347,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1093cdfab0ea95b0b5d7c83157545933d90bf461,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x10e211063dad051f66b1227088e70d798642de77,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x111b5c54f95e67efc2660e751079ee1e296bbfff,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x116a2a7d7581251f5cb94ebb58d999fae97a9e79,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x116dae001c293b72d06e9f1d0c30057b10703deb,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x11b6493f012f17d4f775aa652c025ecc5c812d87,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x11c1466990713c3115c485eb035bede157ee8d74,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x127618d3a0796f5098e470a135208c9948751a73,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x13361aab79b434f33ef31d6ff69375c63381d42a,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x13493c9ab3a051b360f61faeb6cc4800ad0bda08,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x13577ec52a5a00adad600fba7d7d3bf32a389cc1,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x14f89ff3d8fb453a220ca380b1ad8cea53056825,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1546b32b5682101b33f091563d2ca0fcc953a29f,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x16e4a9c7a880026e1c090b3b4c689f36e1bdd09d,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1714233f2d6c7b8e2f0d4d299173d2c6848f8275,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x17948bee8ec159eae4466eec51934ec18c851c42,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x17a150e017b29cd676652f8e23922982898f0df6,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x17ec71808c7b9bb31969ddf4e5ac480ac02a05af,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1818ba347cb834bb9afcdf06389fe57d362acf21,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x19276f23c80a523d5e9ff8bc6cd094b3a5977b9c,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x19f4de6e8a88c08daf90c35b0a21490b59d66d00,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1a73dc206a05202ceb31724853195165600437c6,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1a8bfa6d4119be3e7ab1f6ad26f210c07d700cfb,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1aad03a05dbc8797fc1d055ce6193e03279810f6,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1ac4e5acdc64c2e7254b6de855c79deecf788cca,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1c0b8e2536b5e3bc1eddd794cdbc17e567d8107b,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1c9211979c5eb24af46f266ef1af6b9cf8a167ed,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1cc71ea8f7645c0a1738d9debba3666293abf9fe,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1d0b7dcba487561c3ab957ebd6a4412dfd213b88,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1d417dd8619799821dfdcc8792f9baaf526c9f6a,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1d6035e765fce6166837e6ec1100383def286989,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1dc2233c2ed0fcbc9987bcb05e7e06741c4ffd9d,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1e8d1faa6ebe6fb46f4494202a03fd2aa1e4111e,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x1f2eefcafeb54fe360b1400073da9f71c6eb37b0,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x212ae0344ae0812223e6260aa45de6506e548b86,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x21bff20d258b89015568d17240cfd0fa694f8aa0,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x21d1403b3005fb760aeb99b73f105bba3f5287da,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2268c95fe7be50bada36df0943fdf0e62770cb96,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x25638b8edf6f8ecdca9e76897c48e1791189ce69,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x25a195f2a3769ccd9c8ba8d6b65cbeebb4bb6c40,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x25ab8892c9e322da67952c73677805406e600223,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x25d3f2c74e93f389d9ee97d47f84c844a774c48e,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2602933777ea242971e95751cfca89b1f072d53e,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x262b07e817de726433cc61f2e0d49736211d72b3,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x26fe3e503ae94c1bb592f2733a8a9e99c7c09982,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x27049f82befdddea9b46d3408c592610d078b233,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2782bdf4737452c075b6906fa1264063aceaebe2,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2788683288f379759e589786044354dc1be37c07,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x27aa8b17289befac49aada0071bbf158a63d9f24,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2893f4b9ce924e8eb0b96125249e6dfbb113d776,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x28d8391cb1f414c2b0896f510d36ec179d7be5cb,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x28fc9c61101d5569e1e006b239ec8419e692afe1,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x28ff21ea5de73041fd85051f218a5a8513e40d9d,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2946ca8c7fba56032ac83c270c7d2bfcd1336561,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x29aec4ca5b111b2e8d1ed89bcba1297edc340edf,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x29c29ae4e170452b038cde8e8e1338b36bd40ba3,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x29e0a523d6e3f120777a87cbcf954656cf4cf957,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x29ec4d71943c2ef33a4bd97f8e70df97d95c6398,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2a7ce88e929c07ac538b1f14ebc2dd8947a9d3a4,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2ad23405da89cf3127f675d789f496c3f8026bd0,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2af189882015174b67321c14dd3d7f5fd40161e9,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2b1df9c6b2609eab53697df70d919ca296ab157f,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2b23ba210ec0534250d4a04b985027b411ea7d28,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2b2d3ea766a0b3d2d5a3daf74b8c65cc76f5f322,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2b634c51c4d99dad4da63b7b933c1b4fac3ac268,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2bb65b4b414ca175f102a3b5d3a134336e2bf7d3,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2c0f56837de171921732c32c2311eea59d850a64,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2c384e4f1226eed0900bd9523fb8116a3c03120d,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2c978888d12a5aadea964eac1f9a4a02a7dcd0ae,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2ca652bca3e2bf24230b2110c5ae126397033f6d,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2cce59018ba9755c1d78a99cdd8e808cbbc6e44d,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2d0723065b626ace68062e2d07b7620046c2a1c4,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2e0eb10d2601428958ecc48ec1c475e87a69c93a,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2e32ea23f122f13fb37419709c7fe49a1e3cc382,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2e35e24e4956c618395591800a0d1e053798b2e4,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2f655b96816d9e0da710e2661d0ddec286b87ba6,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2f78ac647ec20130422dc764d6beee3fc3834181,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
0x2f88a96de46d03d3a4fbf2d43e2207240e231f1e,0.057553956834532%,Singular Genies NFT–Golden Chipmunk holders,
