Address,Allocation %,Type,Sum
"0x444a69854c78913c60560eb628ef633a1d659728,100",10%,Dev,100%
0x8783fbD927cA247bf0685E2B5B757ed7f85A6A86,1.4815%,OApp Users,
0xdDf169Bf228e6D6e701180E2e6f290739663a784,1.4815%,OApp Users,
0xf1Bfc5760C1Aeb6Bdb16252142429107D4Ae0997,1.4815%,OApp Users,
0x12fDD8f4EdD6dF194B0b974F21B1195Ceee074FD,1.4815%,OApp Users,
0x04E0946d2bF513218411466025e36FDf86F48Ad1,1.4815%,OApp Users,
0x5eeB877A4D8Ae876da4C8F6c87B75A1e44efd6C4,1.4815%,OApp Users,
0xaF31f906d43300a4A256BE7Fd887891776E5137E,1.4815%,OApp Users,
0x645C22593c232Ae78a7eCbaC93b38cbaC535ef12,1.4815%,OApp Users,
0x238f1c0AF2f853ab392355516C3b8a0db5B959e5,1.4815%,OApp Users,
0xdB2B9D473014d8c6A5E55dA92205199457Ba6624,0.2299%,OApp Users,
0x1A7763db12aAD02c8205b6A6dD410b7e7323f103,0.2299%,OApp Users,
0x5275817b74021E97c980E95EdE6bbAc0D0d6f3a2,0.2299%,OApp Users,
0x083df0282Ab7680098af6059F0422Ef87900D22D,0.2299%,OApp Users,
0x6a018Ad51DE844243ce7FB743c3E5F4481DF6858,0.2299%,OApp Users,
0x8322961C710571556Ec8bC91554f675CD1828E85,0.2299%,OApp Users,
0x394e8Edc9f642EBA38fB3f685c6E6543E6F07a45,0.2299%,OApp Users,
0x5bcBABa9704F625bdb7EB1D8a3c305737916e6Ff,0.2299%,OApp Users,
0x05e5ab383f3C2D423cFd118B83420261ab0990Bc,0.2299%,OApp Users,
0x4E5b2447077fBbe3bD3d69BEE701344e9cA7A8Dc,0.2299%,OApp Users,
0x5bfF1A68663ff91b0650327D83D4230Cd00023Ad,0.2299%,OApp Users,
0x5d3F93700c77FDB3Ebf78848C9be86aD7537338b,0.2299%,OApp Users,
0x71ae112a1842d0C719185e9b8D0CAaFA4E00789B,0.2299%,OApp Users,
0x77E2d5Da7Fb85093f91273aFa6F175A7aC102F04,0.2299%,OApp Users,
0x7f519a1051a8E091e3Bef874A1b6B50D9b8295f0,0.2299%,OApp Users,
0x836e71f16A53577eDd2Ea377A8aB29A90ae0cDc0,0.2299%,OApp Users,
0x95fE3708d68B83ba6A9ea6221d6f64838658EBA7,0.2299%,OApp Users,
0x96d8C4f7839f1dA51BfE4d8262d0AB2C842ed02a,0.2299%,OApp Users,
0xA207ac236dFdeE6F885d0Cc1D0C8100b46fA91EE,0.2299%,OApp Users,
0xCb4EC833fd352873Ec79e2c40Ba8dF5c56959F5D,0.2299%,OApp Users,
0xCbD6b0DeE49EeA88a3343Ff4E5a2423586B4C1D6,0.2299%,OApp Users,
0xD54d23200E2bf7cB7A7d6792a55DA1377A697799,0.2299%,OApp Users,
0xF0FcB5B2eC2D511C4338F59528BaAFDaa1f3ff37,0.2299%,OApp Users,
0x011000C5718cfD213A1850706370CA55Dd5e5565,0.2299%,OApp Users,
0x0b36518F2dA8c357f235bE18b0B28392B45cD1Ce,0.2299%,OApp Users,
0x30F89f5f4cF25f457B4D9cBFb64a64A97F00bED0,0.2299%,OApp Users,
0x3714E1078Cb6F67eF01442B4213012B16889926F,0.2299%,OApp Users,
0x400a27F8735BEF28698cd620b50C220e92685466,0.2299%,OApp Users,
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,0.2299%,OApp Users,
0x424608494b4b1E6e4D8332518B031C4110aD2F63,0.2299%,OApp Users,
0x4509993627B2c4902599DF0dfEA35340c307f9e7,0.2299%,OApp Users,
0x4E5A83140D2A69EE421f9b00B92Df9Ee27d7dFFa,0.2299%,OApp Users,
0x5538793f0eD24fD4EA2Fcd5225A40995A8f5Ac3a,0.2299%,OApp Users,
0x5B655FECB44E923dC96808eaB35e95F4C915655C,0.2299%,OApp Users,
0x6b6cA48DA27304eeEb1D15d355D948f68b852733,0.2299%,OApp Users,
0x701386193B756f4931F68881F536724A808CDcbA,0.2299%,OApp Users,
0x7497B333895C64A56924B293e68a6468963f2A7e,0.2299%,OApp Users,
0x74e177d8A2dCb52A21fa3850123bf5F921f5Bfa9,0.2299%,OApp Users,
0x76a4B1a89c843AFfC6F27DB7a215aC00847018d6,0.2299%,OApp Users,
0x78eE7f30a9e1A2B1BE52E924c9fc7b608177D772,0.2299%,OApp Users,
0x7ADFCCFd3691A99530F632EEc3dC480419ADdd7d,0.2299%,OApp Users,
0x825736E7336232CC595C345D049474226Fdd154e,0.2299%,OApp Users,
0x83b33Ba5B1446955bee0B3110C163150f555e40e,0.2299%,OApp Users,
0x8Da700C0ef54282F2CA2De5ccb4773Ba94d8301B,0.2299%,OApp Users,
0x984F47Fec079d3349bb3AbDf05e40720E1C2d968,0.2299%,OApp Users,
0x9fdD0C914232A7433D69944853fdaa23C5ff9792,0.2299%,OApp Users,
0xAcb17fC73Cf202EBe532E107cEc195d50Dee61DD,0.2299%,OApp Users,
0xb305ad2E8A4C54a83745b4889501679666F01A77,0.2299%,OApp Users,
0xB3bfB32977cFd6200AB9537E3703e501d8381c9B,0.2299%,OApp Users,
0xc45D05CDc809d20c7B14959E8cd4a1199E3e966F,0.2299%,OApp Users,
0xC8A7403AC82432c8eE1f5eF998874ff3d185573B,0.2299%,OApp Users,
0xC8Bf09987727D53DEffaf02B2BB1b223Ca014bf6,0.2299%,OApp Users,
0xc9C384a9E7e28f7Ef55903eb90947fe3ce71D475,0.2299%,OApp Users,
0xDc70EB4fd85892cC8f7e8b9EAaC7d39669692fD5,0.2299%,OApp Users,
0xDec094279bB40920F1d4d33E46E0162B4Ca96B9C,0.2299%,OApp Users,
0xe5Fae1A033AD8cb1355E8F19811380AfD15B8bBa,0.2299%,OApp Users,
0xE88a832323ED7B3D29Def7Eb357AC308Df3673c4,0.2299%,OApp Users,
0xeac9bf6481cb008AB82df4E65B7654356d19224D,0.2299%,OApp Users,
0x0001f85d5eeCC0a176e6197690BaA3E62bde35c5,0.0623%,OApp Users,
0x0076fcC7D245F6c7aAf07238ADFb48aDC62bDD55,0.0623%,OApp Users,
0x0084e3C31055DBde417acDe052FB1cEdA813FdB0,0.0623%,OApp Users,
0x029fcD8016fc878A674ff8D7302a541FdA8945b7,0.0623%,OApp Users,
0x043f1d06806Bb1de6aCAFf98B078dA1a6Aea55E5,0.0623%,OApp Users,
0x048C8B5b66df058b2660F46e9875B6775Ce8c3A5,0.0623%,OApp Users,
0x04E45eE310048F79D0eb1D7eFedAA45c1973DcC1,0.0623%,OApp Users,
0x0abA0B7c7AD99E0e691f4D2E1Da863db63D14443,0.0623%,OApp Users,
0x0c8c97A7a61CA505676085b5F648888Cb887aab5,0.0623%,OApp Users,
0x0d268e9b0DC5870fA1188bA99feD52eDcc81A985,0.0623%,OApp Users,
