Address,Allocation %,Type ,Sum
0xB1A2C47AA400bDbfb46822A39843C0d91127864f,10.0000000000000000%,Dev,100.00%
0x0040DAAC32D83c78546ae36dA42A496B28ab09E1,0.0311149524632671%,Bridgeoors,
0x0062A2778e9aE57E23c58afeC4df158b329AB24e,0.0311149524632671%,Bridgeoors,
0x00975399Cdd0a558D53E9B451D97265D727002AC,0.0311149524632671%,Bridgeoors,
0x00DACfD769BC30e4F64805761707573cB710552c,0.0311149524632671%,Bridgeoors,
0x0126382Feb85fd1F5BC3A8B04416002f57134699,0.0311149524632671%,Bridgeoors,
0x015543C879C55c5B733709142E14a997942E95Dd,0.0311149524632671%,Bridgeoors,
0x019d6c8268dEaE31A94220Ef7Dfd31cA13154f9b,0.0311149524632671%,Bridgeoors,
0x01e3b6F280b079bDBf70d5644A2e5E35B9A93a29,0.0311149524632671%,Bridgeoors,
0x01ecfeDAD3099968Da5c842eB3352FBf3f895F3A,0.0311149524632671%,Bridgeoors,
0x01F6255C797F88C1634D247ECbEdF1a77F743461,0.0311149524632671%,Bridgeoors,
0x021646F3c387D662A05003A073E1F8Dc5BcF72E4,0.0311149524632671%,Bridgeoors,
0x023158eD361bD62Fba4dE852ee6A22a28BF2c91C,0.0311149524632671%,Bridgeoors,
0x024CC138A96b54E5Bfcb6368594430EC36fA8839,0.0311149524632671%,Bridgeoors,
0x024D6788bA6405aBda89Ba2f9Bb971a0a8325434,0.0311149524632671%,Bridgeoors,
0x0250b6D78deB3d3B38038Bf8416dBa0812014458,0.0311149524632671%,Bridgeoors,
0x02e8C55cd9D632F36DEb804df804d022f393c4b6,0.0311149524632671%,Bridgeoors,
0x030aFd86Ac470804b3534bE0Fba31Ab597b49b32,0.0311149524632671%,Bridgeoors,
0x0339A8999ba908901f060eAB918516f074D633D4,0.0311149524632671%,Bridgeoors,
0x036a003CC9A910a06FD292a7E5E22D407699C414,0.0311149524632671%,Bridgeoors,
0x039434Be2CF69632bf03793fe88cB9bb792F2bc3,0.0311149524632671%,Bridgeoors,
0x03eD6Cc28b113fE530FAF2c0983268fD512D7c8C,0.0311149524632671%,Bridgeoors,
0x0448cB024711D99f1DaEd26A90408E58745Ee66e,0.0311149524632671%,Bridgeoors,
0x04525cfccf1445F98035c1E1B6e47BbB19BBEa69,0.0311149524632671%,Bridgeoors,
0x045AA32568A4b86BdCC0752227ACD383a43422Ce,0.0311149524632671%,Bridgeoors,
0x04808250Df92ACeCb57a18002BC50953c300e168,0.0311149524632671%,Bridgeoors,
0x0497b5D156F1C08aBfcCF1838b2B6729024d99DC,0.0311149524632671%,Bridgeoors,
0x049b1B31A413D478E34F1Ca7526873bd35454F8d,0.0311149524632671%,Bridgeoors,
0x049D1C7bB30dCC49a90Abd211bCB90853b076AE5,0.0311149524632671%,Bridgeoors,
0x051C438A69A4857a94e735f06DBC72b96fB3BA0e,0.0311149524632671%,Bridgeoors,
0x051E1a96C221F9FAD195d3A90a7e2E7e0e2ba54c,0.0311149524632671%,Bridgeoors,
0x053C5aCF41C6d306DA4A572aF52F5c2E7D8e57FC,0.0311149524632671%,Bridgeoors,
0x0566318c8B1208DC969B7e488EcFae396C8D0F9e,0.0311149524632671%,Bridgeoors,
0x0577207634A90e6F48d7a279f398653B74128540,0.0311149524632671%,Bridgeoors,
0x0617C862a361E5A44c4220895Cb181f7226483De,0.0311149524632671%,Bridgeoors,
0x063085Fb62CbD33441CE93b8C5625cc904B7C06c,0.0311149524632671%,Bridgeoors,
0x06F1E6BCE15002D9e4c91Bf5043E3abBecBD476c,0.0311149524632671%,Bridgeoors,
0x071A112b7cf1664Ac00bbAd69b30ebFC16a1Bf9C,0.0311149524632671%,Bridgeoors,
0x0746D96523765E8D00EAcF3d5c5d4A3a62F6Df29,0.0311149524632671%,Bridgeoors,
0x075a1DC8f93DB59094A2A678e163B5ceFB0a8fF1,0.0311149524632671%,Bridgeoors,
0x07B167B84021419F8385fA5fA1733F6230Ec0b27,0.0311149524632671%,Bridgeoors,
0x08124584D110388019F2A7324457A3f50bcBFfdb,0.0311149524632671%,Bridgeoors,
0x08588F1bDabb6C7DbA7C0BEA2E4B2c9689fFD631,0.0311149524632671%,Bridgeoors,
0x085A493C448A3D01Be20e20a49A6c662e18bB855,0.0311149524632671%,Bridgeoors,
