Address,Allocation %,Type ,Sum 
0x749b271373636122d263830710b4FC155BfB1682,10%,dev,100%
0x0000c864cd0ba79303adfffeaa80c0a14b0a2abb,0.0022%,Star Stakers,
0x000715880d00126d99a5494029cdfa6249d355f8,0.0294%,Star Stakers,
0x002e12f486d86e0be337255ef19aaa9eef953821,0.0001%,Star Stakers,
0x00323092db739c1384b03b3b3a18b7d3c5e68989,0.0030%,Star Stakers,
0x0036d50d69c0d9d3431f9273ae36f8c7b31c13e3,0.0009%,Star Stakers,
0x003980b19696718b2e8ed54bef8bd9869fa45187,0.0084%,Star Stakers,
0x0066717533d5e2e950ef2e11835f9cddf572634d,0.0018%,Star Stakers,
0x007269e365a6f8b8ee4545014ff7a01eb73f64ea,0.0294%,Star Stakers,
0x00742f58be8b081f231847d90609753092dff0af,0.0049%,Star Stakers,
0x007b292224f106a0018d72cc0f3f288f0fa4fbaf,0.0035%,Star Stakers,
0x007f2a313d86ec27a88d56e347e7beef47eb8666,0.0005%,Star Stakers,
0x008554b5dfeca864a7a3866e8960f45b6391a606,0.0015%,Star Stakers,
0x00875252f5e93dcb87512dc294de3de29f11edf1,0.0019%,Star Stakers,
0x00bb594cf2372b08f1b2603d82d4e513aa0e2f4c,0.0029%,Star Stakers,
0x00c1b5c9c036f6261626052bda6363a93688dabb,0.0006%,Star Stakers,
0x00cff6c6ce2593abb0ebd77f94726309bc5141e0,0.0043%,Star Stakers,
0x00ea18d1f7be11cb909e15385f6d99c419a18ca0,0.0018%,Star Stakers,
0x00eefab42a7198ef41bc3fa4f2c478f199cdcdec,0.0001%,Star Stakers,
0x011e4da8332a7cd0a3c8ac60921647b8ca23102e,0.0035%,Star Stakers,
0x013c42885e53ecacdbff17987f506b40e11141fb,0.0045%,Star Stakers,
0x0144a694ed64e83eca9ea8b4804adf228297d984,0.0052%,Star Stakers,
0x0146fa2e6804e046066d53b5e806c321c3006f3b,0.0092%,Star Stakers,
0x0147f0aa627bf209fd7cd3ed34c6637a8969a4a6,0.0035%,Star Stakers,
0x01499efb9dff292cfa7f2b97fc1855f77a63eaec,0.0553%,Star Stakers,
0x01670f321588c2af0af1e2c8d28a48a540036154,0.0042%,Star Stakers,
