Address,Allocation %,Type,Sum
0x1A17beA23DFa5D9CF5B0d0838C826Ad88537c6fb,10.0000000000000000%,team,100.00%
0xbe3c33afc065d4a6906183fba3160ac8e44f77d0,0.0400534045393859%,user,
0xf86cc6ec393af2282780ee651a7905a2e84627c1,0.0400534045393859%,user,
0x7c7c4408a1b66f72163b455d25a67a313733fa5b,0.0400534045393859%,user,
0x5236df6802994bae798d07bc4c10e9f915b70852,0.0400534045393859%,user,
0x247db61277d6959405aa08cf3b6556cda9a0bec8,0.0400534045393859%,user,
0x5ca9aa851d4962e4d1ceb291c29801032d32fd05,0.0400534045393859%,user,
0x6618764b189a987ca60a10336e8ba69247e46cec,0.0400534045393859%,user,
0x8b849ff3c1129a7b99fcf84daed779fdf33c2311,0.0400534045393859%,user,
0xe537786a1a3b942ac098923596e22edc191ad758,0.0400534045393859%,user,
0x507ede63476761f86d90ba3715f86f3cfdb589bb,0.0400534045393859%,user,
0x75e0d3e74e14e5065971fd7f8f33011ed5262eb1,0.0400534045393859%,user,
0xba405d5563a8c6a881fa9aa1ea64bbfe85787445,0.0400534045393859%,user,
0x420674a75e1e158a3c675f13df1f26d51f22b502,0.0400534045393859%,user,
0xeb90c9fbfa3318b8f759e08c4445451554e9b50a,0.0400534045393859%,user,
0x77c91893c8e98fcdeb5d5686a1730d61a9b9b3a6,0.0400534045393859%,user,
0x4c11f940e2d09ef9d5000668c1c9410f0aaf0833,0.0400534045393859%,user,
0x26610e89a8b825f23e89e58879ce97d791ad4438,0.0400534045393859%,user,
0x0c4ab4bdb6dce11e314519f2ce0ff24b59a4e3f4,0.0400534045393859%,user,
0x2f2c92887f19adb7003d55c1c212f3a7eafaa170,0.0400534045393859%,user,
0xda9111898dfe8075a7b4fb7b568bfc2c2e39b686,0.0400534045393859%,user,
0x63892dae2eb2aad1265d7de3d967e9d3b0cc3b73,0.0400534045393859%,user,
0x83718a95fd9c8558abc00f780029759b81fb61d6,0.0400534045393859%,user,
0xccda21bd1258a8dc1920ab3e0c709030a2564884,0.0400534045393859%,user,
0x3b3868adeba5bbae4efb64ec76a9e59e2a12f125,0.0400534045393859%,user,
0xbac9ac2544a993125e6d81446429397f1901ebb8,0.0400534045393859%,user,
0xb3fdbe81291d936cca072345f6c346eee9672d24,0.0400534045393859%,user,
0xf7ef4a3ab05d61317d2b37006c54229c8deb6b77,0.0400534045393859%,user,
0xfc58054e821ae568ff937fd33aef45170e4f70a4,0.0400534045393859%,user,
0x5ad31d01735b35c2393f0d2a169e1fb62f9e4cb3,0.0400534045393859%,user,
0xcd4bfeb520235f51800c7a2936502e7bed2b97f6,0.0400534045393859%,user,
0x70582d3104f13ff3ab21d3af88c3bffa63597d36,0.0400534045393859%,user,
0x49d002b74517bdb05ff218964645d439469acc01,0.0400534045393859%,user,
0x76c4bcfdfb5af14b8f2a8012ddb29da89434a72b,0.0400534045393859%,user,
0xe5f6c392e0e79d31e5e722a870a732b95b1f4bbb,0.0400534045393859%,user,
0x199805f8b1009a33875aba7edc9cedd3210f3e26,0.0400534045393859%,user,
0xd19e6010917ce2edc4947dfa7d17fab28c08f5d7,0.0400534045393859%,user,
0x44d6ce27b3b3fa81c7acc04b33d6684bac516da7,0.0400534045393859%,user,
0xabd5e379c19f21df924a599ca9d8de853a59c5ef,0.0400534045393859%,user,
0xe59641bebabc323672f336d7fe550eb23237c715,0.0400534045393859%,user,
0x0dcba45981ff2029b6652566c4919117f02a53b3,0.0400534045393859%,user,
0x6620d21f8f9fcf1240f95037ffd523be3a6c1aee,0.0400534045393859%,user,
0xbec9f40eb75643143ca215119b6cd5d7b30c6f13,0.0400534045393859%,user,
0xc16a04cf28d374903426ac8adab991862d8697b4,0.0400534045393859%,user,
0x2f320d7df1b1e0d6a379b5c35579792f99e4421e,0.0400534045393859%,user,
0x4bdd6052eb136ff8bd2006490f65ad970d92928d,0.0400534045393859%,user,
0x965501a1a4d9e957f17660afc09a79836908e693,0.0400534045393859%,user,
0x6ee890a9ff38013d0086dffb9d52b6992cb2473c,0.0400534045393859%,user,
0x5bb4fffef211f4aa96ab22a446fdeed2e9fb457e,0.0400534045393859%,user,
0xac62a3166f91c777ea4cbf481fa442a29acb454f,0.0400534045393859%,user,
0xa25a2a81d7bf66a58cf3111a596e0035fe5747aa,0.0400534045393859%,user,
0x085ddc22e92972f7e6da025d92075ad0cf54da11,0.0400534045393859%,user,
0x896dc6880b6e07a28ad85fb5a7bd7f5c11d3b312,0.0400534045393859%,user,
0xdcca1d2cbc780ce22b2b30579822559b45e2a427,0.0400534045393859%,user,
0xf084ecb56d5b7ede46c71a48746c9ff47289911b,0.0400534045393859%,user,
0x8e1bacac548e3721714ddb92935d051e12ed2fac,0.0400534045393859%,user,
0x2d36b67d32d872c6c85a7f83d9fcf960ffbfd334,0.0400534045393859%,user,
0xab014280def32938d8c2a1ff22fb31c1ae9eccc4,0.0400534045393859%,user,
0xa883c9018e8cce09408a5fe0f6abb09ba5f11160,0.0400534045393859%,user,
0x2895f502005b681007ed976564696122a4ad4ed5,0.0400534045393859%,user,
0xd7dae05143c5101abc063393ac5d8ed1bd000c58,0.0400534045393859%,user,
0x92ef8c7dcd6204ff31ab3c1cd44600fb716ef485,0.0400534045393859%,user,
0x102e046086bd39a188cb7362e36f8e566f9cce0b,0.0400534045393859%,user,
0x49551201a2510de17e1c8eb42744b57b46ebca09,0.0400534045393859%,user,
0x9a133fc379f9a3f15f2c9ced17198444fa76bf7b,0.0400534045393859%,user,
0x9cb69fe731c3aa425db3a9251103c618fd930c0a,0.0400534045393859%,user,
0xa2aec6252daf25a25bccbfa2f482d493a3f94760,0.0400534045393859%,user,
0xb2fa604ba6e342b2a5f5e818c81edc06d1324aa4,0.0400534045393859%,user,
0xb3b6595ed39f4608423fa992e0328ad465cf9424,0.0400534045393859%,user,
0xcb5d8a2144eb247998339f51f7b74733b292c271,0.0400534045393859%,user,
0xce4da22f8aa8af326d4fd5116a205f42c702e38b,0.0400534045393859%,user,
0xfcc5c7c6d51dac2ac46ac255b41a354aac4d2684,0.0400534045393859%,user,
0x64ba5f1ec5928cbca84c481cb8cb2485150cf83f,0.0400534045393859%,user,
0x8185ddfcf81a87977d1b16c68106c30fff9f2490,0.0400534045393859%,user,
0x89d50603b0f57097ecceb9cb13c856b30d9d1fc1,0.0400534045393859%,user,
0xa1c4d1e0ef35a3cb50e73ec7b52db5e0a32d3c04,0.0400534045393859%,user,
0xe006897119ac43e33be20d3433844b13bb832143,0.0400534045393859%,user,
0x49e5ebf785134cc45dbbbfe5298f677f20b00dd3,0.0400534045393859%,user,
0x82223ef28a9f3a98304b4026084354546d49d9c7,0.0400534045393859%,user,
0x05ca151d2c6bb99f7146842b66175a747263ceab,0.0400534045393859%,user,
0x5399237604ddb183f6556a263aad815d78da5c70,0.0400534045393859%,user,
0xe8869dfe6492c4f6f078ba74c651b4808bfb784b,0.0400534045393859%,user,
0x18b2c7a78d444f2da02267ad577ac73da8ddd329,0.0400534045393859%,user,
0xd7bbf208fc74ddba272df7b5073fd0cd7b3ce315,0.0400534045393859%,user,
0xa83c572c8072f3b11562f08b89d4f3077682acdb,0.0400534045393859%,user,
0x80371f6d682215d0eab93f83f9c26bb6937929fd,0.0400534045393859%,user,
0x91a3f28182e75ef8e87a98a6b4aa93d51b1062b2,0.0400534045393859%,user,
0x3a9f276247494e89d9f69fd8529ac0d2e7cb95d8,0.0400534045393859%,user,
0x3bc52a196bab833947f47ce24600efa360530698,0.0400534045393859%,user,
0x0e358b8c597e5d0b697cc5658e5720b6d5f137a2,0.0400534045393859%,user,
0x1c3efa0a78f9b39201ab3d9c34de9449d5815799,0.0400534045393859%,user,
0x3cf977f683a5cb34e36c83e87fafd0b9e5ad3f78,0.0400534045393859%,user,
0xb7bc3cc267993375672a2af595441ed306faf26d,0.0400534045393859%,user,
0xc86f7ccee8aad2efc0b25759aa153d5220d341ec,0.0400534045393859%,user,
0x7a9afbe8d925b9fd7f929e427b18cc7db1f1aa5a,0.0400534045393859%,user,
0x67f8bf2c521af007328b74c8ae7416badc512357,0.0400534045393859%,user,
0x34a8115e88ddd0b155dc21ab3c14413827bae9bc,0.0400534045393859%,user,
0xa45feb28746ff9e0e4580cee0b1166bfbe47ff2f,0.0400534045393859%,user,
0x9cc6c5d8318c69b602b866f644628e61d98f55ed,0.0400534045393859%,user,
0x15cdd5c10e2646a43de37e5ebba1213131ed712c,0.0400534045393859%,user,
0x9a719029edc50a1eeb12e8bdf31ad85863199488,0.0400534045393859%,user,
0x9a631439da1cd18b86cc10009d7eb40b1631cece,0.0400534045393859%,user,
0x67397bc3c350a038351ddf2a00d1c6d549930323,0.0400534045393859%,user,
0xfe5b95b0f1d5e43d639d4986c4dd019be3be556e,0.0400534045393859%,user,
0xc6ab34235e4b2b7f42a3f6d78830e83760881667,0.0400534045393859%,user,
0xa7dd5fcdb64f914ba7872ce7b06c4325e3742e30,0.0400534045393859%,user,
0x054b6d111a54eea555644801e53c67b6ced98ba9,0.0400534045393859%,user,
0x94f47c224c1207f86c35e05ac169e27e9793f797,0.0400534045393859%,user,
0xede1faaf984763a544ac3e95b4198434c552a2a3,0.0400534045393859%,user,
0xc0a3742c819d18cb78e8b3094b4c1457f549c83a,0.0400534045393859%,user,
0xf5da7cbc7adc4cd5b74e889940d44afb222f71f4,0.0400534045393859%,user,
0x7202ff232313ce56297a856d8e803e578add096a,0.0400534045393859%,user,
0x143002d74b7d017893e784585031bad18570640d,0.0400534045393859%,user,
0x3ed9ed6a60eb69e603ca2a1a285b00f1dc13539b,0.0400534045393859%,user,
0x97e1e754bc38d8f862064a098bcf5562c25d3ba4,0.0400534045393859%,user,
0x8b1fed5a582a299758753c0a58732b792617e720,0.0400534045393859%,user,
0xe1fe734b9ee0f4c07a5a50be19d0e41ec938d86c,0.0400534045393859%,user,
0x73133c42f3093bef9b42f1aa0ecb93914b6c735b,0.0400534045393859%,user,
0x2c7243ae3663533ebbf756f1613da81d64431b6d,0.0400534045393859%,user,
0x2ac5692be580c413d62714d23cb6507a9ec9fa08,0.0400534045393859%,user,
0x45ac3d60a2e03db22f29fb70432b15d04e8bcd62,0.0400534045393859%,user,
0x478a25087fd7971ef5781bde07b34ea32eab7929,0.0400534045393859%,user,
0x51f16c9364f8a9d5a7eb16688f95f2da510bb339,0.0400534045393859%,user,
0x7545f1f53d68de458a96e92909d3e724daef6efc,0.0400534045393859%,user,
0x89c729ba43332c7ba184153cfbc008f708114e5b,0.0400534045393859%,user,
0x8cf0d8efe8adcc1661a8d145052ae39e8d33a5af,0.0400534045393859%,user,
0xb5467decaf8c474977a79c66b4bd8c84ed5c453a,0.0400534045393859%,user,
0xb79f0345d3e47e2da203ad201c27f6d8625ef638,0.0400534045393859%,user,
0xdb7b4932ac447b41f5fd5408b553b8e746cb2a6f,0.0400534045393859%,user,
0x0e4674162c511835d7665d220c2fc3ffb5b6fed2,0.0400534045393859%,user,
0x11c56d83081108dff69c843f9b21541acd55ab4a,0.0400534045393859%,user,
0x19685d28235fc8d1e05ebc7866257ffdab97bd87,0.0400534045393859%,user,
0x1a94ec1093530ca596b600270cec0753b71f7228,0.0400534045393859%,user,
0x439cf89968e4e8f7aa876578669941481ad399a4,0.0400534045393859%,user,
0x59047f8e383895cf6084152193940479a62222a8,0.0400534045393859%,user,
0x72c6668306f1d89425e86899b7444a0c552f25cf,0.0400534045393859%,user,
0x7d79539520fdd951981825ad27b4afa6ea6a0a2c,0.0400534045393859%,user,
0x89fed73e2b2e190114e95446f4d0b440230848ef,0.0400534045393859%,user,
0xb21a55fe69e9ffca878dab0c2ec36bc81e9b14a3,0.0400534045393859%,user,
0xbe1c17a4b10cf28e343aea4b118420f637d95dcd,0.0400534045393859%,user,
0xf920b3fe59ec16ff6d75d46bd1bd79fc49f2aa1e,0.0400534045393859%,user,
0xa8cf554a5ae167abb8fc4a04500af86ba8828dea,0.0400534045393859%,user,
0x3d55ee993e17587393a08397f41e00c905161db0,0.0400534045393859%,user,
0x48f82fffea2fd0e394ec7105d5e73e333574b825,0.0400534045393859%,user,
0xe86298c9a62ec8d27e4366585aa3f04773f3fd22,0.0400534045393859%,user,
0xf9722016b558600afeb3199588cef245fce6b0f7,0.0400534045393859%,user,
0xb9539a082fca454f5c5677850b80a10d42e7f80a,0.0400534045393859%,user,
0xe51fc9fa8859a4a8b666eef5e87de5934c54e77b,0.0400534045393859%,user,
0x09d427eec80930d3cc6a709b9094812b776f5d03,0.0400534045393859%,user,
0xf0ce31acd854e004d3d2696467c84286539ad8d1,0.0400534045393859%,user,
0x0ee4e42b1096530f80a589cb13461930704517d0,0.0400534045393859%,user,
