Address,Allocation %,Type,Sum
0x6a70c42cf31275bddf9522b61109faadbf8cf228,10.0000000000000000%,developer,100.00%
0xffe03c6e2b2b88d9fb55baf057c40fb3f93a7807,0.0032369443245576%,steak-holder,
0xffd96ee7010f163ad9ab95655879d6c5143a3acb,0.0032369443245576%,steak-holder,
0xffd6c479a07b4429b90efa2fcfd39f09f013b3b3,0.0032369443245576%,steak-holder,
0xffc0f59b83b2648f077183677fdaaffd0f2214c3,0.0032369443245576%,steak-holder,
0xffb62b8641560789c3dd716a6b8ed3eca77d2a5e,0.0032369443245576%,steak-holder,
0xffb46fb3f673d84ecd88639bfbd57879942899ed,0.0032369443245576%,steak-holder,
0xffaf67ee62d28b5220e78a2d6b14bf32157e96ad,0.0032369443245576%,steak-holder,
0xffa37fc3ba936d546c5a0c72e0302729085fe764,0.0032369443245576%,steak-holder,
0xff9ba93c259e40fbda6f186a35bb7f21b3fd2fee,0.0032369443245576%,steak-holder,
0xff8a56169c7ed43dd671616ff00a7e35f01ea906,0.0032369443245576%,steak-holder,
0xff7e4d0b4cc98d9fff1b3ba6d27c346ee68bbcd4,0.0032369443245576%,steak-holder,
0xff7acaffb4173934ea1dc28af75912e08165193d,0.0032369443245576%,steak-holder,
0xff7570b92c42e3a674f0bdfa11fda771aa2cb532,0.0032369443245576%,steak-holder,
0xff6d1feeda7645df041fe37233d5046b94153596,0.0032369443245576%,steak-holder,
0xff64fdcdfcd131ce3bb3cb1c030461d5c7025af7,0.0032369443245576%,steak-holder,
0xff5d8de32e81c4a232fa139142cbf2de7ae3d935,0.0032369443245576%,steak-holder,
0xff5686ed387b98fb3ee63afa047105a4bf2d4ff1,0.0032369443245576%,steak-holder,
0xff54db0f38ce86b666afd48c31b805002bd560b3,0.0032369443245576%,steak-holder,
0xff53edf15fa098924137161e55952f80681d5310,0.0032369443245576%,steak-holder,
0xff50e30630d34ff0bb0a5ace3527ac9a36f25371,0.0032369443245576%,steak-holder,
0xff2aa81a57feb17c692d06310fc76ee0dfb55dc4,0.0032369443245576%,steak-holder,
0xff217824bccfcb542807d6aad41c58d2394b261f,0.0032369443245576%,steak-holder,
0xff213576597441b760d6d00330e2f1cfdc219074,0.0032369443245576%,steak-holder,
0xff20a95347b7f2ee4bf9d87f35d62fa600fcbcca,0.0032369443245576%,steak-holder,
0xff1fd7733ca67720691a5af5287bb3925f55a7b1,0.0032369443245576%,steak-holder,
0xff170b6e66ad4610aa5f2779a4c98a19d0eadec1,0.0032369443245576%,steak-holder,
0xff05ebe655e9e5d82d80919f5c4e5eddb3981197,0.0032369443245576%,steak-holder,
0xff03e4519e9775f0d5388ecb0bd2a8cd36d9a457,0.0032369443245576%,steak-holder,
0xfef94ebc67c4dedcdbb2bad10b4aa376aceba958,0.0032369443245576%,steak-holder,
0xfef7320b55ecf10213addcdf7deaf7a493b9cdab,0.0032369443245576%,steak-holder,
0xfeedfe9c2acb949ef80b0fa714e282d66bd2f955,0.0032369443245576%,steak-holder,
0xfede0e902884cfa8e57a09043403d2b081b41e5f,0.0032369443245576%,steak-holder,
0xfedb34c4641c3a01b108d41d513b45548ce97ee1,0.0032369443245576%,steak-holder,
0xfed0f65148fc90150f75292bdc472b3a8d9ef451,0.0032369443245576%,steak-holder,
0xfec0f3eaa6b39144e7ca992077b0e3c4e6a64945,0.0032369443245576%,steak-holder,
0xfea4c90ac5e8b91ddf2c0f76136141ef6be0fafe,0.0032369443245576%,steak-holder,
0xfe917315e3694696ecf4ce4e573f8ae757de55f2,0.0032369443245576%,steak-holder,
0xfe8d92d23ad1da6681998ff4bf5079aa165d4e70,0.0032369443245576%,steak-holder,
0xfe8abd63100ceeec568c390e3fbd0eae1294252d,0.0032369443245576%,steak-holder,
0xfe8a4c1b5dbe87d2e654d0c4089b5736bd1168c1,0.0032369443245576%,steak-holder,
0xfe7eee792ee56d832618ab58854ff064ce604130,0.0032369443245576%,steak-holder,
0xfe7d5dbec56f7112e4ee8a950b22b12930293ff2,0.0032369443245576%,steak-holder,
0xfe771986237eeb6dd6baa1ce63e653c71d25ef18,0.0032369443245576%,steak-holder,
0xfe5bd2530e19bd92ed70629c4ab47ea488eaefe7,0.0032369443245576%,steak-holder,
0xfe50de7f39de59cc1e52d79b8b70e4c29937b4ec,0.0032369443245576%,steak-holder,
0xfe50c5b0a4995b33315d6799b53e2537346d5a36,0.0032369443245576%,steak-holder,
0xfe3bcd1c7f92df506cc7daea9b38b6702a664909,0.0032369443245576%,steak-holder,
0xfe31df51b7fbf89feb9a6553d3fd25e9ac53f60e,0.0032369443245576%,steak-holder,
0xfe218868586eee8d1fa16fafcee57bd7a85e6ed3,0.0032369443245576%,steak-holder,
0xfe112d8436eafe716c04920e3a01cc73b8102ac5,0.0032369443245576%,steak-holder,
0xfe10b57b9dad749a0816c869f0c7f6bead894ff2,0.0032369443245576%,steak-holder,
0xfe0ff27af06109fa4f79081d260f968f654ec97f,0.0032369443245576%,steak-holder,
