Address,Allocation %,Type,Sum
0x5C85A7Ae2B6d29C38cdF360553F8aCBC4e684c31,10.00%,developer,100.00%
0x11ca0cdf71bc2ba530be04735c76ba8410eb9c6d,7.85%,lps,
0x8cafd0397e1b09199a1b1239030cc6b011ae696d,6.85%,lps,
0xdcd0215ab6c624ae3a3c8f67d6f2ac3089fa7497,5.95%,lps,
0x4e42acaec7379db6c9325b5b11f4bcd7f373652a,5.40%,lps,
0x0ab5dda6f096e127af74d4b64a101ac6c43fa128,3.35%,lps,
0xf6d115e8cafdf857a356370cb4e622d538f12405,2.25%,lps,
0xe5a273954d24eddf9ae9ea4cef2347d584cfa3dd,1.95%,lps,
0x84a1d3300e8c484ed3ab6e5cf3189c763f701875,1.85%,lps,
0xb4a3c2debfc033ee3399ad6adf0b4fc74db92baa,1.60%,lps,
0xb75d6fe6723290677a4f7141307e3ff6d7509711,1.35%,lps,
0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,1.15%,lps,
0x11d67fa925877813b744abc0917900c2b1d6eb81,1.05%,lps,
0xcb928017e3695d0ae6f2f2b8e494eb1842df350c,1.05%,lps,
0x9c3967dc0e688554a8f72b360203769108202e6f,0.70%,lps,
0x7674c1e457c2105566bbbf3c32147b92b7a3b80c,0.70%,lps,
0xd63da94c6a7e8d15f8eed6d008815fd9e978cc1f,0.65%,lps,
0x80765e2add4e63a33994667dc8cb0c6bec6c5fe6,0.60%,lps,
0x16ef04260ca959c75bd8d4247874517c9cf74d12,0.35%,lps,
0xa8df0d3d1abf9fd16f992bbf4595c621935cfe0a,0.35%,lps,
0x5d0516fda6971436cca2bb3dc887fac49c2f7b04,0.30%,lps,
0xf9a0106251467fff1ff03e8609aa74fc55a2a45e,0.30%,lps,
0x3d158235c0535d38619643fe50ca1a95c34cbcc9,0.30%,lps,
0x9a4ddebe4bf2de5b0602cabcb0678eef50d888c4,0.20%,lps,
0xb028607975b012defd2d8f4bbd794cc679db3e51,0.15%,lps,
0xbe778b2e6d5cf1c4edea4ed58867960e6da30026,0.15%,lps,
0x57d4f14241559676c7bc5451be778b95b777dd34,0.15%,lps,
0x8ad1888a57bcaf211226708b18712562f252a782,0.15%,lps,
0x506b772d09206638fdd1b880c8112d37f4a2ba0f,0.10%,lps,
0xe7c7d7ebd6bdded9bf9d7f359a04eb4706d8511b,0.10%,lps,
0x12c9fa9c75c80cce12742ed66ff8983666f81688,0.10%,lps,
0x04526c8eb172cee7814aef2ae02046b71fdf9125,0.10%,lps,
0xf5fe4e9c5d2e008934cfca559dd61921d3c19184,0.10%,lps,
0x99365bd14b6f854893ae857002242ccd5f59bbda,0.10%,lps,
0x0ff99a477dae55c5f4ffc5843540624c4ac356b7,0.10%,lps,
0x3f3d3c115e4950a75c8e50b9ad141deedebbe0a8,0.10%,lps,
0x261aab0eb274ec4c60e537aa49c55b2e57210736,0.10%,lps,
0xbdc37e52fc1d07526984b889d64efd1c0f455bc8,0.10%,lps,
0x85593464c9dd38ec4625ef44e60cd6e8045aa067,0.10%,lps,
0x8573e706b5c2b0d1d265b2d53b8d2cdefe567a2d,0.10%,lps,
0x22b908c2fea7a1e6043ffcdbc77d660d4d326961,0.10%,lps,
