Address,Allocation %,Type,Sum
0xE003B9A7f7837689Eb17d77d6a1EB6B26265e843,10.000000000000%,Developer,100.00%
0xc33e3272d29d0cd5a7371a3114080ffdc333e892,0.556323146172%,Bridge User,
0x93ab0cd091dc8dd513ebfd11972e64a2ac558552,0.550177477524%,Bridge User,
0x4cd6b970f42b41ee58c2e4b7ab99863d5ae52a23,0.342810649746%,Bridge User,
0x1af3a225d4d3fe25bc6977010c8e5e0bbf221df1,0.221713300962%,Bridge User,
0x8db903c0753dde0e7dfffa8310357a741b3ebeef,0.220379937822%,Bridge User,
0xafc68fea4556ce538a27804ae82f7e601df38bfc,0.215302341069%,Bridge User,
0x999aadfd2d2bfbf49819776380cef09077333d9c,0.194597468739%,Bridge User,
0x0a87d7b1eb7ff9548d4ffbe1d975babb3cfb51ed,0.194442422058%,Bridge User,
0x47b7af88f54a2d8c0ea6487224e323d2367b0dd5,0.183054333231%,Bridge User,
0xd696eca40f37d770a52d54d2d8befc29cd1248a5,0.168088551840%,Bridge User,
0x1605f534bf2b74c7ed30e0f187caa2fcb337de3a,0.164767655835%,Bridge User,
0x03666d4a16d23ecc60549868dc399e13649ea342,0.164495942343%,Bridge User,
0x0c346e5f0517bbd36ba9582665d3b639545c8957,0.164373661152%,Bridge User,
0x12b9bc4da00724a5de6a3572069ec8a78994c481,0.153302969988%,Bridge User,
0xf0014697b169518e91edc2a732d273a32d734dc2,0.153170098164%,Bridge User,
0xc6224933d89b5a4da888f5be8975bbd1b641fa2c,0.145698572511%,Bridge User,
0x0feb107fb92aaf95e725cec4441e0941c5939d53,0.142773663537%,Bridge User,
0x6dc0b51ca5b0ee36c3bafb78ca388b65e1860b08,0.138767803866%,Bridge User,
0x2972a728ea5f7bc998a25d512a701e3f2a098c09,0.135148121253%,Bridge User,
0x722d61b89ee7b0e8623a700a3933a5b58b526d10,0.135099597681%,Bridge User,
0xc6eb2b8311f7fe47f9d37d30d505dbf735c0170a,0.131287840227%,Bridge User,
0x8f8f2a4b65c2b3ffb0c53a2a474128e4909365b7,0.123417771723%,Bridge User,
0x5c391e318b4ef19bff735c6f13f320822dfb9174,0.123213823164%,Bridge User,
0x6a3f6d4de1f891e776ac0a1e57d46bbba3b0cada,0.117529558191%,Bridge User,
0x177e6dd2f230dd1fec6310c19e8df8feb557624d,0.114277468959%,Bridge User,
0xd95f4bc7733d9e94978244c0a27c1815878a59bb,0.113836435803%,Bridge User,
0xc1269b5614c6f5cc50affa5e62d403622c6cdb3f,0.112153824369%,Bridge User,
0x06a84a5364af1f043b77e10bce2568e94af76d5a,0.111930359652%,Bridge User,
0x8176d3d058a568b3ec428105cd994cc4d7acdaca,0.108601051752%,Bridge User,
0x2a0e5264b12fa426d83ca37003ef1c32a58d4859,0.108350365302%,Bridge User,
0x6ae08ac83fd55d1e39b4261c2a0b7a727f89b009,0.108322930746%,Bridge User,
0xe7d80f663f21d73047eeaa5478c1ee342e84e873,0.104734610334%,Bridge User,
0x494bfaec977e2b031c063a6d9ba5bd2e500d32dd,0.104584807368%,Bridge User,
0xba626027dcdae0343a9a727e00bc2d0f566fe34c,0.103629759777%,Bridge User,
0xdaf50e499dcaff47f284833920c02cde439b6e4f,0.103601769255%,Bridge User,
0xcb3b366ced5ab2170d2ac72a5a97c4747e9186d8,0.100873873017%,Bridge User,
0x32cb9fd13af7635cc90d0713a80188b366a28205,0.097337998422%,Bridge User,
0x2d81c7a2ca633703c7f171c460413ee590ff33e4,0.095215600980%,Bridge User,
0x0567314c6e66be44b5ef05fda181b9479a528f8d,0.094609748367%,Bridge User,
