Address,Allocation %,Type ,Sum
0xDB53A50AaB8816F0226CE2e968093F1122e25B33,10.000000000000000%,Dev,100.00%
0x7603378bd2e3b3118f73e202f7158d50bdf2d1ce,0.714285714285714%,Bridgeoors (Telos),
0x0d0a38e64ed3fb480f42d9b15d0cb8de7b77a7bd,0.714285714285714%,Bridgeoors (Telos),
0xaf81501d9f2795b31fb808751549cc4163914a59,0.714285714285714%,Bridgeoors (Telos),
0x5367e5809e33bff31dca0c4ef60386c34edd6a87,0.714285714285714%,Bridgeoors (Telos),
0x9fff7a309ff09d41f04f8b0ed76483ee6c4addb3,0.714285714285714%,Bridgeoors (Telos),
0x826e0926a0446d9b171b3b242d6e5aea23cab82b,0.714285714285714%,Bridgeoors (Telos),
0x00abd7c2b41854df2350f4ed23c0b695efe95888,0.714285714285714%,Bridgeoors (Telos),
0x5548e0342dd2618b0378baf49653819e9b184e75,0.714285714285714%,Bridgeoors (Telos),
0x3cbd9044aaabef08ce93a68448e093cff405ad76,0.714285714285714%,Bridgeoors (Telos),
0xf92c2a4cc84c4e724a4182e8a82e533c30077137,0.714285714285714%,Bridgeoors (Telos),
0x78de0f0623961e9444b0b3573aab113bbb104a51,0.714285714285714%,Bridgeoors (Telos),
0xa947ed958e3b03a6f01ed1c4415917fd88f8eef4,0.714285714285714%,Bridgeoors (Telos),
0xe134e26fa6efbcad8994bf971852690250de2a13,0.714285714285714%,Bridgeoors (Telos),
0xacf193302115b3e1b5e72402657ca3a2a21bed87,0.714285714285714%,Bridgeoors (Telos),
0xd0e4845ee930d4ceced1acd5c248416b49f3c791,0.714285714285714%,Bridgeoors (Telos),
0x941b6117f7059c484d66e8f24ed38cb40a1667cd,0.714285714285714%,Bridgeoors (Telos),
0xfbff0cf854cad1244a6360bbabb2ca9e0ea86f23,0.714285714285714%,Bridgeoors (Telos),
0x0ff07805ae2f6615627b3074793d32d2276920d1,0.714285714285714%,Bridgeoors (Telos),
0x49d3f9c163b9f75599b93d7369475452c4ca0725,0.714285714285714%,Bridgeoors (Telos),
0x6ec92147a12adf1b3a6e05ca3b36b2df851148b9,0.714285714285714%,Bridgeoors (Telos),
0xb4742fd474cac814f5297502746c9a97c08a0a2c,0.714285714285714%,Bridgeoors (Telos),
0xc85866dd27cdfa3bb91cb348c4849695a17fc4a1,0.714285714285714%,Bridgeoors (Telos),
0xc084bede87eb4337e7176578c4e2096797063a67,0.714285714285714%,Bridgeoors (Telos),
0xde9fcab74a52d57a055809adb5ea421fcf701af3,0.714285714285714%,Bridgeoors (Telos),
0x160cf6551ee3d910f673af762d5a2f1bd4855be1,0.714285714285714%,Bridgeoors (Telos),
0xfaa6041ce62209859e4b29f9c8a56336972067d3,0.714285714285714%,Bridgeoors (Telos),
0xd5396f54e6591f933ff95a64bf73bd77a2ecdfb0,0.714285714285714%,Bridgeoors (Telos),
0x830e3d2fd7196076aae654b1bbef3e404163d3ac,0.714285714285714%,Bridgeoors (Telos),
0x7603378bd2e3b3118f73e202f7158d50bdf2d1ce,0.666666666666667%,Bridgeoors (Mantle),
0x0d0a38e64ed3fb480f42d9b15d0cb8de7b77a7bd,0.666666666666667%,Bridgeoors (Mantle),
0x0ff07805ae2f6615627b3074793d32d2276920d1,0.666666666666667%,Bridgeoors (Mantle),
0xe5eadbcee122195a95187491b1fe454c21992b1d,0.666666666666667%,Bridgeoors (Mantle),
0x826e0926a0446d9b171b3b242d6e5aea23cab82b,0.666666666666667%,Bridgeoors (Mantle),
0x5548e0342dd2618b0378baf49653819e9b184e75,0.666666666666667%,Bridgeoors (Mantle),
0x3cbd9044aaabef08ce93a68448e093cff405ad76,0.666666666666667%,Bridgeoors (Mantle),
0xe134e26fa6efbcad8994bf971852690250de2a13,0.666666666666667%,Bridgeoors (Mantle),
0xa5302bd25626f85ec8a40d18b5e1f01ec9d77744,0.666666666666667%,Bridgeoors (Mantle),
0x82440ac26c78e6f7e8e25173bc30edaaee079b7b,0.666666666666667%,Bridgeoors (Mantle),
0x8d4afb1d828afeaa8e73863efedd65c7d120bd2b,0.666666666666667%,Bridgeoors (Mantle),
0xd0e4845ee930d4ceced1acd5c248416b49f3c791,0.666666666666667%,Bridgeoors (Mantle),
0xfbff0cf854cad1244a6360bbabb2ca9e0ea86f23,0.666666666666667%,Bridgeoors (Mantle),
0x18f6bad33bda651cb5150f3e3ae45931a5e96720,0.666666666666667%,Bridgeoors (Mantle),
0x8463633ed62a165fb0b423c97e579c35e68fa8c3,0.666666666666667%,Bridgeoors (Mantle),
0xb4742fd474cac814f5297502746c9a97c08a0a2c,0.666666666666667%,Bridgeoors (Mantle),
0x2be4e19853a7bf71493dd49d477f041f0993a953,0.666666666666667%,Bridgeoors (Mantle),
0x435576016ce86e174615278116b0a2f5f68a186b,0.666666666666667%,Bridgeoors (Mantle),
0xa947ed958e3b03a6f01ed1c4415917fd88f8eef4,0.666666666666667%,Bridgeoors (Mantle),
0xbd07c5a0c16fed711326174a2e6331d15ea65d24,0.666666666666667%,Bridgeoors (Mantle),
0xfaa6041ce62209859e4b29f9c8a56336972067d3,0.666666666666667%,Bridgeoors (Mantle),
0x31e40209cfcdda86baabfe93a428cc9143a9ed30,0.666666666666667%,Bridgeoors (Mantle),
0x78de0f0623961e9444b0b3573aab113bbb104a51,0.666666666666667%,Bridgeoors (Mantle),
0x6ec92147a12adf1b3a6e05ca3b36b2df851148b9,0.666666666666667%,Bridgeoors (Mantle),
0x941b6117f7059c484d66e8f24ed38cb40a1667cd,0.666666666666667%,Bridgeoors (Mantle),
0x916fc5e229c05fa4a5f57bba22726610ba8d1cbf,0.666666666666667%,Bridgeoors (Mantle),
0x20128ef1d130e3dab70b09579ce4fdac7657f820,0.666666666666667%,Bridgeoors (Mantle),
0xdd9245a25c173102869f76840a7641c44691f4a5,0.666666666666667%,Bridgeoors (Mantle),
0xfda16932cd56b9dcab6877df96c3a6bbc6cb33c0,0.666666666666667%,Bridgeoors (Mantle),
0x2a020d6904da66a97d0aaf554b979900fe3c3be6,0.666666666666667%,Bridgeoors (Mantle),
0x826e0926A0446d9b171b3B242D6E5aea23CaB82b,0.159574468085106%,NFT Holders (Telos),
0x78eb96A07019dFB463dd5A8941B1A873e4135c85,0.159574468085106%,NFT Holders (Telos),
0x3bEd475858D17CFf1DA9779b6531d22eBe1557Ff,0.159574468085106%,NFT Holders (Telos),
