Address,Allocation %,Type,Sum
0x2364963e6b99281DEF39AEda6a8aCEE790d93AF4,10.00000000000000000000%,Dev,100.00%
0xcf8e92a9b85fd2d539f4cf358dc1ede959b3d2dd,10.66057745327040000000%,swETH OFT Holders on Arbitrum,
0x7204b73853c27bee7d557887585991cfa075e227,5.77649170828175000000%,swETH OFT Holders on Arbitrum,
0x89df81d0919db82add1f78ae977fbe3cf9b534e8,4.99937599862719000000%,swETH OFT Holders on Arbitrum,
0x41206f8efb51e5039e5b46e04e7866a4849f72d2,4.17278718013179000000%,swETH OFT Holders on Arbitrum,
0x82bab4ed4d4946cc709817bdca65c229a398d748,3.08857279486015000000%,swETH OFT Holders on Arbitrum,
0xc97ac21a9509551c0af12072a96f18793ecc32d9,2.82316221095686000000%,swETH OFT Holders on Arbitrum,
0xe9b31f8daab3d2855cba7327a4a94b2fcbd594c1,2.74616704156749000000%,swETH OFT Holders on Arbitrum,
0xb3c40b02f38f61f3d141c325c19f35b1f9df99ca,2.22589389696657000000%,swETH OFT Holders on Arbitrum,
0x768aec9ae3c7d20ca922d50d9d694870ee6166be,1.91537521382547000000%,swETH OFT Holders on Arbitrum,
0xd58f2bf955b089d748e4cf8176c6762c1bdb0840,1.88876215527674000000%,swETH OFT Holders on Arbitrum,
0x1ddbc70f4341adfb7a823786503cd2fa9ebe48b0,1.82663501859704000000%,swETH OFT Holders on Arbitrum,
0xdf64a0633d566d40ecc80db2e140f3e0155e8a1c,1.71750977852151000000%,swETH OFT Holders on Arbitrum,
0x46451b1db8fcd49d9928ef00243e20fe90bf636c,1.20669565473044000000%,swETH OFT Holders on Arbitrum,
0x0aa1b43123827f74ef5668e06efc262610873e5f,1.20614665352264000000%,swETH OFT Holders on Arbitrum,
0x9851bf1b9609154531a024bb9b0f7f229bf86954,1.16732956812505000000%,swETH OFT Holders on Arbitrum,
0x0fc59c9c998537c940a9dfc7dacde533a9c496fe,1.15315453693998000000%,swETH OFT Holders on Arbitrum,
0xd60661a8518f23e7a11d99ac9b95df9ecfebce78,1.07228035901679000000%,swETH OFT Holders on Arbitrum,
0x964f1c58ad7058f352faed049a4674c1990355ab,0.94295907450996300000%,swETH OFT Holders on Arbitrum,
0x6896aee2933adcb2c5108e43a6687b8c02b49d7a,0.92154802740565900000%,swETH OFT Holders on Arbitrum,
0x395ef2d7a5d499b62ac479064b7eaa51ae823a22,0.90309798681557000000%,swETH OFT Holders on Arbitrum,
0x121dbe34ec6c7485df74a89c72df3b74be86be67,0.85990689179516100000%,swETH OFT Holders on Arbitrum,
0x8ce523cf1120d9b7703806c745b69663a2847504,0.85046587102491600000%,swETH OFT Holders on Arbitrum,
