Address,Allocation %,Type,Sum
0x9dec4b2816eaa9a3793a634f0ad046bae8a4c12d,10.0000%,Dev,100.0000%
0x275e7271c094738dcec69235256c9461d651ca0e,6.7800%,User,
0x3a3cb11aa6ac517da649371c00848cf00572bc0a,13.9700%,User,
0x4099e2c208b1a76abea2798ff1a52379d336e340,5.6000%,User,
0x7f7d208e6b7729fcad70253919b7bbe3c302ad4f,8.2400%,User,
0x80e546ea8182ae7cc7ebacce134455edde24c5b4 (rifino),8.0200%,User,
0xafdb78bb97f363602518424dd116f96a833c856f,6.3400%,User,
0xca6e99f7f3fce588fd0bd95e81d5ffce2e713d27,6.3400%,User,
0xdd4e7380607ae10f433002b60b910f8742416de9,4.9400%,User,
0xe4286256cfc49394343bc99ea49b999df2733b3f (loco),25.2000%,User,
0xefda56951bbab22e55e22fa3e61d5bee946a76ca,4.5700%,User,
