Address,Allocation %,Type,Sum
0xAF8A1548Fd69a59Ce6A2a5f308bCC4698E1Db2E5,10.000000000000%,Developer,100.00%
0x81a7525cD96603Eb335A9E6e8473246f232FD71D,0.087633885105%,OFT User,
0x1da92B8E755383d92EF62D4d09CB178A2DBE36ef,0.087633885105%,OFT User,
0x811e8f6d80F38A2f0f8b606cB743A950638f0aD4,0.087633885105%,OFT User,
0x703DfcD90b7003549Dd89E97D541137eCB03C4D2,0.087633885105%,OFT User,
0x41Ba04EcBdFdC80097eB6F75796F5a0969877a28,0.087633885105%,OFT User,
0x95D30549f608c59A745c3d838Fc54A23D7cE3Ae7,0.087633885105%,OFT User,
0x82F78100A51202052756e48A5a03Ee582fb3B8AC,0.087633885105%,OFT User,
0xF6Da9e9D73d7893223578D32a95d6d7de5522767,0.087633885105%,OFT User,
0x3768e6c39A365Bb4be13bf89fFAB4B7471455F3e,0.087633885105%,OFT User,
0xeFb564F5623978F68ff3546b0769ed564A9058EC,0.087633885105%,OFT User,
0xD6e90cD6326261c3892c9cA5Cc7c7c9a82ECD1C6,0.087633885105%,OFT User,
0xC4E70F1c8a7D74AFBB5da56d4B3e307c125FEfD7,0.087633885105%,OFT User,
0x3c35337aa6601Ad47Cbd290eC7463C910781A909,0.087633885105%,OFT User,
0x77F4a43ec39264dF8B0C1B1317f455879c1828c0,0.087633885105%,OFT User,
0x72C5cd18A51D53Db34072546A7A38a4f73600d92,0.087633885105%,OFT User,
0x4313e375882B1dAf17b036D9a45aA39796b988b4,0.087633885105%,OFT User,
0xF2Df969F59B2c86E4B230dA88918cDEbCfc4cCBC,0.087633885105%,OFT User,
0xa4da9e2Ce48cC8aB66F31efa8E36518F4B70377C,0.087633885105%,OFT User,
0x000000e28fAA823d5B53ff6C2922c28335840375,0.087633885105%,OFT User,
0xceA077172675bf31e879Bba71fb46C3188591070,0.087633885105%,OFT User,
0x2692C3aC0AEA1722bB9FdBcFa5741Ab27CDeA044,0.087633885105%,OFT User,
0x4cb6F0ef0Eeb503f8065AF1A6E6D5DD46197d3d9,0.087633885105%,OFT User,
0xafaE671890DFBA8A9743a8eD7Fc80A5cf1b02e4F,0.087633885105%,OFT User,
0x596CDbB0d4b74Cb5dCdf86613d8012E0cD3E522f,0.087633885105%,OFT User,
0xC3f7b3Fb36CcC53d40c8004d267EbaaA4C2b24Fa,0.087633885105%,OFT User,
0xd31F6bCaD59E7F4d6F00bcc9c786981d7B10abFB,0.087633885105%,OFT User,
0x92f4674D8DBC18841c6729eC4D5F5Df3551FDa8a,0.087633885105%,OFT User,
0x96034a5807082d0c48E84Bfd9AF6cF90f4176E48,0.087633885105%,OFT User,
0x5929cC4D10b6a1acc5bF5D221889f10251C628A1,0.087633885105%,OFT User,
0x9dC2aEa18955DD9F898d7ef130e4e166B9800354,0.087633885105%,OFT User,
0x97ee4eD562c7eD22F4Ff7dC3FC4A24B5F0B9627e,0.087633885105%,OFT User,
0x7A505dF95aAc78f142CA98CeCd771d3c398b4b71,0.087633885105%,OFT User,
0xcA74F404E0C7bfA35B13B511097df966D5a65597,0.087633885105%,OFT User,
0x9CE6E6B60C894d1DF9BC3D9D6cC969b79FB176B7,0.087633885105%,OFT User,
0xFddd8E89DfB65FE2Da8E907939A281135eF3802d,0.087633885105%,OFT User,
0xDAC550740337f8549873Cc1d15fA52B48d120eB8,0.087633885105%,OFT User,
0x248c1E23d2aDa0C5F464626669dD8b4e1552b38F,0.087633885105%,OFT User,
0x1E8E4445f7736084A48c3cca4Cf3d148EC6CB3fC,0.087633885105%,OFT User,
0xD78D29bFcDb0Af513D3B740deF6C951D4aa554B5,0.087633885105%,OFT User,
0x1ADB67a4C80A760579378624714DC01b89E69549,0.087633885105%,OFT User,
0x8189CA95335AF50A0c9490547186008a6d7747dA,0.087633885105%,OFT User,
0xF5fF310982D58Ddc813C541a64b8C4f3F5035E58,0.087633885105%,OFT User,
0x0B20a6140118BE0235DB1BCb0DFA96d5d656CA51,0.087633885105%,OFT User,
0xeE28f0e5740ece71ea63C6aFbd82f725243974A3,0.087633885105%,OFT User,
0xf9AEb52bB4eF74E1987dd295E4Df326d41D0d0fF,0.087633885105%,OFT User,
0xCA2cEbc209bcDe7e178cBcDDf7f3BbBE1a26fBc7,0.087633885105%,OFT User,
0x4E397f3FB714825A5B67b2ecd0c50060d381B201,0.087633885105%,OFT User,
0x193Db18A5EF9a0320b7374C1fE8Af976235f3211,0.087633885105%,OFT User,
0xa44598382BC1569d6cc287a105f21EE8e53271e6,0.087633885105%,OFT User,
0x086f51fcEd9Ff6c742D706C319112359E3658b08,0.087633885105%,OFT User,
0x2D4DBb65bfeb78bF33Db8381B381f7E909A395BE,0.087633885105%,OFT User,
0xf51e5a0A85d29AA0508894405D734BcF044dcb5b,0.087633885105%,OFT User,
0xEBdbB4a9B9E2e41151938138BD789F38fE3af41d,0.087633885105%,OFT User,
0x5c981bBc7d31F546bFD5D490B26f1ce7e47B6e74,0.087633885105%,OFT User,
0xd312818347FB054d30925488a7dcFaB6E19e9421,0.087633885105%,OFT User,
0x5275817b74021E97c980E95EdE6bbAc0D0d6f3a2,0.087633885105%,OFT User,
0xeCD13493bE81d0C1f1E400deEf91a6A58d5F866a,0.087633885105%,OFT User,
0x577BE3eD9A71E1c355f519BBDF5f09Ba2018b1Cc,0.087633885105%,OFT User,
0x3874d6f07C40Ebca90Aa05159BDB70eb00b9116f,0.087633885105%,OFT User,
0x329CfE850FF4CF637aa2353ef2D3672156E54d6C,0.087633885105%,OFT User,
0x7630db0a1b4F6Bf19a74150afD2042d708A8A9EB,0.087633885105%,OFT User,
0x10f5601c2165C30D4F9D81AF676DAC5D6C17E5Cf,0.087633885105%,OFT User,
0x23320f04534f185EFe1227c57bdE91629F3c1EaF,0.087633885105%,OFT User,
0x3dD361713e617d7e5C44143F12F050d2DD091cb4,0.087633885105%,OFT User,
0xa838504F1e50411A6691034936142D43fa0fF17A,0.087633885105%,OFT User,
0xd3a711c24Ebf66347Ec27CeEB0f6a57e73744f9D,0.087633885105%,OFT User,
0xFFD1438c75C177e62101Fa78BD050A7A719Fd19d,0.087633885105%,OFT User,
0xbeB2EF2af00b54d2B08Bfc5efCb9E8bA58A60FDe,0.087633885105%,OFT User,
0x0d67dC4AD06872d9aFaf14bB9843175adb6f6164,0.087633885105%,OFT User,
0x70b29dDEF3D62Ed9D1F04d695DfF092eeE7529a5,0.087633885105%,OFT User,
0x3e58F1Bf1BEB5bC43e89cd8C996201B570f4E32c,0.087633885105%,OFT User,
0xC4087af06D2f2A5f13a5316d2e72277ebD89C6B2,0.087633885105%,OFT User,
0x31aF2d437C318cE189E8d0e6b2D77859DD2bDB88,0.087633885105%,OFT User,
0x1eDcFf77126857D7cbafa636324E1eFCfe406A1F,0.087633885105%,OFT User,
0xC7E05C42E6Ee58322171c844c5B40b7B2b6C11D6,0.087633885105%,OFT User,
0x39347D78EA7ea0961768A4024480777AbD6d609E,0.087633885105%,OFT User,
0xAbBe86F534fB63044bbf484D3E884f3B5B2496F8,0.087633885105%,OFT User,
0xAf96f715e4F63Ca4Df6e5742f9e58C31C876e1BA,0.087633885105%,OFT User,
0x7eCf3629e27b410d6a277CDca9c99240706EeBec,0.087633885105%,OFT User,
0xCeDe3FA6A2ef5a3c4658Cf5094Bc6f658F4Ec7b9,0.087633885105%,OFT User,
0x3f2cF0f5DC28e078fBfBae77CfD226D78294ED59,0.087633885105%,OFT User,
0xE7B572c4d2e2D17fDfc9503b234991C269C85244,0.087633885105%,OFT User,
0xc57DF4C4EFF7D86a440980E126c4757F0f4e94b9,0.087633885105%,OFT User,
0xbD07C5a0c16fed711326174a2E6331d15EA65D24,0.087633885105%,OFT User,
0xAd02b0C4C1de85BBe93DD76743fC72e411a7204D,0.087633885105%,OFT User,
0xA5eEB354239EA51823a81356F89fEd0300E252E8,0.087633885105%,OFT User,
0x8f9Be650478ca740212195c64A20353ed0622934,0.087633885105%,OFT User,
0xe520d9514A85d28fDCFFC5092B58aFDF64e8FBB4,0.087633885105%,OFT User,
0x6d0bf0EA78a92532219EBCDAd8A10497015f96a6,0.087633885105%,OFT User,
0x05F54d73B6E6954E53B4B474Db29ef9522a3483e,0.087633885105%,OFT User,
0xABFa7565D08a664ED9176255022d6F4E892d70Bc,0.087633885105%,OFT User,
0xB675a4427f52e1aad60Db45166d97Ba3a031dec9,0.087633885105%,OFT User,
0xa311f7Ca3Eb2Fb98123A807f9b8e4BbbDBDcB2Ee,0.087633885105%,OFT User,
0x7695d612E0E338C67811D09b20B085E1B2274D29,0.087633885105%,OFT User,
0xAB377aE0B754ACa90b544Bf643B1299c8C8ad0f5,0.087633885105%,OFT User,
0x23CbBE3509F494cf5Fd56637544f214a026b3ACd,0.087633885105%,OFT User,
0x6C8CBA0c288C4a6cC2bC518E553cad1e58f18252,0.087633885105%,OFT User,
0x283E326065d1F735B611Be9612ddc8F4DCB57aeA,0.087633885105%,OFT User,
0xb3993804876fc3a87C42E2606322D888ac4c7CE4,0.087633885105%,OFT User,
0x7C603eDc44f33595aCdCd6562401fC8C242d65E4,0.087633885105%,OFT User,
0xc1e54dB7D6562e683F45981954BA1bFEfd85a5B2,0.087633885105%,OFT User,
0x81231357A913ec6E1f3aFbCe8E662632C1c8EEe5,0.087633885105%,OFT User,
0x56D5550E1CC2dC4Ca61B53621b70acEBeF6B51D0,0.087633885105%,OFT User,
0x2e0D207dF5926CFA993d63B0C4880292BC5150c9,0.087633885105%,OFT User,
0x65A8F07Bd9A8598E1b5B6C0a88F4779DBC077675,0.087633885105%,OFT User,
0x66B870dDf78c975af5Cd8EDC6De25eca81791DE1,0.087633885105%,OFT User,
0x1914717974224765B85636159d48F46DbbdBdE27,0.087633885105%,OFT User,
0xcB19a3a8206C6Bb6500a0d2A2DDc47ceD92E5FfD,0.087633885105%,OFT User,
0x548a6b2CbDb368c90a8E9FAFAD5A478f71B67076,0.087633885105%,OFT User,
0xef1eDdE8BBb00c8Aa2c63643d83D34CAaE40c011,0.087633885105%,OFT User,
0xC9A43964B791e5aBd13B98fAc710132AbFCa873E,0.087633885105%,OFT User,
0x18F84f525e5e23a5AB132237762e9914550B173b,0.087633885105%,OFT User,
