Address,Allocation %,Type,Sum
0x5b0390bccCa1F040d8993eB6e4ce8DeD93721765,10.00000000%,developer,100.00000000%
0x0ed650c3185ef33b6f61ad2fa7521a3602df566c,19.33399332%,user,
0x4bc5af31662ef1c2ff50b4aa21ba6721835f34bc,6.81442425%,user,
0xd8bc5000aca451b2f1af14449d849449cef93073,4.31558100%,user,
0x50a63f6f3554521d51772e89eea5c3a297fe5d33,2.81478816%,user,
0x8a2dbcae7eb8ba0cd2e1ab1fa59b3cc472846e55,2.30444595%,user,
0xe7d7ce84d45e43f06cd5caa1d9c42374b8776fb0,2.12837787%,user,
0xa1696fec3b2806a850373d91082aa6ad4759db60,1.97535591%,user,
0x1c664bafc646510684ba1588798c67fe22a8c7cf,1.87840215%,user,
0x04c899245053f3fa9b46995e8e281cecfdee2a33,1.86886719%,user,
0xc7f5dc322325021dc3954bdb35bde58830f8581d,1.77475959%,user,
0xe5325aa7b93336f73767fded74ad97013e318c12,1.46221443%,user,
0x3c9ee43b96bd5d3a7060ace8c98d75736a1ebc67,1.26467685%,user,
0x89a8ca7d0d3eee3fab3afab7263af619a50e6fd6,1.16501769%,user,
0x6f15932c97c4280118e2246d6ba28b11f8462aa3,1.14030855%,user,
0x8a30fe8dd7c1b8ee6fff8892731ed345b9e33b29,1.10492685%,user,
0x0b20a6140118be0235db1bcb0dfa96d5d656ca51,0.97883181%,user,
0x00a01bc13a1ddf4a4af6852baee66b76a0316cbc,0.90987219%,user,
0x8c39f76b8a25563d84d8bbad76443b0e9cbb3d01,0.89583480%,user,
0x07ac19ff930fcc8a31f2a6aae184f6d92d4200cf,0.88430166%,user,
0xc62db177c6abc3f2948a888a6c866161cfb584c7,0.82191402%,user,
0x3e590fbb993bf1e97f04fe615c64bfa37dd84999,0.80719389%,user,
0x4b0f54ca66df5472d7f49574681ca38f4ed95c39,0.79177905%,user,
0xb168a90cef8256c7bc82fa5908d2c9ddb34f0908,0.73537506%,user,
0x639d2a49bdd0cf37614f46a83e4aa49eaff1e537,0.71818344%,user,
0x260d02e0dac4711c1e796cfa0324b227ea06eda6,0.65164068%,user,
0xe97178f627268f4cead069237db9f50f66d17d97,0.62795754%,user,
0x285fed35cbea271a711681e84ffd83c68a596a75,0.60892344%,user,
0xaac9a0c7750b423cf3b0d936f948b720849c24dd,0.59390100%,user,
0x48a5a6a01ba89cddf97d2d552923d5a11401ed19,0.59094954%,user,
0x011b0a055e02425461a1ae95b30f483c4ff05be7,0.55991358%,user,
0x8b78c25279649915b38f1ab3940902c06a928256,0.54019053%,user,
0x646985bbb677653e5768139d354ca706f1858fcf,0.53568873%,user,
0x95b4de84579c71212000e26ba390377e4c4357a7,0.52281801%,user,
0xe3f8c6416621ef2e8cf1828ab2c0e1ee5522d4e2,0.51297768%,user,
0x277b84f643151e747addfb63895c17c29713ed42,0.45607023%,user,
0x9eb408e53dfa0c877b65bbe874de81247212380e,0.45041130%,user,
0x209699a7d9c9a3f005a9c3179f58f8b942a27b0c,0.43397307%,user,
0xd7391a8b26c91632106fb4984fb3436df5440bca,0.43257906%,user,
0xab5ef3f0a671d47dad2083943705f31be2016ae0,0.41913234%,user,
0x4deb56a42fc63650b2f0bfb9abe1850e3a091371,0.40283874%,user,
0x83cf51a12258848540e862d1ab8b2fe05518f716,0.40121424%,user,
0x508fe8256a6dc870fcb8cedcd461d03e5d8af448,0.39453345%,user,
0x39c73c1fedf4976a3f5205f844e31f65c08044ac,0.38467323%,user,
0xc03282d46293499cdd8914a7bb7d78f793e70a5a,0.36039294%,user,
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,0.35885376%,user,
0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0.32630148%,user,
0xfd6d3dac0e787a8ab01f5ab5f4a1c877790f27af,0.31928175%,user,
