Address,Allocation %,Type,Sum
0x0B257456A46fB07cd20a7511c11f3F3261D4Fe40,10%,developer,100%
0xa2a6a42eaef7e63edea075831e58662b19fa3b26,0.0079%,user,
0xd3fac3b26925ad364d295a8098602b1c364f1ec4,0.0079%,user,
0x972328546203bf42480290f50e29552acd234576,0.0079%,user,
0x3591e7b2c86c139c5488a8602cc972c06c13f7ac,0.0079%,user,
0xfe07dd735ce5852f68199de98deb9f3025b3dff8,0.0079%,user,
0x1bf853ffffe0541ed02183e221a14e41c162fd5d,0.0079%,user,
0x4ec0e181ad5e531478d298d52b57dbc56b781032,0.0079%,user,
0x9ffa1f8d53a6beda778525af93315033ffc78498,0.0079%,user,
0x27ed55fc00f84bb4613720f55cd8c470afbe4425,0.0079%,user,
0x6daf055c99883d920849d7022f2efabb13e2af57,0.0079%,user,
0x147efaedd72e9645a09923df04b40805031c50df,0.0079%,user,
0xdf839bbbe062ae73493a6961fc34849b53f1c154,0.0079%,user,
0xb13b00f873c1a3ff3673299b17cc511d58570a01,0.0079%,user,
0x4764ad00e3507dc0bd801411a2bf667df373070e,0.0079%,user,
0xf60bfec3c6b404a97eadf8fbf053d0aaea4a4943,0.0079%,user,
0x86e29b8d61043e348f76afbdd946eb6d2a7245c4,0.0079%,user,
0x7b45d1e4e584817e4e2e4a666a300b8b75f7f706,0.0079%,user,
0x50b5df1b564b6f73b75a0fd57f275cecdf9a6388,0.0079%,user,
0x133378a8632152a81b2eec78d6d3b1dbef6641ad,0.0079%,user,
0xf66a67e1e4e1d0f24e2e0253798e3144566e2815,0.0079%,user,
0x58dc759db4364369618f6529d783cafe73ec1c4d,0.0079%,user,
0x6f0c97416703f6d239ea5c7f485a72f232128b60,0.0079%,user,
0xe9156a6e9693de34209b9a569863d6dc084aef8a,0.0079%,user,
0x8eeb5944e746c14e4958ec4984492ecca02d4cf8,0.0079%,user,
0xf2873b172ea0869d4b079b38324f182538f1c438,0.0079%,user,
0x165335fd3351f3aba77435205dcb3c5b308a8fdc,0.0079%,user,
0x920a19701ce861945cc94e22a6d903b8b63e2750,0.0079%,user,
0xc258ca208191bd361a9aa4580e1381f0e13908cc,0.0079%,user,
0xa99f06709a6fba18881a3be9968d8d105dd4c53e,0.0079%,user,
0x19ed2597aa171b727aa4c5c85e7e13826a98b530,0.0079%,user,
0x0dae80e98deb4f645a5c820648c19377ac1ae30d,0.0079%,user,
0x36eec4c12e7d3cf3ef9945435665f042ba65cf18,0.0079%,user,
0x21554f1ba9a35ef5eea42b1e4d8eb83826b9eb22,0.0079%,user,
0x316aa8cefeca4fccd53fe643237c3f4a7cc3a9f1,0.0079%,user,
0x12b160f6ba702cc58247aaace2eaacf647a68394,0.0079%,user,
0x71a4128005b738ef216860aa523393b792207fe3,0.0079%,user,
0x58dde66265216de6a4d2555908d6a8260bcebfc6,0.0079%,user,
0xeb20f48cab04da4a84626ad86194e2376159c6f6,0.0079%,user,
0x32b24e597403a881410d12dc36291b416d14c2b8,0.0079%,user,
0x84183dd4be06b24c259bd428fc8adf3181cc6f54,0.0079%,user,
0xaecf5bdb2bc67288dda4d3492326474d387c0c1f,0.0079%,user,
0x99a354be50e960908469a719f85537dcbd6ded1e,0.0079%,user,
0x226d3e38006bea519d32960b47971979e52b19de,0.0079%,user,
0xa82a8fd2376cbdc6e00e14a60847b2cd617ec3b4,0.0079%,user,
0x015257c5c29bd9ca59e988b206864f5ddd3e0160,0.0079%,user,
0x922c13421e72da94f36e8efeb4bedf2befe3ec39,0.0079%,user,
0xf6c977215f5ec0bba5579c1b2c3f5eddee80a605,0.0079%,user,
0x178e3ce9864496df679575ce7b1892b17d8b5bbf,0.0079%,user,
0x7b342ee5a294f3238cc318f99eed6fc950c9bb3e,0.0079%,user,
