Address,Allocation %,Type,Sum
0x3162F2A8D96f3A34B0F90F34472fad39eEd40B03,10.00000%,dev,100.00000%
0x99991e1775f56ea5dbc7e6040f9d6149ab0c605e,0.00000%,staker,
0x5d6f985f90a68676b7b6e9a0fe00f62eef162976,0.00229%,staker,
0x1b2b36faaa1cf712d28dc2da8311051f24348749,0.01283%,staker,
0xa265503edf6dec7e63b448037495e8925b838567,0.13272%,staker,
0x287e58b982a636e14a1d46c03a5ee8580baf305d,0.00511%,staker,
0x360fda0c3a05fe6246e9d17c8cb6d9329cfbc5d6,0.01505%,staker,
0xaace82429ff67c90fad94ab15a2f5eceec8bc454,0.00000%,staker,
0x2839eb87eccdfbf1b4f23433b99f1e60e706b2f6,0.00886%,staker,
0x1e2aba5141962a3d4f927365b8682cb2f7efcc24,0.00005%,staker,
0x86c4d496694fa25ebbe2e7739d61a1a3700c93d4,0.00084%,staker,
0x3d5f74684900d68748953ac588bed9e057163878,0.07036%,staker,
0xe92b6007426fc4f6b2ea868b8e8f76aaeb2505f8,0.00004%,staker,
0xa0537d5c7c6d4d601ddb8e71de0bee9ea4af4c52,0.00111%,staker,
0xa83b33cdcaf662385d5de01bd746d5cf2a627fac,0.00221%,staker,
0xb74fbfd88e481d27bf2f2e4154919387f5498418,0.00000%,staker,
0xd5e5d1a78c8e0283085081c43a89906c012f894c,0.00314%,staker,
0x3a293bed8818746230a8f50e5aa8bbda9c10b7cc,0.00046%,staker,
0x6e79bf9e42c36fe8e483c30e13cdd5c101f2e0b8,0.00016%,staker,
0x9d88921e91718302b6307458a6d0a22b01620e74,0.00009%,staker,
0xced29ba48490c51e4348e654c313ac97762beccc,0.00442%,staker,
0xc2b7e529d4d42b4a4942509047b3114d920ce883,0.00005%,staker,
0x7663d790453e859aebfc7f3807554aa23905d92d,0.00062%,staker,
0x337e3ff23dd1ccfb5aa6a258c85f36f44ac4897d,0.01715%,staker,
0xa9f276ce00336849d74e1baaba315bf5d8746dfa,0.00005%,staker,
0xfb5462a3406ab6eb92952f970ca27c49617e3567,0.00221%,staker,
0x90e9920ae1ea71ddb61e047823bfdf3065bc918a,0.00884%,staker,
0xc6aaf281b4e677b4910d1f5f05463ba28140b7cb,0.00097%,staker,
0x62cf0107243d16bf47cc223f6a4647321c415d92,0.00309%,staker,
0xc6fc8226aa63742fc340388bf7abbd33dff302f1,0.00217%,staker,
0x95bb938fd2f4a5e825da31d5d74db2d389d0ec29,0.00039%,staker,
0x4dcbb1fe5983ad5b44dc661273a4f11ca812f8b8,0.00300%,staker,
0xf569c59e7d31da806642412b6f2ded518ff037a7,0.00272%,staker,
0x1b49068e39b7d67b93b3af36a2b318eedc46857b,0.00345%,staker,
0x3552c1ecf2f63af2d59d7ad417ac50e853222760,0.00618%,staker,
0x593f5e5b30fcdd2202403183736d13d9ee4238c2,0.02208%,staker,
0x32371b624fad61fcc122813ac42ec6f8639f7fb4,0.00477%,staker,
0x368524c20bdd88a5e90e85e5bda52f9fabdc64c5,0.00084%,staker,
0x6ac61aa7bd2700dba9aeaa13ad21734958619ef8,0.00000%,staker,
0xcdd62a699e895ec5cc142c312156cc076c9af580,0.00044%,staker,
0xfe67d1249e2555a051069ce6cd46021b7fd63f82,0.00088%,staker,
0x442bee95d7fea5217431a02a0df4d10bb1e85e68,0.00221%,staker,
0x5a2168f1a3277c505d0aa78dda4afb29258624a6,0.00724%,staker,
0x07f8abab8d206e28cee94771cfddc51b73b6dc75,0.00085%,staker,
0x768c829c9bda306a3ae81952e7b2f523aa0ddf25,0.00344%,staker,
0x0f7c6eac747b9d2ac65a69429e9fa65d9b34629c,0.00009%,staker,
0x1dfca03326c3cae335fdf5afb5e834cf2931f666,0.00009%,staker,
0x2932066decb21a148dfdc14dce32259d5fc0d5cd,0.00084%,staker,
0xf1dde9486cf96bfc9b6c2a0cb5fa8c8b84d1dbaa,0.00094%,staker,
0xa2dcb52f5cf34a84a2ebfb7d937f7051ae4c697b,0.09859%,staker,
0x7d407a291cec827a3e9193269f452ab87af1b01f,0.00172%,staker,
0x003f59a8f81606f029bb0e117ab8f01db468eaf6,0.00004%,staker,
0x387c6e7fe88042966acf9eac1852e0f101e4b37d,0.00079%,staker,
0xf5d98c5889b3966607619e8af89829a5f150eff2,0.00388%,staker,
0x3dc390dd30daf3db7edfaf0175512e6692421fa4,0.00084%,staker,
0x6934244c2290e92eb2cb46f81a42a4a6849326df,0.00229%,staker,
0x68a8bb406838f31fee0ab89398355e71160fd11b,0.00040%,staker,
0x1924c794d6b6cab91a962690289afe85d0459716,0.00099%,staker,
0x6acc8739ca22c1c1280dc3c09ff20fb44283ac31,0.00041%,staker,
0x46fec3654b8232addb124af68c0f94f03af36e96,0.00441%,staker,
0xe64435adadc37623c07b2f7f554cffe5e80a00df,0.00353%,staker,
0x002fc7f497190654345da6f560dc235d11d67e8f,0.01763%,staker,
0x671e3e50682234909a3958ac00a3fa0f55752283,0.00044%,staker,
0xb80fc7bdae367977cd5d5f665d2b1f7da9bbb468,0.00366%,staker,
0x448e2f62cba156fdf748c512ee847fc4f44e203e,0.05432%,staker,
0x57eb31b6d1927217f061b99591960b3452d85a35,0.00308%,staker,
0x72ed87ccc6113458956dccf940e10837dd66eaf8,0.00452%,staker,
0x03316b2ec37fc2b65fcf013a54736894eb735d01,0.00043%,staker,
0x4d28c4dfc0e10c35d3b18221584e7693ce93e824,0.00440%,staker,
0x0cc720fdd93b2ef7ce005fe46fad5df6703d200c,0.00220%,staker,
0xd895bded79cca7e77ffb38ff88d134d5eb3091d3,0.00957%,staker,
0x1af93029812c3429d2113ff5ff52d0c25782d033,0.10291%,staker,
0x4cc459a562c8b51a198b5dcb958aa1079d881d34,0.00362%,staker,
0xa6267259fc55f8edc1eb9bacb5918cb6f6de6bd9,0.00000%,staker,
0x947646dcb32a78c9abe0bdb1aff197e11a6f7f2f,0.00030%,staker,
0x8ced5c5c6d67fc3bfb729a329627f5e1706eaa5f,0.00436%,staker,
0xbb663cbc73e02c48f577a4fbfa5ac061a24cdfb9,0.00002%,staker,
0x669c78cc0756520cac16ea53728c76308a46772f,0.00001%,staker,
0xbcad7fbaf1d29c2fdef70d67ee7b0a8ebb5dc744,0.00088%,staker,
0x53314910f91d0fd597c0db4fd8737de7ba963ed5,0.00092%,staker,
0x741181a8072d5876a6225b49bf79da725e8f42e1,0.00071%,staker,
0x1499ee1bb1b5189e5746f90aff16e5cbb07b7bb8,0.00436%,staker,
0x5b3ce995bc399771cf0d4a2ca67a074e6556cf93,0.00002%,staker,
0x3f2ae751d704a3600b24002481ec6aa49b3260bd,0.00061%,staker,
0xe310cd8f9a6957d61f504cf18fbaa7b95aa30805,0.00082%,staker,
0xa7a2a06fc79a31bfea2d3b2a7c69c411d30d3e96,0.19204%,staker,
0x8da8894864653c53c0d3e719b037cd17377b1c73,0.00866%,staker,
0x87de0f8a744c8644cc3baa85ceb780254e6cc12f,0.00061%,staker,
0x34cd640cc7bc22808b253d0800806b80481f9e88,0.02654%,staker,
0xc8a6bbd9db10767916f89b4660e51b4fcfd3c4aa,0.00457%,staker,
0xba1801cd46ad909497c6283ea9436cce4127b3b7,0.00833%,staker,
0xd593be7d470ba396c180229308edab4e60b98479,0.00432%,staker,
0x8bd072cbeb9302f15948a851728a58bbd1e3b32a,0.00867%,staker,
0x788f7655cbba1f7d3abfeaa9a37eb60fc057f3a8,0.03766%,staker,
0x9c173a6f2f827895ebfc7a0de4e9f7add89eaeb0,0.00001%,staker,
0x6e7a967f02f89c39e4eb22ee35424454e18b8515,0.00073%,staker,
0x76d3a59fa959845381276786a9245c5f6284caa9,0.00216%,staker,
0x8cddab7ddf167c20e11d69a25da7b79982aafd5c,0.01035%,staker,
0x72d35cf766c55a5605a87a264ffa250a38a59fba,0.02513%,staker,
0x13f7b8d7ec4c2c58c6dc00e9d963e5b6500ffdd7,0.01332%,staker,
0x26b5e14dbf21bfb62bff869f5f4bce8dbddbcfca,0.00302%,staker,
0xaebffcb7519274f634145096d4e76647440dec10,0.00086%,staker,
0xc620b2893dd5fee2d0124aae20a2ed825d7f5914,0.00073%,staker,
0x7a2331ed2bb665a2fe1bfd68234c47b777d9601c,0.00215%,staker,
0xb8699dd1c9390d4b267b8be1e0563827aef624d5,0.00112%,staker,
0x06e6fc96de94e49b771898642831f370a07e0f8d,0.00040%,staker,
0x823f76c53886398c80a83461875319b030dcc7d1,0.00357%,staker,
0x52d60f214a45d655cb1cb37d893e9d38b3e03034,0.00710%,staker,
0x4be885b7dcfc20aeb08190a50be274c737dd8c75,0.00128%,staker,
0x8ffa97e4ceccabb458e35d71b726271f5cb64c86,0.00004%,staker,
0x4987eb2895567d421658ee70b4bd5ccb1c7f5e57,0.00004%,staker,
0xa5c01c4a28dad0c40437a71af4dad6a47e74f6f5,0.00004%,staker,
0x0b762e494daba875b6722bab12736d5308449aed,0.02164%,staker,
0x5a8f9df596b9e4a53d6ee314425491e5ed27656f,0.03470%,staker,
0x1ec5858f161fa17f148626abcfac12381f97d34b,0.94515%,staker,
0x1aab5ad27515409cf96f8ee10c41e2fd8f0365dd,0.00215%,staker,
0x2cc8724ad934a7bdb1dd58211e96fff8c9779b6c,0.00064%,staker,
0xb7d766ba0159c5db7621f6dbe47f51dedce0e48b,0.01284%,staker,
0x9b24739a48df12507edfd02647cc0f781f931ec9,0.00004%,staker,
0x02490a73eedf82a93341d65669af7952523afd62,0.00004%,staker,
0xce65e156a08c08c9d385dc9b332f12a84cbd09a8,0.00004%,staker,
0x81a0e2832be85177256153ed48a208185e7e3fe4,0.00004%,staker,
0x9b3f9c2981891a6b0de052f88a6270dac9479633,0.00004%,staker,
0xbd68ef986cec9023bef0b361fd8a634c87881309,0.00004%,staker,
0x358e7bea12db5a3c49ed4f99a41b6a9aa5e3c96f,0.00004%,staker,
0xad8904d6563e3348b178ddcf49b312137c992e51,0.00600%,staker,
0x42dac2ec3e4231a0d046e7ba6053519f9db20b7d,0.01157%,staker,
0x69423c20cb04da697996534507f8541fdb3e9aa9,0.00375%,staker,
0x1009286cde99dcf803d72f2ee056dcd26ecd0b10,0.00428%,staker,
0x449fe373a710524fbc5e076579c70d52fcee7865,0.00063%,staker,
0x951acfb0682641c4ad269493b697620325432660,0.00233%,staker,
0xb3d84e4b62e7fce6c64630a0325c4285275b990d,0.00052%,staker,
0x3c399b15856938c8d8aa675977535ef464d77485,0.02944%,staker,
0xf8b2da72d42f642bb935a717b88414deb6bf7ca9,0.06847%,staker,
0x6eadb61bce217a9fba5a1d91427ae2f7a8ccbac6,0.00170%,staker,
0x0df039c0543e745925d7b02338f4bb3ab754ea95,0.00012%,staker,
0xaf0ba3f5048616c9a8d20db34b1157ecf1b992c7,0.00080%,staker,
0x37e79115991f580a009385691b9316389865cb17,0.00039%,staker,
0xfc467deca498c2e5f942013dae9a21ba47d09ab7,0.00135%,staker,
0x995fc7687c406a2e0cbaeec7cf83806db96f9397,0.00056%,staker,
0x4546e1f688a645a2af438fdb01fba79a8d80352d,0.02177%,staker,
0xcefbd5b5558abc2f19fddf995f161e0e1fd0134f,0.00362%,staker,
0x5d96fb87051458c0be05c7a8f8f583e20639fbfb,0.00345%,staker,
0x6ac54906d7eae6bec5c7fbd26988de4bebd621a7,0.06733%,staker,
0x430a4ae8d824ba19cf9e460cb77adfa42ff45ffc,0.00085%,staker,
0x09387e4fd04405e94c681d33e31f39d4c9915cb9,0.00004%,staker,
0x9e1714dcd0ce784dedee8cdb871041651e1c40b3,0.03947%,staker,
0xe57e5fe8f6c4b9f3ad950caa145eb949b0534bdb,0.00041%,staker,
0x894f1fdf83c322a6b35afde5f2942ebeb670ed30,0.00003%,staker,
0x6908cc437c8bea5c19a81e487a1528635ec2b197,0.01214%,staker,
0xc71a403c37e633f4c01e2c0e2a20f1302ed8c88c,0.00031%,staker,
0x12d220fbda92a9c8f281ea02871afa70dfde81e9,0.00598%,staker,
0xf6fdec4c4255dba394619dbbe4581adfa6bde57b,0.00066%,staker,
0xc2c0d7b9293f10878d48f7ac2f129ac4ca318bb7,0.00379%,staker,
0x6b8b3e19f87f98bf7df60bdcba67ec3b32204b3c,0.00842%,staker,
0x4465c487c21b4bdf2290a278aa0208ce144bff73,0.00001%,staker,
0xed72ea7e09a260388495fba1421a7fe0a8fc09e0,0.00021%,staker,
0xd8a1ba614f2d1d8ff4dc054e805be9cdd2f1b6f9,0.08412%,staker,
0xa63b833c4bb36bf5e9d1c981fb17a4ff37dd68f3,0.00057%,staker,
0x446925b8fa3ce7072a6f389df46150978da748fb,0.03567%,staker,
0x44f63b941b81422eaa1cef6b099d4e14cc9d3583,0.07878%,staker,
0x1280dbb215377fc62e3b863441038eb06a98eb2c,0.00263%,staker,
0xe42a9899768b7dc2ea3eaa63e4045b1f189394d1,0.02199%,staker,
0xceda3acd70474a23826d986f2bebe54d4fbe25f2,0.00109%,staker,
0xa0fd109183b3720e75ae00a55967f8d998045787,0.00294%,staker,
0x99d4065fc6d4986a67ce473997935eb48aa435f9,0.00083%,staker,
0xd7ce8b04ae5d022ea18db561d5f4b80f4741f54a,0.00687%,staker,
0xba773972b66c55ba5ceafbfc0c3693d124c25f39,0.00015%,staker,
0xa1b6fa626e5f9b43995439854ec78ec7eca13a14,0.00227%,staker,
0x4e6fed32764452137ed74b072061178e1d034018,0.00345%,staker,
