Address,Allocation %,Type,Sum
0xA6CAa5f734Bb9Baa75Fc37BbE1d64eF605e76996,32.7374665018901%,User,100.0000000000%
0x09A730bEE9e7D6CEA4A0117668442E0F9F17547A,10.0000000000000%,Developer,
0x66ab6A57322aC5FD7026662675Db0E83307e025E,6.9086924603887%,User,
0x2bd7605ED729d71A37be27b373AF52a50A707b12,5.2651463846300%,User,
0x9c3EAE1a765d1BEBBCA223414D24201340468265,3.5488130494907%,User,
0xa8992310f620dc8f23f9cf4fad90a2f2380d8d6a,3.5284446303416%,User,
0xFdeE5502E4DA25379275b3F52275d1482887761b,3.0645406784322%,User,
0x5d97a0b92efAFcAA50D75336311d6Ff004f525aa,3.0071163956221%,User,
0x1aAd9e9a21c69E3926C545c756b8f1C8577EAc11,2.2527446865050%,User,
0x9726b9b37a3863076ca3De8e67e2FFA3E50Feb34,2.0912686750119%,User,
0x86BddFEB23945F869099d295e84F9036b4e83d18,2.0000000000000%,User,
0x79368d930a08769EeCD40a2D64d0D9C85AD32C14,2.0000000000000%,User,
0x3c9ee43b96bd5d3a7060ace8c98d75736a1ebc67,2.0000000000000%,User,
0x1e33D9e7b8eEe96091589F6255164701095d5a79,2.0000000000000%,User,
0xfa59FB6aF58E565b797712FcB7e4D3fe782A6CbF,1.9137205904952%,User,
0x9633BAc0ae8d720E2016D8268a9030A6aCadD784,1.6868763044192%,User,
0xd3aCdB8558d2815e85f053cBb69b34adf5c8F2A8,1.3388833576967%,User,
0x4b000e8a56792f93976ac08743b8c4519e295d69,1.1821112731644%,User,
0xEB3648865b1471996e5F65Ae845F9Eb9226B9a02,1.1505267936599%,User,
0xE13cA7E1a4460989b23b13E9d10F214dBd9749bd,1.1185441505268%,User,
0xf472bD3fc5eE36B7C616e5B9E7B1d067d27F5B70,0.9922487778171%,User,
0x895245DF0A2383bD0D09C0aE718f9EF173CEdE7b,0.8994621024439%,User,
0xB61d447DC78e38cf4A595ff8D78140b722Cada3D,0.8492809156536%,User,
0xe65ef090EdCE1300c8CC38D10c04E3C9Ea2ed534,0.8288815994195%,User,
0xFe95300D7Dc587A88a3cAdDFaA6eEe0507697307,0.8169558846754%,User,
0x5327131f64f9FEdbcC60bcDa09c5e2e49ddd1929,0.7441746765680%,User,
0xd7D343601a3bD6bDEaa0b06205f9E1Bd487C9b7E,0.6180886650006%,User,
0xe1c41c487B2DefC8abCc4eD8B956adCDe3979d7c,0.3993261159122%,User,
0xd760c53800bE0223bDB8AE02baE245a51bE05eaD,0.3483650340608%,User,
0x3DF6c6C173049751ce319e4b7a8C2947B47d5dd9,0.2530114521699%,User,
0x72a4a110644Fbe10EB2CB070207a6ea876CfE4D6,0.2480582255227%,User,
0xc0e86A3BdD4007C187bE8D64a17aE7BcB26e0EEA,0.1985031376936%,User,
0xcC202930867769A83B61cf5053b65D1845E76Aea,0.1973878679116%,User,
0x7f1629A22cfc18D305DFd812947dD639393ad259,0.1885242513972%,User,
0x0Bb874194FaD7B0D200Ef3e56702Eb8B0cc74643,0.1881223970719%,User,
0x2f72FDd6ff5de0D6B9Fbc643ED0DbcF8ca146f95,0.1638312049889%,User,
0xAD70Af54df03c85F422294885945c92546Dc00b0,0.1589302293736%,User,
0xCE3d68FA1345b70c5af46e2Eb0fF42470fFec5A3,0.1500067623710%,User,
0x70b1B4016b9f875d798c75F4D2C5E8D30787c187,0.1418228253945%,User,
0x53591cDfb7B8b6C96E5BC3b628Ed06790fd901d9,0.1409052822238%,User,
0x3963a2cB6759f3F2827f46CE52A7398aea8e2977,0.1136801235925%,User,
0x7b6c3da620eA65d98087694306d6F90823a99d35,0.1133249042136%,User,
0xA1FEAB3BAf1C33DD97B705C8C4D6c76C900eb258,0.0992232902091%,User,
0xBe1bF420a77d05B770b485A1465aD73dD86E8D38,0.0992232902091%,User,
0x5D4B67faB585eC9Ccd341eA9cE32C4A71840747D,0.0920841744785%,User,
0xA7457FB18719c884606700B24E601a47ef238bdE,0.0916049259868%,User,
0xBEa645Da9c7f6De1f7E287759CcBFd5ab9f57C08,0.0881688234469%,User,
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,0.0867330624376%,User,
0xa152ae0226e9B9D5710F18eC3679096062B5Eb1f,0.0835479948218%,User,
0xaea90572acd703fa8d6b72c2c2afbc83ed0e7272,0.0835388477495%,User,
0x73051a64044fea61a6100eb0b55c9087be32cca3,0.0686230501448%,User,
0x927CF93Cd2565f5F23D222e15B8329a8d5EDD744,0.0611096399740%,User,
0xD4b39CDCe8B33AA48f66c05c75BaebF9229F71D5,0.0603872944212%,User,
0x59D2e0a2be0DB463c36038A5fd2535F58Ab3B38F,0.0526568078811%,User,
0x91A63948D01C0DE0f38DC1bE4561E087990622dC,0.0526071962359%,User,
0x3a023aDC953404FAb60f8d3C4361B2D1d37F95B9,0.0496116451045%,User,
0x7A550f4C76D7524cF23e8103A3E5655A39541371,0.0496116451045%,User,
0x97582b9a72425fd97da3db750eceb9cdb3d84c65,0.0496116451045%,User,
0x2A6e14c4b90B55ECFe4b518f4c7675a994BEb06b,0.0479675151858%,User,
0x5739326C54337cFA2443dE4024D269e50C1a0b3c,0.0467093638659%,User,
0xC14d8B748e6E559BE7660D4b0B0f70f460d724EC,0.0457617814444%,User,
0x43A74a6c14Ec7A3E7D89638c522058A6912Cf386,0.0409305994441%,User,
0x27f4f61a9a3d4baa3f84c61e3b3530f5a37986ee,0.0405158460911%,User,
0xfA7C324CB1d3b0128fEAa246c93417829Bc23809,0.0397190830707%,User,
0x1f7D864527c664E8072c0fC0FF90Aab7aee28825,0.0390399789573%,User,
0x4355Ea5F88d29EDb19c8D5861b11CAB5C0F7CDB5,0.0378487240502%,User,
0x371d85107369B3Fc7A001F2DaDD33A6903ACeAcC,0.0355745262387%,User,
0xaCAB63D7e5339a4661AB7CC4f7EEf6F00b8F85b4,0.0338014060426%,User,
0xAAFCa296574A017EE4E57A8E5C7B83eb241fB942,0.0308227228705%,User,
0x53141f7ac67Ed5B924F3bB52e432451f036Aa922,0.0307373908410%,User,
0xBB58a9D3E690CA7B0a9387D6aAd03a4E344D780E,0.0297868317208%,User,
0x53d8edf6a54239eb785ec72213919fb6b6b73598,0.0288372756186%,User,
0xFf3B7d05ED4E7852837572A9c798094b7A52E97D,0.0288323036690%,User,
0x305DE42f65f22114e0f37AF29C7f2cD6746C6a6c,0.0282998185017%,User,
0x7D46c76E75b8CFb1dB979adb39a29106ea309B0a,0.0282607775173%,User,
0x688576371e9e54186658db78172d5b403f811824,0.0281818209199%,User,
0xE7E50ca92b51a7241aeC1576541aF4f5CB2FF4fE,0.0254606962676%,User,
0xd378def02ba6b7F34413692Ccf32eB9053D339a9,0.0248058225523%,User,
0x08D5671abf5942387FCb95B55E14E27e1AfFE80F,0.0247155293582%,User,
0xb46e17C955b5c6000938e1f250F5573443C2A8b6,0.0242809313471%,User,
0x085c60c4fdAB98f3a15eBec4e7509C8118AD774F,0.0239892148738%,User,
0x05D2Db9dCcDeAa94A4a7B3e14A78Eeaf58639CD7,0.0226377936612%,User,
0xEbcEa89D0E3bEb500449F7216bb0f456D1fd93CB,0.0213826190401%,User,
0x3f529523984f91908c551B4ac9432e1049888Fd0,0.0212139394467%,User,
0xd7123df9b92f7dc8542fb8231d29ee052a8807d9,0.0194879638513%,User,
0xe84e213becc8c50faa5400b6da1e520214692f86,0.0194553607878%,User,
0x952815ea349a0c10db5d854a16a27d768e85053e,0.0180416676743%,User,
0xB9301C0001065de513aA0cf1bAea9efB58A2E775,0.0179058349511%,User,
0x50ab2d94232b4cB0Dfe73850e9D2cD4B4F830373,0.0175158874206%,User,
0x21D1BCDa174ab6C17bBe02eB4948633430093bcE,0.0173640757866%,User,
0xEfd236c123B2ae693F7aE5F991cCBFDbC879e9af,0.0173640757866%,User,
0x6ce4c15905e36f92366d259626592bf41dbe69ef,0.0168896986168%,User,
0x3Da2B0BA94FE775975d495e540207aFd800a9C60,0.0161535516460%,User,
0xe57b167469D63b25CDDBFe45F41325A11853457C,0.0146850469509%,User,
0x978E9B5F8CBbFee742A92FCF82E870CDDeD5D6aE,0.0123671908917%,User,
0x94b45E69ad2909cfc977B3886e115E910b12953d,0.0119067948251%,User,
0x7B0b2a724C6099a948aF1094eCeB5F469aD26092,0.0113203851800%,User,
0xE434109eBbF886FbFc2a364dd7b78BD3d79279Bc,0.0109582201707%,User,
0xcdfD2aA6Dc6780A49Dea2934124b736317DD9A55,0.0109413522114%,User,
0xD8055019DC44565BD0116323B28cAB9fD0D959Be,0.0107290143703%,User,
0x6d4ed8a1599dee2655d51b245f786293e03d58f7,0.0107186314831%,User,
0x2a288B37C33b01FacD3dDF1789dBF8e2883FDb40,0.0105543813795%,User,
0x72e6D508cCB18EadF82c5041299bdb2b5Ab247a5,0.0104988163370%,User,
0xEb74A80A49caA4c328dd17beB28c04178304336C,0.0104323367326%,User,
0x0b3E1590e1bF0c922c59daaDF17B17F30107C239,0.0103450202372%,User,
0x2c347b02E6414F8d50033371BE63Ee150382706C,0.0099550727067%,User,
0xC33eb53034ddE6BCA0B6cf40Fab892216180f8F2,0.0099223290209%,User,
0x45b281082ABc588288707004DB2463a65f1F42ad,0.0099223290209%,User,
0x5860510d01059150Ddd2cfb796a7C0036cC4088c,0.0099223290209%,User,
0x09535B5C76A7dAA3D888B9aff95199aFf386AfA3,0.0097318203037%,User,
0x5D1d88bd5f7FA853e9b6342AF4A73e763AaD672F,0.0079338942851%,User,
0x631ab8eb40588543df900263f864b6376d56a587,0.0077967448895%,User,
0x71A76244151fA724FE9216A0E45Cd4DE106A133f,0.0072055953350%,User,
0xfd09e2d6047780508355ebdf7b4e7f630749d6ec,0.0069059667859%,User,
0xcEd29BA48490C51E4348e654C313AC97762beCCC,0.0059533974125%,User,
0xEE219649DF63A76501B986D13F6884D019B2204e,0.0059533974125%,User,
0x13f1aBe62CB0B7CC866144799f237b5Ef22Ead49,0.0055088770724%,User,
0x07dbC6a479903667fe238c1Be9dcDb18A12A7490,0.0050157373201%,User,
0xEB8f9a12e137adde283Bf66d9A4CB8556d8A5fcA,0.0049760480040%,User,
0xA64d6184ffF2D5c4764218D2Fe6b517D667597Ec,0.0049611645105%,User,
0x20a0613777afBfCb56053a07B197bcDBA08cec58,0.0048341586990%,User,
0x290605B327d64c36cEBa0e135aD33D60a9c1787c,0.0045781626102%,User,
0x9eBC0a1992C5C8110CF9884F74aB3dbffBA9651F,0.0042338577932%,User,
0x5AAa9Ebed33B1b7d7557e28F7E00Da58171cAB2c,0.0033458093458%,User,
0x0912Bee9DBfE99eC79F2267c07697f3A70cbb30e,0.0028427472645%,User,
0xF47c95a6EfcF29C5E8864b260e87264bEc354E94,0.0025520230242%,User,
0xdBd462e5609Ec1cE35A43D458B2b2F1eA94FcF8e,0.0020836890944%,User,
0xbB5048A65BE6366BEb86e06b21fa3018bB99340D,0.0016520677820%,User,
0x68b1656107b64221B77Da8f593BB97fb43b8B72d,0.0015905493421%,User,
0xEA630fBbBE263362198036CBD1671b56D581b3d2,0.0014823959557%,User,
0x9277427FaeCDb247214F5b8d817E7139688bC860,0.0013603513088%,User,
0x9dC97966e63b0437601fDf8Fe52e798Dd536032F,0.0013395144178%,User,
0x05D26775A731f803f6CF5Bf85067Ce056D40E810,0.0012363221960%,User,
0x08034C21ae1F11FcfE124efE35fDfCEF3A7b14c5,0.0010775649317%,User,
0xA30bad9133266B5A108B6b1Ab9534AC6C62dB81B,0.0009922329021%,User,
0x376bC2A1A3dA0C04B381ee18349956A558c742C8,0.0009922329021%,User,
0x397fF057bAF160d1E4D1DB1269b466D5F2CD6B44,0.0009922329021%,User,
0x5ef9f94c5708b01d67985e46fd53f15cf0da4d2c,0.0009922329021%,User,
0x0FD4012935f520668Ec0Cea94a5b4604580A136D,0.0008493513642%,User,
0x9e3b90ad0f912efe1bddff50ab57ea9ab468e4dd,0.0008072627344%,User,
0x33d1eA5cF80da4e9A0317DEEF6ec63eE01a3901d,0.0006747183734%,User,
0xbc87ca2fd4322f28c97dcec74f33168afdd45d79,0.0006432314534%,User,
0x31923d31c5F5e8E5F77c4b40D35ccAEd78f76C55,0.0006141921664%,User,
0x8DE3c3891268502F77DB7E876d727257DEc0F852,0.0005953397413%,User,
0xe10c0E94B2C87CeBCA499Ae421de8B8dc8467256,0.0004961164510%,User,
0x2A5F7eDeA6Bf8cA899E9CB399192d5f78aBdbDa3,0.0004961164510%,User,
0xA42cc8097460445151b0019AFb13EFCF5E5a6294,0.0004078077228%,User,
0x1f75aEe8866084eA7F64Eea270AD29DAEba1Db13,0.0003968931608%,User,
0xA440Ce1BF9cA63BA50329d1401d2e518A9E90ADb,0.0003194989945%,User,
0x856b63349fB6c818ea7cD7305483Ae0EF6956f6c,0.0002976698706%,User,
0x64d50eCD91e6FC9a549C95226D616D4BaF614D20,0.0002014232791%,User,
0x69EEae3A39d5365A93081A3D95eE473Ba317Ad81,0.0001984465804%,User,
0x44DC359714e0c75f11fC9aB3ae212962262364c2,0.0001885242514%,User,
0xFB85c9B9314c45661e0d553e271EFEFAc154c839,0.0001709507004%,User,
0xbae3BAD311A211DBc19C14a5D2995a9a4741abc7,0.0001260135786%,User,
0xb9D24761ebB3e3a88B8CF20e77F56ccF026A2044,0.0001230368799%,User,
0x9Bc86996822381b9dC51D367A6bF088d397d9F68,0.0001170834824%,User,
0xC7E4EDFE66ee2F17a8DF765C48d9054f22915E78,0.0001111300850%,User,
0x78e8de03c355605c635ce04c1725d0621c2b849a,0.0001091544285%,User,
0xe31381040312527DE4ab71A86F2040855187aEa9,0.0001031922218%,User,
0xB9dEB81CE0ec8fdE918E49aAF3734E753A309844,0.0001002155231%,User,
0x2a06913D5b8748b222E1236768C24ca19198B374,0.0000992232902%,User,
0xaae102ca930508e6da30924bf0374f0f247729d5,0.0000292377933%,User,
