Address,Allocation %,Type,Sum
0x123E587F469fCB3c5992793d081bE8D643FD78e1,10.0000000000000000000000%,Developer,100.00%
0xfc4e1bf775f829d664795b62b933962b5421326e,0.6918061342710740000000%,User,
0xc253dd9f4a4e44cf5a94aa6b77b453768e81c816,0.0409587143139555000000%,User,
0x56185fcfbfe514693103204349846b658582619c,0.3675519487855010000000%,User,
0x63408bc049aa2ce4940ac3f41709560975e985d5,0.0034599073578887700000%,User,
0xeba0313226b366afd89381e6a49b7c75051ef9b6,0.3403622304754070000000%,User,
0x0c97b3e224e2bfb0f713b554714ae9df4b46d154,1.5621144093968600000000%,User,
0x7191618b556e8e65879ed1d2dac9b50318c3e4a7,0.9525543950144740000000%,User,
0xecade9aae914220844fe43f89d14bef7d465a04b,0.7344014682952590000000%,User,
0x21859d99996ef38acbb8837fa05bb7a999da122d,0.5935210581238210000000%,User,
0x8760cb857abd4d41f1e9cc3c5c8abcbb01eae8c5,0.5365611175835610000000%,User,
0x19fa5ab7346e05d9617c057dff32899af294a926,0.4930385374823870000000%,User,
0x51fd9f6fe59aba1061371287ced4b27bd9afe222,0.3266386483730790000000%,User,
0x93ab0cd091dc8dd513ebfd11972e64a2ac558552,0.2960158876197050000000%,User,
0x76dc7fb70b9dbaff6aafa594d6d1ae8f99f858b3,2.4601535919016600000000%,User,
0xf33b590b07422ae741c683eef171e5c80bd94c75,2.3342167164733500000000%,User,
0xd10e7b4bb4b00a93eccfc0d274bdba401f74888d,2.0139956158692100000000%,User,
0x70076e38332be5d4459ea6679a22190021d23847,1.8172385542164600000000%,User,
0x8db5267e9716d4b872e443cc0a408aa425498fed,1.6766279349622400000000%,User,
0x6930c46bcc065ad83b4f7e4880ee874a155946d0,1.6205869218712900000000%,User,
0xe27b02dacd13d204428b436ec67b0b60170dd7db,1.3291167299920900000000%,User,
0x6cc410506493580ca560e758f045d4d9e43a56ef,1.0085565865770500000000%,User,
0xc9fa3c41f6c5b59182c082a3edd39054ebe3a949,0.8960729278928330000000%,User,
0xf73b42a2d0a87f2cc8abf7bddd49106ae8acf6c2,0.8341314783361480000000%,User,
0xaada1359f96ff3963f08c9d754f175279f738123,0.7244007378593810000000%,User,
0x1114096666f6f7a78ce3a6f68a2517386326b173,0.7128899184739680000000%,User,
0x79b34e184884550ef726d8289662bae25c6804fe,0.7018338190151080000000%,User,
0xf61ef09b49f1d8f6ba11686f9c58cfe75da79612,0.6882136668420910000000%,User,
0x34aca35de9145e9d518c93f37371b543f7a571a6,0.5901247953589870000000%,User,
0xd5fc8ba99965cfbf7a124c8bfb873ef74d7c13a1,0.5583637595516350000000%,User,
0xd5bce29a5c23c369867207a3ab25363a6d35fc5a,0.5187715483202030000000%,User,
0x45d6cec420cb12b39ea40b89760c5f31bc971ab8,0.5007903764113250000000%,User,
0x99de25dd595ea941632eb4ba5faad8fc2700fc38,0.4765181001999220000000%,User,
0x93055421e8f402bcaa2a3ce4c1416449907eb609,0.4472030625699730000000%,User,
0x86c8662547b18e67bedf6e6a9ccc727a5d9f9c34,0.4145861036009100000000%,User,
0x1f96791b18970375a0cb0fdf647e8af33d31a3a7,0.4112563587232730000000%,User,
0x8b2f5b7e442e5b3c32f9a0eed8d54f2f280065f0,0.4104887323369250000000%,User,
0x48f2211c59f45689ce1c268c58eb4d5ad1a50187,0.4052299846368010000000%,User,
0x4d5f6f7fe3f02ac084e9722f8f17e29e3ee5b2cf,0.3922411439252640000000%,User,
0x9c80f8b103dfbedbc82434493a531672262a329b,0.3874087011854660000000%,User,
0x00e924fa2de72a2fa0c43df56c16edf14179b5c3,0.3681898065005110000000%,User,
0x24a20c3215776844b38974d0bd6eb8de0aa75d95,0.3595402015621960000000%,User,
0x3d4981ceb325db6d8b5aca3f96382bc5ec6b8a21,0.3486106472145380000000%,User,
0xfe31b1fffa0c929b00b32fd016c95a14efe53609,0.3240598878177040000000%,User,
0x081192dff3392afcd76572136733ea2aa87005f6,0.0321907894872391000000%,User,
0x4a3598d5bbb51e374f832ab137dbca2a2a5cacec,0.3174785077111220000000%,User,
0x7d5d11d16dc62a7ed597b6de2dfbf5030712a235,2.8711248852433400000000%,User,
0xdc0c993c5de492a4f92d22f866cf33feec0e9569,2.5296878041592800000000%,User,
0x727ac1696dc23c77524c43dd7762bb8d7a2752c1,2.5139881249585200000000%,User,
0x75b7ae82aabef46d97c297eedabb24e675d428ea,2.5017553776225200000000%,User,
0x16fb07f00b76b5761ed10284317cbe2d472bb7aa,2.4223233983115100000000%,User,
