Address,Allocation %,Type,Sum
0xDe7FcE3A1CbA4A705F299CE41d163017F165d666,10.0000000000%,Developer,100.00%
0x1523a02c1454c2f94e4e79edcbe7d8efb09ccdde,1.1924686193%,Holders,
0x11118327d7e40790445dc7c01fe145e5509b1111,1.0529986054%,Holders,
0x052564eb0fd8b340803df55def89c25c432f43f4,0.7949790793%,Holders,
0x0f576fe0a916ca39ee929f0cc956cfc9d2a59c12,0.7740585776%,Holders,
0x87d96c3ed01d574d464a1d5e7748d01939108200,0.7601115760%,Holders,
0x44c3cf2d964d7b2f9be5fa612b0cc436720f6ead,0.7182705719%,Holders,
0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0.6973500697%,Holders,
0x69d3158a17e11fbbdb2a0e7e8bd05ac3628e3630,0.6206415620%,Holders,
0x4560ada36ef1bd70b49cd3c0468be30a5d41c813,0.5230125523%,Holders,
0xcb009ddb6cd2b7286acd693addde4a60befe808e,0.5020920502%,Holders,
0x769cd3be2dd0c46b0bac39e5ea1ab01618c3d0eb,0.4881450488%,Holders,
0x9caa7459ae36f229d4149e2ea758ccca2d828c81,0.4532775454%,Holders,
0x8c120654fa37332242eee79d8a6a5e268adcb61d,0.3835425383%,Holders,
0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,0.3626220363%,Holders,
0x6254c09a0deb4bf3833f19674d3c4173e34eb947,0.3486750349%,Holders,
0x21b9b0396519b32f640e9e7bfbfeac45bde3b260,0.3277545328%,Holders,
0xee8eeec3e7a5ad82827480a9e00d01b1ec0a9f3b,0.3207810321%,Holders,
0x7615c7dd1e7a797f616c408ee27b97439e6ef008,0.3138075314%,Holders,
0x5e58538cc693b1099c68d7fef963c1f148dae8cb,0.2719665272%,Holders,
0x390b12590ae2ed98cb0ec93f287517a949419c22,0.2649930265%,Holders,
0xa1d80730e04fd7da39ee755424d51269ddbc082f,0.2649930265%,Holders,
0xf00bae4d8266000aa5c012baa693d8c12e4edf08,0.2649930265%,Holders,
0xcc481d3c3017143dcaf981d931b80114316e6137,0.2510460251%,Holders,
0x3e4fbaa149c7a03ec73bef6e62b4fe3183a640ba,0.2510460251%,Holders,
0x47d68486f5f7f657cdf4c65973c6fb15550f428b,0.2440725244%,Holders,
0x9355e3fa0d4b14a14ca160497e20438249b7c360,0.2231520223%,Holders,
0x7c5e1256df9a9f209c079fa2416368f9b1f01507,0.2231520223%,Holders,
0xb575af01b7385b8421bfd030aad6973c4a05e724,0.2231520223%,Holders,
0x5f18b76cbd68d39a5e6f40dce057c40d4973c924,0.2092050209%,Holders,
0x178a61498172d59bad609b7ad2469dd555642151,0.2092050209%,Holders,
0xc34fb745ea5f72e64b7a462b3ea5d68cd0522538,0.2092050209%,Holders,
0x39da41747a83aee658334415666f3ef92dd0d541,0.2092050209%,Holders,
0x239dbcddeae1dbb49aee663e786a9c5599031bd3,0.2092050209%,Holders,
0x2526b26d31500d8d7711b80e22a9f48d2142a2ef,0.2022315202%,Holders,
0x8024bce590ea5229e95d8b1fb977659d5b9769e2,0.1952580195%,Holders,
0xf0b2908c638bc18f018933928d079f930a3c976d,0.1882845188%,Holders,
0x4c775fcde221a18c82499ca73058e3055373ffb6,0.1813110181%,Holders,
0x093ca050b2729510d5cb1bb3d2e1c437186ffa9d,0.1673640168%,Holders,
0x491abe38c605b6107aebb6f3232e03fbee4d5ef2,0.1603905160%,Holders,
0x8be32342a1b9a7c331b680758d9ab0294ec2d549,0.1603905160%,Holders,
0x52ba060eb7a8600ce072737f55d11fcc9a449bd2,0.1603905160%,Holders,
0x1a775079fde189642ec93829e298148813274bff,0.1534170154%,Holders,
0x60ba67345f32a100c1e1b19279f6a847b79a4134,0.1534170154%,Holders,
0xa3df7089ec710e5a10acbacc623665f98fdc4bdf,0.1464435146%,Holders,
0xce308b6bc6902520822294be50a0f18df447648c,0.1394700140%,Holders,
0xee0410a626b4f4fec044ab99aac4a72f93c14a4b,0.1394700140%,Holders,
0x6908cc437c8bea5c19a81e487a1528635ec2b197,0.1394700140%,Holders,
0xe3c2749a0a71945fa47b9c257db45d9ace5e5e76,0.1394700140%,Holders,
0x1fd7dae8ce6190509486e657629975e10ecfef60,0.1394700140%,Holders,
0xbc7039ea831ed23e7cb7eeb0719b911a19a05f56,0.1324965132%,Holders,
0x4d7288d7a4721c4e197306f493e848f44174bb8c,0.1324965132%,Holders,
0xac8e376458d39ce6d915c1404735a032bfeb6f7b,0.1324965132%,Holders,
0x968d7395a6e5d47524abe6c0bedf66507b440b85,0.1255230126%,Holders,
0xaba96619b891ad24ffcafa3e05630f968b21e89a,0.1255230126%,Holders,
0x4d28ffdf4610d56b35fe8052937c232e898fb75a,0.1255230126%,Holders,
0xa621454e8d427d979aece75e2878a227db673db1,0.1255230126%,Holders,
0x703fed28a5c017b0e7ecef2a1014a439174687e4,0.1255230126%,Holders,
0x8a1918c98f65cb32fe503b9ac008325bb7f8ab5e,0.1255230126%,Holders,
0xc56321619b92b850c7be958574d8cb928d7312f0,0.1255230126%,Holders,
0x2c2dbfee5c237de97db1e284e734d80af90f71fd,0.1255230126%,Holders,
0xdf24c21495513caaafec01301f40ab42a68a32a4,0.1255230126%,Holders,
0xecbe3b510638206edf2a2cfb8f746f9ae02be1b9,0.1185495119%,Holders,
0x021afda9886dce1cca8cecd130e4f2891b2b91d1,0.1185495119%,Holders,
0xb8d6f735d89d49a5f7f629bad790227454939471,0.1115760112%,Holders,
0x8e60b055656beb228dd78b843358517be4e100a1,0.1115760112%,Holders,
0xc5b4918121289b28c95e13376e9320baf5c8edb9,0.1115760112%,Holders,
0x5183815804f53b09122277f2fd85f731994fe968,0.1115760112%,Holders,
0x0dd26737cc20021521df1279a3d3002c0761eeb0,0.1115760112%,Holders,
0x21e0324596f537e902b1c215c3985c95eef7943b,0.1115760112%,Holders,
0x525f4d5448983043daabc08bbbac56a82ae03d24,0.1115760112%,Holders,
0x32cb4d6093b854061c63c1d3f243347a45a17e0b,0.1115760112%,Holders,
0xbc53efb09b212835ee283522dc9e9ef1b65fe139,0.1046025105%,Holders,
0x6785bdf80569e9bcb249083bfe95304640996cff,0.1046025105%,Holders,
0xc28f1550160478a7fb3b085f25d4b179e08e649a,0.1046025105%,Holders,
0x83b97b9454d90791480cfda42c01d461d4d4eaa3,0.1046025105%,Holders,
0x3996c69288e1464c8d23823ddb7e72743021154c,0.1046025105%,Holders,
0xe058d4b6b90e10db50e166ac4387ca13e175e7e5,0.0976290097%,Holders,
0x279f2acf3bf5dcffc29e57aafa2f4a9f432ab0c5,0.0976290097%,Holders,
0x35dabdf093544067fc123a530902cc308f7bb636,0.0976290097%,Holders,
0xddf767f258adf0af89896621349cadcf8722f771,0.0976290097%,Holders,
0x97a7cad57852a37a777ec7329d6258236e4c92f2,0.0976290097%,Holders,
0xa56aec80517fd231d7decba32f2827dc87f62c89,0.0976290097%,Holders,
0x3ca941369d37fed940552f81a7d72a65514cff48,0.0976290097%,Holders,
0x6ee25007b73fa79902a152a78cab50f4f7fa9eff,0.0976290097%,Holders,
0xe8b0bb2410b02b2bcfd58e48888b508e5880752f,0.0906555091%,Holders,
0x0b13f13c0e99f24b96a835b787d1347b33d87776,0.0906555091%,Holders,
0xc446a860518416515945ab14d312610786c8ca69,0.0906555091%,Holders,
0xef467efa2a866068f7574be3dbbb7e8d84fc3198,0.0906555091%,Holders,
0x3e3aac0cb9038253ae6b76e73b36ba4403ab1754,0.0836820083%,Holders,
0x0c2877767b6092b87b91620e2e9c23f0d27f37c8,0.0836820083%,Holders,
0xd5fe75df3973da88b0d7d5829ad0dd4cf5c63b0f,0.0836820083%,Holders,
0xc195183d257f60dfa505cc9188939fed4774a2ad,0.0836820083%,Holders,
0x91b35f103a8921de078f8ed8bbfb2d449774b738,0.0767085077%,Holders,
0xf993e02521caea96c9a7330a531ed53618db4299,0.0767085077%,Holders,
0x4fa9e6eb2c576ce92cf474358f40b0a3be44ea32,0.0767085077%,Holders,
0xf96b5ff95c512922a4997eda728e68c6d22b45e5,0.0767085077%,Holders,
0x55de6db9660b24f5e7b73a0c37f50b7994238c91,0.0767085077%,Holders,
0xa65b31a98a2972b064e9d72c1afd4921c130b809,0.0767085077%,Holders,
0x75117a977ac5fecb51298e5d6a940c1b49f28432,0.0767085077%,Holders,
0xf3ff88faf8d1de643631581d8fdfd8d3370d19ac,0.0767085077%,Holders,
0x646ef8e3c8e79a10daf8f32621a3e468501cc3e4,0.0767085077%,Holders,
0x4a2b76a164c185a42ba92a0b94e8454d7a200714,0.0767085077%,Holders,
0x35ea77c9e6c28808b42541671dc4b89f250b9d1c,0.0767085077%,Holders,
0xffde865353cb473544b8f98965a9d1f284dda3b5,0.0767085077%,Holders,
0x7fb5eaa2db7a1fb5370e7b382715bd00c0a26182,0.0767085077%,Holders,
0xc254182be6abba0b1e178a1d8335bd933b04f66e,0.0697350070%,Holders,
