Address,Allocation %,Type,Sum
0x43BEfE9F5311A6E30875E0433F9bF8FED3579635,10.00%,dev,100.00%
0x5b045917b441672f1e2e9170313f01475642e618,1.34%,depositor,
0x5688969ad44310d800dd93feec3a7842b5da16dd,1.34%,depositor,
0xd9fa0a8d7ed193d1b020f9d4b6888407e6382c04,1.34%,depositor,
0x164e644a4649026ea604f3bd0ae52631ef5544dd,1.34%,depositor,
0xa485461e90bc77970854953f5114e03984ab0d27,1.34%,depositor,
0x8faed81ddd631cb43b6daad28e544c5ba18e8ce3,1.34%,depositor,
0xbead8d5fcd29e72fb81ed9514337f7ae48c82fdf,1.34%,depositor,
0xefce38f31ebeb9637e85d3487595261fdf6ebeeb,1.34%,depositor,
0xc98c01414712d4aee306dc23ebd934c233205133,1.34%,depositor,
0x8e89688ef63ff22c37b79993bc515939e9a86389,1.34%,depositor,
0x810a2f5a0d36420eb630e3ecff1c7b90d7cca79f,1.34%,depositor,
0x621d4786733cae3bf02d22d1fedc44c930fa603c,1.34%,depositor,
0x88202aa64607e053b1a6c8efccb574e4e24cb343,1.34%,depositor,
0x5dc506e8bf8cdd0ab6fab477443be1032a1a8539,1.34%,depositor,
0x3c9e21167338f994a169e94764b7bb3b810c73e0,1.34%,depositor,
0x90f15e09b8fb5bc080b968170c638920db3a3446,1.34%,depositor,
0xa8b4c7f8b3d91b324f815252da74884e68fb4c4c,1.34%,depositor,
0xe86174ea7e5f8065708e8b50c62780a938011389,1.34%,depositor,
0x80c6acf6b9b5c2ee25534010dd9a248031f6e755,1.34%,depositor,
0x3c0868d11e047a29b1922c69dc2889ac76fcfc71,1.34%,depositor,
0xb1459dcf16905f7c84f4c22398c9ccaad7345669,1.34%,depositor,
0x1d17e9a93e0396d0eb5d5e48b9b54782f6d1a836,1.34%,depositor,
0xd10d3a2e875bd44eb1fce437e6c0c89d6b1ee2f3,1.34%,depositor,
0x830eb00443ba8b6b3168717dce62dcd297d64f6e,1.34%,depositor,
0x519e499ab29bad49a6670de50cec4175a9fe6327,1.34%,depositor,
0x798a9a6787ee3d88c543065239fb28a1902d788e,1.34%,depositor,
0xadaa606cefe3dca15bca91001554a63068cf9411,1.34%,depositor,
0x4a4b961efa9fd77956e33024a70358eb6e970246,1.34%,depositor,
0x8e2f6e4f053faec1b373b4cedb63079c20e35103,1.34%,depositor,
0x497e247a0cc698891fdb472d17e08f5743063f48,1.34%,depositor,
0xfe753941abc5e1ee8237e9d4ee3021492564abcb,1.34%,depositor,
0x9e264dd6445495cbd2140e188846526b9e0dd758,1.34%,depositor,
0xf63a15367c48e363b758b8ab7ce1b0c86b51b1f1,1.34%,depositor,
0x2e2a18d0e4cb6edf7e1859a7b07b0ae7dfa30fdf,1.34%,depositor,
0x99813deef86a9f5b69eef9e43def95f27c2f907c,1.34%,depositor,
0x57bfd52e042ad9de25eb29fc35803a129c7b4c94,1.34%,depositor,
0x8c1aaa5716cc6083845725ddb059c8be3bcdfd6b,1.34%,depositor,
0x4389c066c481232f778e7f180d1682d3b421550b,1.34%,depositor,
0xa52e1e26d005f3737b0f64121c88cebfc91b3585,1.34%,depositor,
0xaaffd55fc46f95fb713155fd6f655401b2406bcb,1.34%,depositor,
0x01a43e5f0f279b43ec2f067c32fb217b40900417,1.34%,depositor,
0x0688547a2b5f07327a7a2644fb649caa29c730eb,1.34%,depositor,
0x15b395327b01830303abe44495b2bdf6269be4b4,1.34%,depositor,
0x87e3008a7ab0473c39c3f4ccbbd0b548be6f0964,1.34%,depositor,
0x8c984e6ccde960b16a77e5b0dc62598f8ba4e7c7,1.34%,depositor,
0x082fe609bf83e32226404e304198f88616d97224,1.34%,depositor,
0x7e308573643db0139faea81d7fcd8edb2723b7fd,1.34%,depositor,
0xdfc8a5b2422f68894058f7109e71e82b55aac94e,1.34%,depositor,
0xa06b3f656366f43c95a980e0427f84904f5da6be,1.34%,depositor,
0xb9d10940dae76c3e50d422c754009eeda22b4ea0,1.34%,depositor,
0xf0c56251ce95e39882cc58f3cc14272771ae2f44,1.34%,depositor,
0x3caa7ed55666474f053d34fd593c1c1c526d6071,1.34%,depositor,
0xf81d79568cacf980b0659c00fbda9edcdd8be87c,1.34%,depositor,
0x5d6311506173f9218544648a55c8a2ea4e02012b,1.34%,depositor,
0x98479e6d18580052e1ed593d5fb2f3353c10f10a,1.34%,depositor,
0xfe3f792a0cba494588d1e6c4227fc8c1428b744d,1.34%,depositor,
0x530be2a42309cb99874cf3ddb5853db2575f5235,1.34%,depositor,
0x3735b0a9d0c13c4e62d61be614d49f0d8d2617c1,1.34%,depositor,
0xc566b8e3e53bf60d4495ae45f3b15d5d94501e8b,1.34%,depositor,
0x758eaf7b8a17173563a600d868f3d8d263b01ced,1.34%,depositor,
0x247373d6cb4a090a19d3b7de6c11b6cd2c50841e,1.34%,depositor,
0xc0c44b69d91ea0b26f5be8afedc18a8cee281ad7,1.34%,depositor,
0xf04b9dcf2892dd019a8cbc7edb670c41b35a39e8,1.34%,depositor,
0xefa4bde8d4eded0aa40b987c01479d2c4f0783fb,1.34%,depositor,
0x39eff421c748f4fe61a05830517bfc1310ec3fbc,1.34%,depositor,
0x87eafce96e2b8f14e2ce80c19e9201410b76db3b,1.34%,depositor,
0x488f224c5c28e87e60b9f8376eb6a13e75e3d193,1.34%,depositor,
