Address,Allocation %,Type ,Sum
0xD858eBAa943b4C2fb06BA0Ba8920A132fd2410eE,10.0000000000000%,Dev,100.00%
0x66fdc1d5d101b4dbc2959bd1a100f30b09155bb7,0.3848241334163%,$JOE Bridgoors,
0xb0705001a29d78777213ee4668d778fb5b48bd29,0.3818078513903%,$JOE Bridgoors,
0xc11169f4881dbd0fb0be6c09c4652cd22305f10c,0.3788152112216%,$JOE Bridgoors,
0x3204be573c79b0b194e092cf83aeac827339c826,0.3758460276036%,$JOE Bridgoors,
0xb284929c0c79c24adfc607de921f49187bc2b0be,0.3729001166818%,$JOE Bridgoors,
0xf835925589ac11df66690b3aa343de649f38cd83,0.3699772960430%,$JOE Bridgoors,
0xeab6bfe0eb15d523b80d9bff2700871d0106d9c1,0.3670773847039%,$JOE Bridgoors,
0xbae837e30183fecba40878eff116ba085637c887,0.3642002030994%,$JOE Bridgoors,
0x83652856fc0431f6f735fdb271c468d0dd41fd4c,0.3613455730721%,$JOE Bridgoors,
0xb1d415affbcf018f0a39d996fb9da210fa7b6124,0.3585133178610%,$JOE Bridgoors,
0xabbdefeff29eb2a688365914ffaf2600eea9ff36,0.3557032620905%,$JOE Bridgoors,
0x9b921fad875b06183d3992a125026c89915d71f6,0.3529152317596%,$JOE Bridgoors,
0x5673d46f2eb9707f536c3b41622d9bad472811a7,0.3501490542312%,$JOE Bridgoors,
0x37b0e06a02c939fdee383f69e1c6aed66ad800ee,0.3474045582212%,$JOE Bridgoors,
0x4357f27dd9ab9ab413fd5f0b1faa16c8b9d8990d,0.3446815737883%,$JOE Bridgoors,
0x008eeb180f9fb7190b8f2c0ed1beef92fb2ddf32,0.3419799323230%,$JOE Bridgoors,
0x62cee65877f6591fab6758dc2dddd96002c2f554,0.3392994665373%,$JOE Bridgoors,
0xfafa999ae3808988ee7f632a5e0dd46400636a09,0.3366400104547%,$JOE Bridgoors,
0x11a4fa37f58b2b40f4f2f65002d6313130a759d7,0.3340013993995%,$JOE Bridgoors,
0x346b68b59d8e0aedf576c59e2324cad3a3ad0a24,0.3313834699866%,$JOE Bridgoors,
0x3daa257538edab167e6aad354f6cd3638255aaec,0.3287860601117%,$JOE Bridgoors,
0x93f0daf5c0985108bf9dd4d2df97b02610be6fe6,0.3262090089411%,$JOE Bridgoors,
0xe221b6a2cfe42f7b269ef9f7092b3d4d7be383c2,0.3236521569015%,$JOE Bridgoors,
0xfbb06c42cbadd86c00109b4de888381c94355f8d,0.3211153456707%,$JOE Bridgoors,
0xd54e4f8a55247487dd7c8c59f14ee5c0c2889477,0.3185984181672%,$JOE Bridgoors,
0x355f4d611eeb3770933c26f0213f7843350c90f8,0.3161012185407%,$JOE Bridgoors,
0x01581f1df7a8196098f688580c7353cc11044b32,0.3136235921627%,$JOE Bridgoors,
0x23db0341471fbae2542a9b88e85c657d69ecaf09,0.3111653856163%,$JOE Bridgoors,
0x0fd6f65d35cf13ae51795036d0ae9af42f3cbcb4,0.3087264466875%,$JOE Bridgoors,
0xfc889a2629202e6c775b39ad05ee84177c6abd6b,0.3063066243551%,$JOE Bridgoors,
0x04d1b66a6627af914e9181679b1c4d148a283731,0.3039057687817%,$JOE Bridgoors,
0xca86d57519dbfe34a25eef0923b259ab07986b71,0.3015237313044%,$JOE Bridgoors,
0xbb226555fbb98850273b10b0cf55ad2f99966d20,0.2991603644254%,$JOE Bridgoors,
0x55b94ad4773a6242d116020a1497e425c6fadb82,0.2968155218032%,$JOE Bridgoors,
0xfc5677f92db623f2864384af244f252fa3343bb9,0.2944890582430%,$JOE Bridgoors,
0xa2425918f30af40db42b7ed6197be7f7be43895f,0.2921808296885%,$JOE Bridgoors,
0xcf5efa2358e92034006eac53cd3701096029cbee,0.2898906932121%,$JOE Bridgoors,
0x3863a9b194f9665e4a3564be141975278992b7b0,0.2876185070068%,$JOE Bridgoors,
0x9f89b16f7c88a4d31a357e34ed5573d6254f3479,0.2853641303768%,$JOE Bridgoors,
0x4ce5f95e5df2de6f1474222d49c02cc4f1cf3c8d,0.2831274237293%,$JOE Bridgoors,
0x182a72b9dd205177ad9c31fafb824195cc69fbe5,0.2809082485657%,$JOE Bridgoors,
0xb57d6e248f0cc14b90659efea2931497df3eae89,0.2787064674726%,$JOE Bridgoors,
