Address,Allocation % ,Type ,Sum
0x438c2AFBf748D04cc89EcdF07EB4B471D5088ADc,10.0000000000000%,dev,100.00%
0xd41aCA80b32C23758c119bFCced0da6E3c681DeB,2.5000000000000%,beta bridge user,
0x2DEbC1583d2626ed952b0b27c8C98417F922D3a7,2.5000000000000%,beta bridge user,
0x57D3Ca64F4745B1936E34B3296238246895AECf3,2.5000000000000%,beta bridge user,
0xB594463aDF7226232765F597511b38b12652e0f6,2.5000000000000%,beta bridge user,
0x20d01685E47c60797C94250D23Ea37F41E1bdaBc,2.5000000000000%,beta bridge user,
0x898255565DeEd2647F479c7A83e6FFDC6Efa760e,2.5000000000000%,beta bridge user,
0x93F3697bd5489c3CA6791FCEa6606c153DC5f4D1,2.5000000000000%,beta bridge user,
0x90a5d61387c4df28da7030b114ccc50f18d66758,2.5000000000000%,beta bridge user,
0x0425887914c5fdf02489d1423d6f70d6a1e2464e,0.8108108108108%,beta users,
0x3744384f4da8f1530954423cedfbe7077932892e,0.8108108108108%,beta users,
0x3f59168c474c564e5a867f32e3e2a5e5da1de3ff,0.8108108108108%,beta users,
0x522db307633b51a3b6cfd2908623c2303e228229,0.8108108108108%,beta users,
0x6305a0ebc24ad3d1b0526bd1330000ec00ddaa83,0.8108108108108%,beta users,
0x68c6771aab58ea678d3718a8cadc52ccc0b11949,0.8108108108108%,beta users,
0x70c05aba580c74273240a4f9fd4062f5642b8207,0.8108108108108%,beta users,
0x765a16ca391a6b9249cfa65bf2d14c38722198e3,0.8108108108108%,beta users,
0x83910f3e3e0064c15ff2fe043dd042855861d05d,0.8108108108108%,beta users,
0x8b147c4db4e2616c0bacfb29f5c61589bc0de4dc,0.8108108108108%,beta users,
0x97dae929262003711ff1f91f707464220664b4e9,0.8108108108108%,beta users,
0x9956f9ab164c094e7d2e776af592bc2093a443db,0.8108108108108%,beta users,
0xa5b06d59bf0d9020dbf70d9c8d6788a791bca570,0.8108108108108%,beta users,
0xae1fd3d7321b7a15b0b13a9b00e315a3856cfdef,0.8108108108108%,beta users,
0xbf970e507672b30abce90bde4520e3939d423adb,0.8108108108108%,beta users,
0xc316c071d6e82f0c7426e5a6c7b2fb6a2ba9fa72,0.8108108108108%,beta users,
0xdd15082843a83694cae0877b751deb2325fbc4ba,0.8108108108108%,beta users,
0xf5670ea8317e037d6fe14a4cd3c6c383ed2ff3e9,0.8108108108108%,beta users,
0xf7f1f47ec265f64cc5f569ff87da572a5ab51fa6,0.8108108108108%,beta users,
0x0425887914c5fdf02489d1423d6f70d6a1e2464e,0.8108108108108%,beta users,
0x07912981c8481a3c5f6144817fa3a72d445c7500,0.8108108108108%,beta users,
0x0d5afd0a7f26883af3789893cf070719a5c5672d,0.8108108108108%,beta users,
0x0d81e1fe8af3fb98275da094c55e536966fb9976,0.8108108108108%,beta users,
0x147b1edd795789f9a62b2e426082b16584a9c754,0.8108108108108%,beta users,
0x15bb5ced7463288bfa45814a9ce5b910165ccb02,0.8108108108108%,beta users,
0x1bcbf9d847a745bed5928fb67961524ef51b72d7,0.8108108108108%,beta users,
0x2cf698719ab61206334ab380ce7326b033409660,0.8108108108108%,beta users,
0x2d72ddd8bca9417b3451ef788f77e8910cb82b53,0.8108108108108%,beta users,
0x2debc1583d2626ed952b0b27c8c98417f922d3a7,0.8108108108108%,beta users,
0x2f956705b45110bb59c4afb4bb32a62ac64c713b,0.8108108108108%,beta users,
0x328a22f3f47295e6caf31905459f9d8874c4bc85,0.8108108108108%,beta users,
0x3461551e8a9d68314fdd43eb81f98044da4a1461,0.8108108108108%,beta users,
0x3744384f4da8f1530954423cedfbe7077932892e,0.8108108108108%,beta users,
0x378ca5ebb1d4683fc2d4c81adcfe5e41511dc867,0.8108108108108%,beta users,
0x39f2fcfdd65573d4c1e6dc2d16c161d160e1e5e6,0.8108108108108%,beta users,
0x3d600ee1ab8c88057a1a8f0faf4908fb104fbe4e,0.8108108108108%,beta users,
0x41ff8dca33e8997e0ce51442e36771ca4292248d,0.8108108108108%,beta users,
0x42486570310823fa68ff64f18f0b5b25632f3cbf,0.8108108108108%,beta users,
0x4519f0b6d70efab9b348c6dd4a79ebfbd5df1231,0.8108108108108%,beta users,
0x47154db25aa811448ff45afa3d07caf444902e9d,0.8108108108108%,beta users,
0x52dc5416e01ff979f97e50c4f7c701b426fd4fe5,0.8108108108108%,beta users,
0x54393e990b8ce14df3770dc586e823d427240af1,0.8108108108108%,beta users,
0x5ee342c7153bcf7d7c1a35a0a887361acbe002fc,0.8108108108108%,beta users,
0x5f91a14a1f7bc81ea686df188f60271f268aa449,0.8108108108108%,beta users,
0x68c6771aab58ea678d3718a8cadc52ccc0b11949,0.8108108108108%,beta users,
0x765a16ca391a6b9249cfa65bf2d14c38722198e3,0.8108108108108%,beta users,
0x78b993944e6f6b5afd0ba6a177a613e13b686af1,0.8108108108108%,beta users,
0x7f1ae4cc24d79161b3a5db05a3dbc39d00eb2709,0.8108108108108%,beta users,
0x7f2466ae8badee7dc0109edd0b6dde08c432236c,0.8108108108108%,beta users,
0x83910f3e3e0064c15ff2fe043dd042855861d05d,0.8108108108108%,beta users,
0x8b147c4db4e2616c0bacfb29f5c61589bc0de4dc,0.8108108108108%,beta users,
0x8cff4659c4068454b9d79daf0c1076bb65872026,0.8108108108108%,beta users,
0x938565568b67fb157ae907375214f55f708d2331,0.8108108108108%,beta users,
0x97dae929262003711ff1f91f707464220664b4e9,0.8108108108108%,beta users,
0x9956f9ab164c094e7d2e776af592bc2093a443db,0.8108108108108%,beta users,
0x9af1b7f8aa91ec010e8707669f89aa736be64d4b,0.8108108108108%,beta users,
0x9f96d3b217ccc7bb67c7be4d018a3de896e89736,0.8108108108108%,beta users,
0xa5b06d59bf0d9020dbf70d9c8d6788a791bca570,0.8108108108108%,beta users,
0xb39ef9e78ae92023e697561d76959dbfd3bb641e,0.8108108108108%,beta users,
0xbf970e507672b30abce90bde4520e3939d423adb,0.8108108108108%,beta users,
0xcf143b0e9bcf524511d382684c63d786e41763b3,0.8108108108108%,beta users,
0xd0b74897a99124e3e3ccae8065c5d6b5bd9f8cf1,0.8108108108108%,beta users,
0xd547c42fac391afaeb75a213361cf73cf184c213,0.8108108108108%,beta users,
0xd8868daef60feb03842bce70d13e3705966306e7,0.8108108108108%,beta users,
0xd930f20cd2ceb64a66564b6c37a9609704961726,0.8108108108108%,beta users,
0xddca3a67cf66142c1a46a1feade045d7019bdb7f,0.8108108108108%,beta users,
0xe40015876b7abcc021d1559a0d1a7ef49ec1fe47,0.8108108108108%,beta users,
0xe7ffbcbe1740e7a63acec70ab811312ce8d74045,0.8108108108108%,beta users,
0xec7f8e52191447219bdd25d013736614e9fefc4d,0.8108108108108%,beta users,
0xef5efd7bf427c0f076bf3889933dd69cb7bef7b5,0.8108108108108%,beta users,
0xefce38f31ebeb9637e85d3487595261fdf6ebeeb,0.8108108108108%,beta users,
0xf52de183a7335f6d3ddb3f815dbfc9ed28a1ff4c,0.8108108108108%,beta users,
0xf7f1f47ec265f64cc5f569ff87da572a5ab51fa6,0.8108108108108%,beta users,
0xfb735452629b6bb1238f3f2d6a009631d462b67a,0.8108108108108%,beta users,
0x543F3B7233F461935255ba32F71b9D910F91f6A0,0.0056529112493%,community,
0xe12d52275eb64ff18680aa2b081fef8b736cd66d,0.0056529112493%,community,
0x3498CEC38cb595f578c4030782C6f6a5d8e24AB3,0.0056529112493%,community,
0x72158d489043D7d8Fa2660F074E2Ef7827ba6D21,0.0056529112493%,community,
0xf7f1f47ec265f64cc5f569ff87da572a5ab51fa6,0.0056529112493%,community,
0x1C62C89cf3f57EAE7d61F1490C985ee82452752C,0.0056529112493%,community,
0x97DaE929262003711fF1F91F707464220664B4e9,0.0056529112493%,community,
0xAb769309EbCEEDa984E666ab727b36211bA02A8a,0.0056529112493%,community,
0x2f478FFD6610eebd07528f9E31521C28A042812B,0.0056529112493%,community,
0xC316C071D6E82f0c7426E5a6C7B2fB6a2bA9fa72,0.0056529112493%,community,
0x1dbaf5afdd389d34c2aadeaa94c256994e7331b0,0.0056529112493%,community,
0xa97f6ea48410a0825ce1953656e8c19256192972,0.0056529112493%,community,
0x9b0408051aBe8dE28327DD522266652Cd76Fa2A1,0.0056529112493%,community,
0xd22c236b2De5440A0c40041F1436539A715181a1,0.0056529112493%,community,
0x44B7d855D1d1431F74C4a0bed1123ea95b929140,0.0056529112493%,community,
0xA3deB012Dca06b12a7e9AE06738fCCB4D39a6324,0.0056529112493%,community,
0xF4605A6A0fC095099B9AAf7ffA37C0F5e5c41434,0.0056529112493%,community,
0xb41B47346Fb761D3af5E3C0Ee6cD3b75a9c12C42,0.0056529112493%,community,
0x48Fb1a44F4C869634AD9d15AC922b9de0bCB2d37,0.0056529112493%,community,
0x310166751C19a2b1C37129a52ff8b433D8C6Df17,0.0056529112493%,community,
0xa7b7f3550f9b9611d12d6cf9e58fdbe63b7c4f86,0.0056529112493%,community,
0xEE718e2dBcce2CAde6d3b9a78FFa3334CeE3867F,0.0056529112493%,community,
0x5269AA486973Feb69d525a7a1163d079262FA239,0.0056529112493%,community,
0x2891F651ffb4706A3ACFE3d9c889Ea83E2bd6582,0.0056529112493%,community,
0xf308FF5f6081f802143C494833B6ce6397Ceb808,0.0056529112493%,community,
0x2C4965962223405a7B3520b4cdcf2A401620d28d,0.0056529112493%,community,
0xefce38f31ebeb9637e85d3487595261fdf6ebeeb,0.0056529112493%,community,
0x86cfe5B9D71a61EB489fB323D8B839D89983fb37,0.0056529112493%,community,
0x9196B5514bfb691bDb2F3Cb76Fdf55Da953E16c0,0.0056529112493%,community,
0x896d723154eca634E5DD8A5D3EE76A4F1E9bE22E,0.0056529112493%,community,
0xF31CEcdbAb33f61948A84ABb0723c42fdF2fE5C0,0.0056529112493%,community,
0x1a4ea017bbcda7c0e79cd9e1ee8637b083088ae2,0.0056529112493%,community,
0x70c05ABa580c74273240A4f9FD4062F5642B8207  ,0.0056529112493%,community,
0x8f3093416640d0e4Ef12cD9e9be9115D6dFf6C6E,0.0056529112493%,community,
0x7Cda932a7Ee2481ea55892C4d1068D6A3C311612,0.0056529112493%,community,
0xB60F5faab9555A7C899618Cb4E09b5CeF6360D77,0.0056529112493%,community,
0x0374490B04A17962cc02e887eb1D74974893330e,0.0056529112493%,community,
0x418019acC4A1BB843FBc234053fd180BAa8b0286,0.0056529112493%,community,
0xef5efd7BF427c0F076BF3889933Dd69Cb7BEF7B5,0.0056529112493%,community,
0x41ff8dca33e8997e0ce51442e36771ca4292248d ,0.0056529112493%,community,
0x92cdba52De347D47d045518077f7A4D07Be304B5,0.0056529112493%,community,
0xe8bca870337eb54c3ef39791922bd6fdcf76bc3f,0.0056529112493%,community,
0x7f1aE4Cc24D79161B3a5DB05a3Dbc39d00EB2709,0.0056529112493%,community,
0x87889e2Aa5b77f7C9C5695B61DEb9233a154458E,0.0056529112493%,community,
0xD0b74897A99124E3E3Ccae8065c5d6B5BD9f8CF1,0.0056529112493%,community,
0xD547C42fAc391afaEb75a213361cF73CF184C213,0.0056529112493%,community,
0x9956F9ab164c094E7d2E776af592bC2093A443db,0.0056529112493%,community,
0xB594463aDF7226232765F597511b38b12652e0f6,0.0056529112493%,community,
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,0.0056529112493%,community,
0xae1fD3D7321B7A15B0B13a9B00E315a3856Cfdef,0.0056529112493%,community,
0xE7ffBcbe1740e7A63AceC70Ab811312ce8d74045 ,0.0056529112493%,community,
0x3f59168c474C564e5a867F32E3E2a5E5da1dE3fF,0.0056529112493%,community,
0xb44B8F1f521D4B0F6643481EEbd43e4583232C76,0.0056529112493%,community,
0x8b5d3e6FD56488c7Bc4F31b93Fa2f2E219fDfb38,0.0056529112493%,community,
0x5cFE3A15c0f55B8C087D5063258a49e20784DE8e,0.0056529112493%,community,
0x3744384f4da8F1530954423cEdfBe7077932892E,0.0056529112493%,community,
0x2F956705b45110bB59c4AFb4bB32a62aC64C713b,0.0056529112493%,community,
0xED971A118292077E1E18CeC44B2630BE7156CD14,0.0056529112493%,community,
0x636917127B6629472d9a436801708e22fa75d101,0.0056529112493%,community,
0x15BB5ced7463288bfA45814a9CE5B910165ccB02,0.0056529112493%,community,
0xc3d99f4e6FdFDeB3ee11fFfe2013Ae4eA516EB6b,0.0056529112493%,community,
0xf70C6Ab0F213749909071CEeE55cACCe76C35708 ,0.0056529112493%,community,
0x2d72DdD8bCa9417b3451eF788F77e8910cB82b53,0.0056529112493%,community,
0xBeACf1C6eAC02b90132c9Ed9b62a539CD7A1C852,0.0056529112493%,community,
0x6737aDA10678ccd0e52219E39D031dD3960D16a2,0.0056529112493%,community,
0x72158d489043D7d8Fa2660F074E2Ef7827ba6D21,0.0056529112493%,community,
0x0d5afd0A7F26883aF3789893Cf070719A5C5672D,0.0056529112493%,community,
0x9Af1B7F8AA91ec010e8707669F89aA736be64d4B,0.0056529112493%,community,
0xD141224BD2c0f4f0bd709b6EC8f63052bb90B3C4,0.0056529112493%,community,
0x977a4f13dEc70189bFBD7D57EA7760f20318Da1F,0.0056529112493%,community,
0xb628904b748d8C7Ce525e788256A7d50949513C2,0.0056529112493%,community,
0xfd6D3DaC0e787A8Ab01f5ab5F4a1c877790F27AF,0.0056529112493%,community,
0xc87353832A68E8A7D01e0de96e8C44f80fB5B2Da,0.0056529112493%,community,
0x0ad7F461593320eEa05c310dac26ebf622eA1fCE,0.0056529112493%,community,
0x9684Cebb50153e376a48730d773C226209Ca17f2,0.0056529112493%,community,
0xA09F46e3B7165bf38AF1AC13D89be34bdf662E7f,0.0056529112493%,community,
0x33dF818BE8666fFFE17b7f15a8F60F97a00a27D1,0.0056529112493%,community,
0x2C8650A62D33226C27a407E51e146D35fc53C308,0.0056529112493%,community,
0x6472fF18eaD7ff70B1c110C8445B68bf2a07427c,0.0056529112493%,community,
0xd930f20CD2cEb64a66564B6C37a9609704961726,0.0056529112493%,community,
0xE40015876b7AbCc021d1559A0d1a7eF49ec1fE47,0.0056529112493%,community,
0x552f4D8E535d3394E914A4a929AF469221163CF7,0.0056529112493%,community,
0xA6DfcEFC5458Db3368e53c6d1B4eDdbbAdBd0122,0.0056529112493%,community,
0x0df3759BDb4E962C420cA95F04334D76E1aEb846,0.0056529112493%,community,
0x522db307633B51A3b6CFd2908623C2303e228229,0.0056529112493%,community,
0xc55Dd8a32682E5b098B2d36B7465b882096C07fe,0.0056529112493%,community,
0xF9F03796F9b19f95Fa5805a3DB896619B65897d7,0.0056529112493%,community,
0xbDD0E457f9F4c9FaE662a69fDD8B299044Ef0a9e,0.0056529112493%,community,
0xa5E6B798Ed48c6E7B5b13eaDBd6314c639e27253,0.0056529112493%,community,
0x52DC5416e01fF979F97e50c4f7C701B426fD4fE5,0.0056529112493%,community,
0x27ee28301f455AD1532F78d3C075Dd826f872176,0.0056529112493%,community,
0xCf143B0E9BCF524511D382684c63D786e41763B3,0.0056529112493%,community,
0xfb484eBe91120E912e7d904BC1cFdbEc28889C11,0.0056529112493%,community,
0x2374357FdE277c063fa5929eE41117F6EEDc987e,0.0056529112493%,community,
0xb404Dd805eF19F74A03B3603af299156BC366C39,0.0056529112493%,community,
0x328a22F3f47295e6Caf31905459F9d8874c4Bc85,0.0056529112493%,community,
0xfb484eBe91120E912e7d904BC1cFdbEc28889C11,0.0056529112493%,community,
0x5a06806b172D1C4cC0bBd0ddBdd5a54469e8628B,0.0056529112493%,community,
0x7F2466ae8bADee7Dc0109Edd0b6Dde08C432236c,0.0056529112493%,community,
0xc30C04c7DFDB11aA8751E99d1Ee1e92223C6BDdD,0.0056529112493%,community,
0xAE26E52d785fcd3a7DAB7237c00Dcc69D1ff759C,0.0056529112493%,community,
0x687EAc28c0613596eAe213f978cA91f517783cb2,0.0056529112493%,community,
0xaA15F02DEDBAe26200D42f5BCF858c6599EeC7a9,0.0056529112493%,community,
0xb4E5E88B129917Dd030182887193783600c5BC9c,0.0056529112493%,community,
0x1348E19e677211A2Eb0796D50377f03a202cAfFa,0.0056529112493%,community,
0x3461551e8a9D68314fDD43EB81F98044DA4a1461,0.0056529112493%,community,
0x0A671E9E68C31647148a157496e433BDC63CD259,0.0056529112493%,community,
0xD3222614555F57FBCf1E08DCa167180BA46cC603,0.0056529112493%,community,
0x803BC0dc45657fc9018c8Be9B0E4dA9d77D9F9BC,0.0056529112493%,community,
0x6C149c87bCF92fD9457E708013605EE398dC0C9B,0.0056529112493%,community,
0x147b1eDD795789f9A62b2E426082B16584A9C754,0.0056529112493%,community,
0xDE063AC7886F1a0757E41259Ba5A1681487d801d,0.0056529112493%,community,
0x6f3132060581C01eED77fB03cA3191D64280D173,0.0056529112493%,community,
