Address,Allocation % ,Type ,Sum
0xDE6D6f23AabBdC9469C8907eCE7c379F98e4Cb75,10.000000000%,dev,100.000405000%
0x8b129d184b11ac30205e1dc3866a181649efde64,7.864065000%,bridgers,
0x35e2a11f743a43f00381a0aeb6764322ef1eb788,4.368915000%,bridgers,
0xa055c6059fd7d8addc88a586b843606052b67513,3.877425000%,bridgers,
0xe0eae533863f6818342fa589f7b466fc3bcbbb74,3.822795000%,bridgers,
0xe3e56da9addc2e29532669140fb94fa7f21f6e4f,3.495150000%,bridgers,
0x35137867d87bf78f8c4340c00872930cbb5f92e0,2.348280000%,bridgers,
0x2d34ddb6b5edebac00b255260869862a6e07f814,1.529145000%,bridgers,
0x666b965c0e8730c8274cccd1bb295c1558714321,1.365300000%,bridgers,
0x4f27eb908eaadfea04f6b66847faabaeb45ecb15,1.310670000%,bridgers,
0x73860dc8055a36199fa017e4d9b6584e1497df85,1.037610000%,bridgers,
0x99e5d4a7fb7ba7281d1f4fc5dce311f1d832796c,0.983025000%,bridgers,
0x943980b467fe194beb923daf7a544abce90b5f93,0.928395000%,bridgers,
0x8074ed7aea09a7f371af44dabd4de6c42839929b,0.928395000%,bridgers,
0xbcc8cb0a825c61355a460da85159f1b43d5d49ab,0.819180000%,bridgers,
0x6c4a72ec1dd4fbe90e7e23c6c9187262d59345bb,0.709965000%,bridgers,
0xc25a74f2dc4f2b504867b4ee728c53a838db72bd,0.655335000%,bridgers,
0xbf4bd9215aeb464482609b6707d3de81945a3608,0.655335000%,bridgers,
0x01269c1262064c5ad666b6e1ab0f9bf219f02a0e,0.491490000%,bridgers,
0x5ddb25070b70268b0f152cad66a637c3fb0222c6,0.436905000%,bridgers,
0xce65a2b43efccd13d7a7adf2ffb0c72acde0b2f1,0.436905000%,bridgers,
0x979d3068db83ee3bf66d819d32da6c540c40aae6,0.382275000%,bridgers,
0xd602539cde32b46e662f755086d35641fd597669,0.382275000%,bridgers,
0x2802247b16c302b811988bf4ac0e8dbfb85cde36,0.382275000%,bridgers,
0x96a2699644a7be70a4f6bf4d42548f765399d649,0.327690000%,bridgers,
0x0c6d62d80121f77440f7812f0cdf2fd1ca54ae7f,0.273060000%,bridgers,
