Address ,Allocation % ,Type ,Sum
0xB32e9Bfc164599a7cF72b048d6F0FdAad4DE65d2,10.00000000000000%,dev,100.00%
0x2957321c605d34b5e2907d8cf42bfc573077eb66,20.69283758958790%,,
0x1ba6b82641c77ab1fc7bc734c5c3628199a8967d,10.12084653249850%,,
0x7b59793ad075e4ce1e35181054759c080b8d965d,7.69714326133009%,,
0xe71acd586608397e9fea89d806928c0ad7ce6881,3.09387479833621%,,
0xc9556d0b94699c823eead523c84bccb175c123d8,2.83001468169286%,,
0x6439f5d99c85a66a3de6d2cee73ccc4e2b011aee,2.52544329971727%,,
0x36954d657eaae5737de73810153a1e81f8c3ce79,2.23432991057158%,,
0x1908a3232eed9186b4a5b666075711d2db0200e5,2.02502949337626%,,
0x50024c4c21ab223abd1efdb9635eea0e0b90ee6c,1.81090173718676%,,
0xdc71d1d80d893e96b6ce87431647cd29c0f1e1cb,1.56510248427247%,,
0xe8a2ec6757a9114039d832e44cb83b3cf2194615,1.31562313349402%,,
0xc4676e5e99b823e54b3e6c32c8143bb441633eea,1.24970424175086%,,
0x5c127ccdd428ac57a1fff2ec4bc1cd00dbbc9eed,1.17942252467306%,,
0x1af785638bc86abd1214f84207b01d090f4b5ebf,1.14706621126606%,,
0xa1958a37c21372482deff4618baebbec23c9a449,1.07597944613974%,,
0x31a636802504bac68a69a639c66e246c6f1cc6b4,1.02885194169889%,,
0x32b5ec49b7737f3e07c3ae52105802bf4dff10fd,0.98571645527101%,,
0x65e086b8459502b7798820f17683c26cfa8afbd2,0.90800585782602%,,
0x5e0679b7b4c32bffcde69b5fefea89e77564ffe1,0.89564521262319%,,
0x7163a4e4a5a99dcb7d2f49bb89219945ab62993a,0.86235372146446%,,
0xb9b98205f564666f7b432b942642e45d23acd5d4,0.82675574485790%,,
0x4bb12cc382e36b4b6faf7bdca7708969aed258ef,0.74480172491228%,,
0x35bbc839a9718ba9f9745aa43a2769ccada672e7,0.67996559076540%,,
0x57740dd5fed3b8ff777bbbe73e5d7510b1daf318,0.66556942355390%,,
0x71535aae1b6c0c51db317b54d5eee72d1ab843c1,0.61096160842075%,,
0xe347b4dd404bfc5791152e2764faf40536e0a0ba,0.56249643390495%,,
0xc2979f313dd6731efd591e983d4cc5231e49a387,0.55482781311776%,,
0x114814802d89192f5a8f31a00991effec7ba35b6,0.51819449010874%,,
0x72f2d7ed8ddc508739de63dd244d80fbba47200f,0.50948878950338%,,
0xbee177e46bd3edbb56e819cf500e89e22201d0e1,0.49624326999893%,,
0x35574c2823e0b380ffcda12b96e73f7cba0e6f60,0.48805915720257%,,
0xc2a85f0b2ca956afff05c01c9dc9c9011fbbf731,0.47195301413628%,,
0xfb53cc84f5187c2f386e9895476b3decf33d4982,0.47179613794263%,,
0xb40e7daa5ff7c09b38f3bc485cc46bc14d635d4d,0.43755461241882%,,
0xee459c9e50f5e2cb58d4d76f0b68f75c66a86650,0.43541027144330%,,
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,0.42327032032450%,,
0xc935b59c7f810cec91e46b45f03a4ac4cc0e915e,0.42059842377721%,,
0x0567d67105ae13d00b60a991e57b9cc83f05c083,0.40050947782715%,,
0x12f98b368fee279f749d3a80fd4b16276e8113d5,0.38605906861700%,,
0x02feb744ca516fd6e41d940ae2d0f7cb6fcb1ac3,0.36163973755495%,,
0x00350949717bb9ab5e6fdcf7207dd7b7a43f6a59,0.30260409074174%,,
0xac6e4c4d8f12a15b66afff0e69b7767bbbfdb3d6,0.29312612307532%,,
0x101d88a0f5ffee6879070a11eb20a2ffa3e1074e,0.26521403150866%,,
0xfc2d2cca7b97658cb35b202715b3b02295bfa4ab,0.25870054539329%,,
