Address,Allocation %,Type,Sum
0xeA9B1Ed511632e48dDD3E5A231cd2f5F3A3a4a9b,10.00000000000%,Developer,100.00%
0xb10b88218e288cda2218d8b4cc81899ee5af4600,0.03963011889%,Holder,
0x1daac537fbd4c4244fc419dfc5d41f892ca224ea,0.03963011889%,Holder,
0xe6335a390f0d1e9bba6813b55b6e97d21f0d1cab,0.03963011889%,Holder,
0x606e94741a11263cbbb960bda684ee9da5a68fde,0.03963011889%,Holder,
0xfbf18bc372f8512d4d4b293b25481d54e7cee238,0.03963011889%,Holder,
0x23cf208fb5209f9ca5e8f153e35bee95dba4991a,0.03963011889%,Holder,
0x7233581a7380acd4510dc5ffbdf9bbba348da1cd,0.03963011889%,Holder,
0x747cf75dd86cf2aee26ea0076101cfa2496062de,0.03963011889%,Holder,
0xe3f355aeafd7be99014e5a3685c196da6a5e4f3f,0.03963011889%,Holder,
0x77e44b7715293e11f7dc462a46b0c4f773c0b016,0.03963011889%,Holder,
0xae805b9eaa5a04f307b439484ed881e75d36ac73,0.03963011889%,Holder,
0xae2ddb6acea58997abd2b3ce004c6f25d392359a,0.03963011889%,Holder,
0x5be2f3345e609ac6024e3deb07d8c3436a44a329,0.03963011889%,Holder,
0xf69078a9e68b0cd269df8d7f6eab269e21444ba7,0.03963011889%,Holder,
0x5b049c3bef543a181a720dcc6febc9afdab5d377,0.03963011889%,Holder,
0xe99bc071240c5f5f59ccc8338837c5dde09e0722,0.03963011889%,Holder,
0x868e0f3285b329d09fb9118cc3ef74b6ccd66d35,0.03963011889%,Holder,
0xb000c68accbf2b7ed5fd040075ea0cda6db1e966,0.03963011889%,Holder,
0x24db6f5e2a6c4af50079327c5eb90773ff0a2c8d,0.03963011889%,Holder,
0xa460e509c7b6cf769e46ff97f42ffab6fbc0316b,0.03963011889%,Holder,
0x47a1f4156b955e746f6c4d76d8664b4a92dcc78a,0.03963011889%,Holder,
0xbd51acc5ced1c00cfc73d5cbcba2e48a0e928aae,0.03963011889%,Holder,
0xea9b1ed511632e48ddd3e5a231cd2f5f3a3a4a9b,0.03963011889%,Holder,
0x86d75b45b14b91d4098e3a2f13c89a1344f2bdd6,0.03963011889%,Holder,
0x0fcfaa39b62c3e651a702e24513e34a73673b5b2,0.03963011889%,Holder,
0x2a77ba365158b9db11119c9f8164788e6dc7679c,0.03963011889%,Holder,
0xdb22ca143f6396ad289c79cdfa5cc47f65884162,0.03963011889%,Holder,
0xf0bf2de25c3e0c3102c77948fbbcb3b6ec44ad10,0.03963011889%,Holder,
0x5bb8a3aac49b6806cd6de398e59ced9d2a6f79a1,0.03963011889%,Holder,
0x4b41775ab35e75982fb1a3027d7fba786b47cf15,0.03963011889%,Holder,
0x616731c8d415aa5eb150e15cef452a0b14d72319,0.03963011889%,Holder,
0xf8600b726a1372e16e8a78a4f8ca4d281ab57552,0.03963011889%,Holder,
0x2a53ca12b762c85c8e28b6411130add18baad6e2,0.03963011889%,Holder,
0x38ff8e62a6b7a640bade3447e87894c41422f12e,0.03963011889%,Holder,
0xad260b3358679017e56939d52770c2f712b7eceb,0.03963011889%,Holder,
0x0c4518d009684b974550ba4764fff24d9c6c4680,0.03963011889%,Holder,
0xc26fd781ce87dcad9952bc65b7bc1e4e103cb46b,0.03963011889%,Holder,
0x5e54279af83ad9f56bba947204d1cef617c689dc,0.03963011889%,Holder,
0xbad83f28433ef9bcb5c3c314939bf00623ceaaaf,0.03963011889%,Holder,
0x2d6b675952e9cc67dce80c17037279f6d33fef0a,0.03963011889%,Holder,
0xc44e9895e598c1c5827de937ade98c1b630158f4,0.03963011889%,Holder,
0x310a86ac53fb176c82b17257f94d161e537aba43,0.03963011889%,Holder,
0x3d591a32809b5025996644ba63bdb6672f8a1613,0.03963011889%,Holder,
0x4d49ab0589398b77a20eae4daea07a255768db1e,0.03963011889%,Holder,
0x0d27c8518a589c776ab24bb3f78f74035aa96e94,0.03963011889%,Holder,
0xa1220caacdf1001be47a91e674d96fdc15a0cbf6,0.03963011889%,Holder,
0xcc3415f9fd1e170413a776266bcef6ecc02511f5,0.03963011889%,Holder,
0x40b7500f8c6ea5b236f5eec79271dea5243589e5,0.03963011889%,Holder,
0x1d0a96ef5150baa7ea78b1df46ea8b5b108ab3ad,0.03963011889%,Holder,
0x39cf7dab396176f36ce90fd197c94cc7f820932e,0.03963011889%,Holder,
0x80bffee5c265061934b16fdfb1638d8d232061da,0.03963011889%,Holder,
0x48ae3c4e1f933e781bf7bb444e32267fda5eaf4e,0.03963011889%,Holder,
0x0930fdcd5b133be1c2bf129f230cce844e5d6308,0.03963011889%,Holder,
0xbad2e817af781b6f1573d65409ddef24d9656f8b,0.03963011889%,Holder,
0xcc413e2c6709bd1ca4e95002bfae3929666fbf8f,0.03963011889%,Holder,
0x0b03a3766e89d1f648cb3b78458d0553a2c078a0,0.03963011889%,Holder,
0x9ae369bbe622d71843860786cb71d932b6e0410b,0.03963011889%,Holder,
0xca3b6e983a36cb1f34b1b0bf7f937e31109cc31c,0.03963011889%,Holder,
0x8ff9c4fd6fc9af986208f49e206e8815f635fd65,0.03963011889%,Holder,
0xb8d6c8c405e142fd1b794b572216a58a70d56359,0.03963011889%,Holder,
0x0d8e3041c97f3cc0258cbdc40657c11beb31a68f,0.03963011889%,Holder,
0x6c146983f35ebf97bd6d1bac85873af9d61c55f6,0.03963011889%,Holder,
0x97dfed88908f54c4a6d7f9222c98aca987fb836c,0.03963011889%,Holder,
0xbcc498f10a305855cfb3c9e449439156dd88c48c,0.03963011889%,Holder,
0x3c31d629c92783021727db299b70794ed7f93e8f,0.03963011889%,Holder,
0x86a41524cb61edd8b115a72ad9735f8068996688,0.03963011889%,Holder,
0x258cf235c6a45e540e7ab8512904027ff73ba63a,0.03963011889%,Holder,
0xcf303bafd1c6525633d5ba3f605c88da4205aca2,0.03963011889%,Holder,
0x687661a6030be1917fdb6902d743dc07994fbde0,0.03963011889%,Holder,
0x2c1686798cc6c3b8361fec9c915fd4f39772de9f,0.03963011889%,Holder,
0x5d560cbc2db60f913f974a21730da68a15a2d9c0,0.03963011889%,Holder,
0xf4f971cbf4bbd189be8437df5914fc6d0b2acd0f,0.03963011889%,Holder,
0xa90ef04262fff148b1cd53d8ea573c1f7fcf1068,0.03963011889%,Holder,
0x420268fabb31c7975f434422bc28886bfaf3755f,0.03963011889%,Holder,
0xa90b435e01f825421491ba24e91f94dd2373484f,0.03963011889%,Holder,
0x769e5a83a39750a654645028ee5afd73cebe4d36,0.03963011889%,Holder,
0x464f5ab72ae5c85ee7581c35230602c5f1f67a32,0.03963011889%,Holder,
0xf92403581870ab5b06ff666d9cf48cb02d4a7d87,0.03963011889%,Holder,
0x88ac00051ec398f177f5ac7b8b1389738deb4ddf,0.03963011889%,Holder,
0xf178bb3dbdf65783367956561940f72a5f79547c,0.03963011889%,Holder,
0xa63b5404fabb2ae6f9b44c1df981a77bd545aa01,0.03963011889%,Holder,
0x06ea9920a5010ad814fb838f059beb0967e676e5,0.03963011889%,Holder,
0x1d935f516d5008ff3153ab789258bf5d8cf604f5,0.03963011889%,Holder,
0x4e4568b4fe5991767376fca21d81a454a7627ee5,0.03963011889%,Holder,
0xc10d2f68c39914002282f2fca90469b94868a0c6,0.03963011889%,Holder,
0x55db1f4688be48e6bfd58e1a4832510773feb9a2,0.03963011889%,Holder,
0xe3a8a23599a359a4dd927766ea52f5de09362bfd,0.03963011889%,Holder,
0x7942bb32404990d8966d8654286ed074b589b2ac,0.03963011889%,Holder,
0xa7f1a745b7994aff0ac3f21c781fbe70c9a886f6,0.03963011889%,Holder,
0xc02d36d600c81ccfc3a0eff79c6529484229da9e,0.03963011889%,Holder,
0x5f5e3148532d1682866131a1971bb74a92d96376,0.03963011889%,Holder,
0x02f7143b03d4eee6cab1dc1848a0af488f32bd4b,0.03963011889%,Holder,
0x7e4c4e1cf0d81ad380e1dd7dc468b9c881b0b7b4,0.03963011889%,Holder,
0x44a807967d48ca4ed5f2dea888ce5c1f32faef9d,0.03963011889%,Holder,
0xea76a03de807834c600d1b96f1892b0b748047ed,0.03963011889%,Holder,
0x8ab3862142b06e79cdcb7b74f0434d2545574bcf,0.03963011889%,Holder,
0xda06d7bf334bc5ccec9cb76de194565937378140,0.03963011889%,Holder,
0x11049b3620522ef8baf478d8ac6caad39a5e6cb6,0.03963011889%,Holder,
0x71d13056cb985d985ae0f1877818b91d9c4cbd05,0.03963011889%,Holder,
0x1b4e85b18d82c79991b37840934961deb955ce19,0.03963011889%,Holder,
0x10c5d89b0f8aa5abc790594b2f2efa905752d7c6,0.03963011889%,Holder,
0x3c9a6c016aaeb783b44f90c465a2da860515ffa2,0.03963011889%,Holder,
0xfe35aaf10a93d170ca7171f0437002e50d2a52aa,0.03963011889%,Holder,
0xd1598c76c78acc698a5241578ea0b21afb29ad44,0.03963011889%,Holder,
0xee6df2087f3eade8b0db4a379cfbe063a59e27bd,0.03963011889%,Holder,
0xbd6720425ce2a2fce11a8e586a4a693cfb0eb589,0.03963011889%,Holder,
0x306f17b6536d745b7bab0eea15e36c7551d9d8d6,0.03963011889%,Holder,
0x8a4493dc0d60814a069d0bf87f077b97c6cb9c71,0.03963011889%,Holder,
0xb0eb756c157c32b915dad35727d3e35b4bbc7088,0.03963011889%,Holder,
0x3bdfd2d6140ab0adcbaadaf69c233ade34dea91a,0.03963011889%,Holder,
0xb9bada4d844afe8613a89f45c6ccb96bec154b54,0.03963011889%,Holder,
0xdac807e6b8a4b008643abc8451339d17c5f06f82,0.03963011889%,Holder,
0x9d297df9881e935f846a7db27498156bda3cb17a,0.03963011889%,Holder,
0x104562bfddade5f08582ecf2a4cd61a3759696fa,0.03963011889%,Holder,
0x40a22ef21116c157b8247c9d59028dd1123d6e96,0.03963011889%,Holder,
0x11ae3a63930365c314e28ebd9d12ade8bb2a2beb,0.03963011889%,Holder,
0x6358ee73e22f356eec9075f7759aaa787faf6c16,0.03963011889%,Holder,
0xaf507437c26a0b63286996ed3892160ea4b20f43,0.03963011889%,Holder,
0xa946bfdce291872f064a92331cfaf45c2f3fb509,0.03963011889%,Holder,
0xc0b84b1aa0ebda440f210b5a62cf6e2c5a4dc5a7,0.03963011889%,Holder,
0x80af642e4c1e48a62fadf20dfe56b6c704c145de,0.03963011889%,Holder,
0x6c07497ed09566b7c15fd87abcd200ef26051168,0.03963011889%,Holder,
0xa2705f5c71452f4283c29cc015c2e09106257548,0.03963011889%,Holder,
0x33704695b23887e963f1c31f0597b638605876be,0.03963011889%,Holder,
0xb534eef6e4c3ec5bff2635ef2edc8c71e1176bf8,0.03963011889%,Holder,
0x49b8bff8d621d1686b7cab08bc55d45008a673e3,0.03963011889%,Holder,
0x96f78ab99a260a1668a6e831f4e171d86c9d3647,0.03963011889%,Holder,
0xa29194142ae17852383f5645f7cf7542b85217f9,0.03963011889%,Holder,
0x38c7e260bd2f48fa14bf6b14cce0a67fa28157b4,0.03963011889%,Holder,
0xde4ed9020f7558b06daaea1e5ede359132934e6f,0.03963011889%,Holder,
0xd93600851f7339ea864b4c2dc5bd5efe7656fefb,0.03963011889%,Holder,
0xf5056e3ec9bb65076acd002e7a52498b9339267d,0.03963011889%,Holder,
0x7b893dbb3b6492e5108b2f61bc22812f5ae8a21d,0.03963011889%,Holder,
0xb850a0a856055d9f2ae6d7355f2e07a00a3cc646,0.03963011889%,Holder,
0x38e3dbe3ac76f2f05a8f8ed5a5c4bd885c3bac93,0.03963011889%,Holder,
0x619d383b396c63d3040954b58c12d2f8d2bd69f2,0.03963011889%,Holder,
0x0819b0fd9813caf69ca417c435f51b8fc2445ba7,0.03963011889%,Holder,
0x9bb36559f1831e9af6ea8a7ed6a1f04f9e78f826,0.03963011889%,Holder,
0x5f312df04b19979ef4bd5876737cfa481a928c0d,0.03963011889%,Holder,
0x0fe8268061c3ca0cbd32a5bf1de391d622810036,0.03963011889%,Holder,
0x1c19f8c22dbf0d086b5156f486b25698e23f9917,0.03963011889%,Holder,
0x104bc0ca118601c9c8c30592b40cba7965469eb0,0.03963011889%,Holder,
0xbdc979f0c147dadc09a94892061b19df41711aa4,0.03963011889%,Holder,
0xfec236fb18250fd9880f280601ba15a9f47be7f5,0.03963011889%,Holder,
