Address,Allocation %,Type,Sum
0xdd5cf30f56C37d3243A23543dC5bd5eE576970e2,10.000000000000000000%,Developer,100.000%
0x192b10f1f05337882b6fe721926f2caa90ff3c2d,0.000052997997338176%,ZJOE holders,
0x647e88a8513e3360f44ee16bbcded18d0bfdf209,0.000052997997338176%,ZJOE holders,
0xbf4231a4a554f92f6af43cd31603460877ee30d9,0.000052997997338176%,ZJOE holders,
0xba1b712f5b448d39800a05cedd510dd03e1c5f42,0.000052997997338176%,ZJOE holders,
0x5d855691c86502a86cc29bfb8a09ca4548ff5f14,0.000052997997338176%,ZJOE holders,
0x828fe1af9d65fd3d3d236f16cf6275e0a6fe76f0,0.000052997997338176%,ZJOE holders,
0x7c60aa97acfe7479c323942057979df2bb700a02,0.000052997997338176%,ZJOE holders,
0x9bc86996822381b9dc51d367a6bf088d397d9f68,0.000052997997338176%,ZJOE holders,
0x4424817f42c3b08d7b6e5feb514d3cedf4bc89dd,0.000052997997338176%,ZJOE holders,
0x71035633830ed81dfbe01b2a31e632c6909b57f2,0.000052997997338176%,ZJOE holders,
0xba70738bca5f102d13a412826cd1948da941a288,0.000052997997338176%,ZJOE holders,
0x3422c484c1fb74189e169b6f068b4f05efe871d2,0.000052997997338176%,ZJOE holders,
0xf2da8b05f3a9d20e3331326ee48d19a21842dfeb,0.000052997997338176%,ZJOE holders,
0xedadbcc9ac77990c9b397e12e24ff2d5bcc46dbd,0.000052997997338176%,ZJOE holders,
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,0.000052997997338176%,ZJOE holders,
0x8b611a0747f714f657c0a8575f877ec5ad9189d0,0.000052997997338176%,ZJOE holders,
0x0bbc5b1fdcea3956ea94af1078868d5943534ae2,0.000052997997338176%,ZJOE holders,
0x40dcac7690763008fad04fb2c8fcf8da2688be6a,0.000052997997338176%,ZJOE holders,
0xec79d4727cf1e44bb24ad88656a69110cf2321fb,0.000052997997338176%,ZJOE holders,
0x2e273323526aa33305e04b55965b6e3958dd1ef4,0.000052997997338176%,ZJOE holders,
