Address,Allocation %,Type ,Sum
0x1234561fEd41DD2D867a038bBdB857f291864225,10.0000000000%,Developer,100.00%
0x00000052a1faf7d5fb634597bd9901d74c839801,0.0089413448%,Voters ,
0x000000a679c2fb345ddefbae3c42bee92c0fb7a5,0.0089413448%,Voters ,
0x000000e28faa823d5b53ff6c2922c28335840375,0.0089413448%,Voters ,
0x00002d32bbe285bac94b04da6f91705f41113dff,0.0089413448%,Voters ,
0x00006261266444fc9eaf66c93bda8360a92de4a8,0.0089413448%,Voters ,
0x0000bb99afed79ff9355297dc014df8acc177cf1,0.0089413448%,Voters ,
0x0000c9ebdb8faa317155a8907a0bcb78bb2f7d91,0.0089413448%,Voters ,
0x00060e123fa9b8e33345b745626d1e2078992741,0.0089413448%,Voters ,
0x0022251ccfb51d0c77218dd1c1bac68df7ca8098,0.0089413448%,Voters ,
0x002748db885d4ccfe3c7c92143f0805f4ebeec01,0.0089413448%,Voters ,
0x00285869437a33a652c817c143a3029313fd5794,0.0089413448%,Voters ,
0x00350949717bb9ab5e6fdcf7207dd7b7a43f6a59,0.0089413448%,Voters ,
0x003801ebdfaf38216c7892b5b41632940030a967,0.0089413448%,Voters ,
0x00409fc839a2ec2e6d12305423d37cd011279c09,0.0089413448%,Voters ,
0x0047cc76a3980eab7dd6e7eb0d50132c2625c997,0.0089413448%,Voters ,
0x005386c30a38a671f5cf7ac10878e1187a3af536,0.0089413448%,Voters ,
0x0053f0a39b017ac59b57e73846f598efa89905ee,0.0089413448%,Voters ,
0x005da0a62a2771007cb6c5dec0b6fe8ce269a517,0.0089413448%,Voters ,
0x006d4d7405a39586274ed5134164e4b671e834b8,0.0089413448%,Voters ,
0x006fe810cb3830872bcb217dfff18ebf1e33b290,0.0089413448%,Voters ,
0x00770a16c2cfb99148faf0ea9fa47d06afdba2f2,0.0089413448%,Voters ,
0x00803232cc216eef9b396d6cfffd4b51e09f29da,0.0089413448%,Voters ,
0x008786a4e57c20cd4fdb89bfd03dcf93f35dfe9a,0.0089413448%,Voters ,
0x00948265e05ad882a48a44ac610f8cc09130f1fe,0.0089413448%,Voters ,
0x00a5ed8ad5222fc066a15fe3b3120043a8c01276,0.0089413448%,Voters ,
0x00b3ecc795d7f3c3a0416be0784c43b652d5f4ca,0.0089413448%,Voters ,
0x00b4ec94d42550a4c8856e31ed98b488fbf02487,0.0089413448%,Voters ,
0x00b8a2649684a22c5a88625a9fae85051732ded6,0.0089413448%,Voters ,
0x00ba280c55643f707e23376c948be41b5468ef58,0.0089413448%,Voters ,
0x00bdf8a5e236dd8cbdad9cb1e46a7cff27ef294a,0.0089413448%,Voters ,
0x00c92086f57b30e509b9b8caeb7440ac2a04708d,0.0089413448%,Voters ,
0x00e86de669b5ee06904a66c37ac3542f2f537179,0.0089413448%,Voters ,
0x00fd975e26736da5f0545a659bb1451d4cd10f13,0.0089413448%,Voters ,
0x00fddf15962fd7a4381e83dc82645cf2a45db33d,0.0089413448%,Voters ,
0x0117725f15fa4bfb3516f69c2180d713d6adc561,0.0089413448%,Voters ,
0x0117ce17bc661d9bc331a328dc57c05d99b087d3,0.0089413448%,Voters ,
0x012575fbc84ea6f5d795e434e8a949503ae9ceb4,0.0089413448%,Voters ,
0x012ae294852e7bb1957ab5543be278f7b2cd1dae,0.0089413448%,Voters ,
0x012cd16a149f9036ca400cc35c927375e93f85d9,0.0089413448%,Voters ,
0x01333a4b1db74ccfee4d01f94b2dea16007a238e,0.0089413448%,Voters ,
0x0151dd14c24dbf98b5ad77ee3a9508b9ac68e39c,0.0089413448%,Voters ,
0x015d7b05ad83fd73b7eb433a963bd98c439848b6,0.0089413448%,Voters ,
0x015fbba59354ec2b87c957e849213e596fb4f6b6,0.0089413448%,Voters ,
0x0160c3cc49a2c55c9ded455023e58d5c1a6d3761,0.0089413448%,Voters ,
0x01650a260f652c3fe649324efdce386746171e81,0.0089413448%,Voters ,
0x016ab8fe40fc78693c3aa9a246d2666eb01fa8ad,0.0089413448%,Voters ,
0x016d13e3e6e5704cfd472266f790c6d534c28dd8,0.0089413448%,Voters ,
0x0170a4753645ee09cbe362afbfefc8d12590e65d,0.0089413448%,Voters ,
0x01a683f89e8b392046fbd1bc985232c1f82b81a8,0.0089413448%,Voters ,
0x01aacabf3b35e8b334a9b2129eb08c1f90e43375,0.0089413448%,Voters ,
0x01b6c4fece075d80bd6ba0ca110f8ef09e3526ed,0.0089413448%,Voters ,
0x01c1f0db8b46f87a8d2f88cf6d77a568d0ef026c,0.0089413448%,Voters ,
0x01d2926bd27a0a67cb5021aa66375b02f1003748,0.0089413448%,Voters ,
0x01d7a98d738e571b48070ec7a84d2029e7fdcdcd,0.0089413448%,Voters ,
0x01d907f5048bb554dc70bb9b369be9c7b2ae686e,0.0089413448%,Voters ,
0x01e3a700a1a0509ec3ee32cc12c3c5a602f1ff8c,0.0089413448%,Voters ,
0x01ed80e337251af4a7271efbeac1f78dfa7fd370,0.0089413448%,Voters ,
0x01ff11ca4310339e07648edc38ede3f0b82e5f17,0.0089413448%,Voters ,
0x0201ee3454b5586b3b80a72e09b0b403633433e6,0.0089413448%,Voters ,
0x020b912ee5f7697f35664581be6e1cb2bed3e21c,0.0089413448%,Voters ,
0x0218602cb8434c34f45df464a57b1f4c59901883,0.0089413448%,Voters ,
0x022bcbf74ba63840e285eeab1fca02c813a37032,0.0089413448%,Voters ,
