Address,Allocation %,Type,Sum
0x0033c829188Ea77143e228104352A7ed8aBb5182,10.0000000000000000%,Developer,100.00%
0x2d8e111Ec20fB6EC88a862b841DBd7cE16Ef93f0,0.2197800000000000%,XVS Liquidity Providers,
0x698BD3d48C43fdBdf48553B3E1C301B0c1c5F3c0,0.2197800000000000%,XVS Liquidity Providers,
0x002244653877e5E01Ce8b6d76b9D7957205FdA78,0.2197800000000000%,XVS Liquidity Providers,
0xc7606E51b651A6310F3897D9cf1A593145547857,0.2197800000000000%,XVS Liquidity Providers,
0x3888a69bd352D9580264E73948e8EF02d841AfA5,0.2197800000000000%,XVS Liquidity Providers,
0xfBe2afa145F5E92e42a0D9698EeFaceEC2Aa2e89,0.2197800000000000%,XVS Liquidity Providers,
0xB33CA7209bD9CC820006f5c98C53627d1C0afbda,0.2197800000000000%,XVS Liquidity Providers,
0x9510d5bfD74fcD73fc9033f847A5b1372C499F02,0.2197800000000000%,XVS Liquidity Providers,
0xE139d1cb9031b4873E103e48205FD6D685B878f7,0.2197800000000000%,XVS Liquidity Providers,
0xe02dDf1C876114f2A68658cd63F511c6dD885A0D,0.2197800000000000%,XVS Liquidity Providers,
0x3B0642c4BCBF6D844D96c65dbE78e128b25DdEF4,0.2197800000000000%,XVS Liquidity Providers,
0x65d4b193634c8F06Fd24a40982997Bd9b98942DE,0.2197800000000000%,XVS Liquidity Providers,
0x77976831763906ee871067A2dB4F1c252BA7fc2f,0.2197800000000000%,XVS Liquidity Providers,
0x866573B39B7125cbcf6899dE313eBaF652eB0719,0.2197800000000000%,XVS Liquidity Providers,
0xe929e53399F9Ec12f9d48d2aDf258b54D161EEA7,0.2197800000000000%,XVS Liquidity Providers,
0x5658776fF95537C02a698BC4ABdefe712c57A321,0.2197800000000000%,XVS Liquidity Providers,
0xa2fb24202db6C0b120E91A1B2FF671DBBbE88e2d,0.2197800000000000%,XVS Liquidity Providers,
0x23BA40b9ed5C3495774ca4082Be100CA2A0Be3c0,0.2197800000000000%,XVS Liquidity Providers,
0x8Daa318c4e455c06C00d7328E07c5a08feD6B8F9,0.2197800000000000%,XVS Liquidity Providers,
0xcb5f3B96D8e18CA5C41254152E7Eb5Ef46C90264,0.2197800000000000%,XVS Liquidity Providers,
0xb380d6b3F372723395879076766e5f5E13f3d580,0.2197800000000000%,XVS Liquidity Providers,
0x40c46370f9A74fb8371bfF30C81a84f2D06D26EA,0.2197800000000000%,XVS Liquidity Providers,
0x198f9dff2DF2F188d71Fc02C0d833cb2665b2A19,0.2197800000000000%,XVS Liquidity Providers,
0xA4A16de951f37e5CD87805c31be4a202E230CB1F,0.2197800000000000%,XVS Liquidity Providers,
0xE0f27f5a04098E266D6cC7868a974Bd65d7c6471,0.2197800000000000%,XVS Liquidity Providers,
0x09c90Ea0d16cE058229b939967aa29446d13CEed,0.2197800000000000%,XVS Liquidity Providers,
0x58AcE021E5C66934F994A6D0aAFc59de92713729,0.2197800000000000%,XVS Liquidity Providers,
0x7F73cBB40f4f66c23b8fe4b7517C7141859c6915,0.2197800000000000%,XVS Liquidity Providers,
0x5d49fa535664167fe733f53d694ccd2Bbe8a1cBe,0.2197800000000000%,XVS Liquidity Providers,
0xCaEFC3aD6700e0c84366F331b9B0CAfFc9fB6109,0.2197800000000000%,XVS Liquidity Providers,
0xb81D163e3E03aa9a06Cd5fC7d1434ef7B26d185C,0.2197800000000000%,XVS Liquidity Providers,
0x65322979CCc8e4C768209919D2dc4cF877aB2fB8,0.2197800000000000%,XVS Liquidity Providers,
0x8aD1a9B81f1724928329B50514d21502A2f26C79,0.2197800000000000%,XVS Liquidity Providers,
0x4FAf1E116F2e9DDBcD399F0D131737Ac0ecd2323,0.2197800000000000%,XVS Liquidity Providers,
0x22447c8c3D2DeE64899C333828347639c35ce816,0.2197800000000000%,XVS Liquidity Providers,
0x2edEf4C277E03F4E96cfEcbE8A936732ff1C4eA6,0.2197800000000000%,XVS Liquidity Providers,
0xE34bb624055B171D777EcCBbFC3BaaeeFfBE432c,0.2197800000000000%,XVS Liquidity Providers,
0x7BE3F59115F90F00d3c42D44A9284C52Eac45FdD,0.2197800000000000%,XVS Liquidity Providers,
