Address,Allocation %,Type,Sum
0x2A2DB71e6CAc000Dd5a4b31B5514528Bbe9fa481,10.00000000000000%,devloper,100.000%
0x59a47c9e6f1506e0a84f3361a20a58d8fba2a54d,5.66814893670000%,holder,
0xb83c672c8d1cebd27f9f71ba899d1deadf3cd4bc,4.76626031820000%,holder,
0xb8b337c5c3b7dd96a4427483660ef4566e18085c,2.71051863120000%,holder,
0xecafbf8e3e31b986709f04fcbfdec2e7bbcfc7b8,2.29437863280000%,holder,
0x522813fedf66f951677ecbf91f0db36b16c05835,2.20361865660000%,holder,
0xbbbcf13e525de437ece309c627aac918c296814c,1.68473945880000%,holder,
0x169b2e16ac8cf141563f5ecdbae12f9181788cb6,1.68468045930000%,holder,
0xfcA1cfb5A70a0992dDCA76D37e760370912Cd3c4,1.64299302900000%,holder,
0xf0fcfe56ef9653716bd81d1dc4352b75db6a74c1,1.41938578800000%,holder,
0x7fd2bcf388190ab6875e51155fd4b4690b6a5bba,1.41626822490000%,holder,
0x9b9aea1ad3727356ec13177a774940bc5fa0e121,1.31902437060000%,holder,
0xba0212be42fac5cfa9b2af2df62935da64591e5d,1.26559407960000%,holder,
0x1f1e1a2b5b2a657eb19e57464e3e44c032ec5487,1.21539623490000%,holder,
0x42cae54d92bdd19d6f2ed5f424e22c48d0831c66,1.15240308480000%,holder,
0x2e8c2a545bcf0c06e605a6ef21c351bfaac2c284,1.05598813500000%,holder,
0x2353de02212ca67d0827216aa38e7b7b1edaae1f,0.82619780580000%,holder,
0x8a9aff14a363ec60ed56bb8b960e54d5b6598827,0.82323938610000%,holder,
0x2d09a027168de6c88e3ef24942502363e815dd6d,0.78308053245000%,holder,
0xf43fcbb3c9eb874b0c6a7b21463145761ae9079e,0.75066611760000%,holder,
0xd46f098600d44b44b25bea56a10ea22ad53404f1,0.70549333902000%,holder,
0xb32f7d8a12dbc497c9316766c846934828977cc9,0.66767768091000%,holder,
0x3711b9354028959e3b252d06ab1cc9b0be0ddfd5,0.64827182448000%,holder,
0x39b3a3b674b97b448b8f5b509ed73ca2b02e1f0f,0.64634055804000%,holder,
0x873776821bee430d7cc4059ba9b2752ea9dc8f9d,0.60900196005000%,holder,
