Address,Allocation %,Type ,Sum
0xA2Ec022D89B0A80012c2446B0e8E5Ff12f88dFC1,10.0000000000000000%,Developer Address,100.00%
0x0fab28472d94737c63856033fd7b936ebb9050a4,0.0785340314136126%,GMI Users,
0xd24cb02bed630baa49887168440d90be8da6708c,0.0785340314136126%,GMI Users,
0xa2ec022d89b0a80012c2446b0e8e5ff12f88dfc1,0.0785340314136126%,GMI Users,
0x1d8d3417d1d41aac899a43c3592eafc504634171,0.0785340314136126%,GMI Users,
0x3c1cb7d4c0ce0dc72edc7ea06acc866e62a8f1d8,0.0785340314136126%,GMI Users,
0x77e29a22ed3e4c0a30d12530b1088a49c8727003,0.0785340314136126%,GMI Users,
0x262838a2718072298dbb890bf3c6cef119c19799,0.0785340314136126%,GMI Users,
0xf797d449502c42573ee04b3ffe8ee833f4ee152a,0.0785340314136126%,GMI Users,
0x945df28092f79492497e851d2f718395b758ab3a,0.0785340314136126%,GMI Users,
0xe1abd98bf558625efd3f95b2de8f9d5a8b555ae0,0.0785340314136126%,GMI Users,
0xab6b132dd2836478db15576c09cd48e5a98009ca,0.0785340314136126%,GMI Users,
0xb9d9bbb9087ee8996ce24970a3a50924581291ff,0.0785340314136126%,GMI Users,
0xb40156f51103ebaa842590ce51dd2cd0a9e83cda,0.0785340314136126%,GMI Users,
0x5b84110c0677ba08424620597d771f742d7ec504,0.0785340314136126%,GMI Users,
0xe513cd2b7ead0ad2549283acd7fc4f9b91a5c878,0.0785340314136126%,GMI Users,
0x38dd4d1cf82b0943d1ed300a792900d252e21921,0.0785340314136126%,GMI Users,
0x2b59fdffe8ae11e72e417f924573f540847bf131,0.0785340314136126%,GMI Users,
0xb7638f0040f116668201fb822446c1857035a9a2,0.0785340314136126%,GMI Users,
0x91ead047182594839a12dc1907d2eeab7aa14c63,0.0785340314136126%,GMI Users,
0xe9aa7b489ba63945dd4522f03b5cd9369b8ccf7f,0.0785340314136126%,GMI Users,
0x1a1b1504139909f6673951338ca8574df3267c9d,0.0785340314136126%,GMI Users,
0xbe7019f8333b0b3cfc707ac353ebc2123140134c,0.0785340314136126%,GMI Users,
0xd12d40243c7ef600ba11d40935c2870973ad51d2,0.0785340314136126%,GMI Users,
0x6073780d060c5a5bd10a7501cf74d2a0935eb5f3,0.0785340314136126%,GMI Users,
0x54771e2e04b49fa2faa033349d9b62bd8c6da165,0.0785340314136126%,GMI Users,
0xd9cf99cf1e381703313f65df16b17e0c1942eae9,0.0785340314136126%,GMI Users,
0x7247301fa9bda5a3abcfdaedacf0ec94647576cd,0.0785340314136126%,GMI Users,
0xb0431de6813e705feace61cd172ae3d388d8a886,0.0785340314136126%,GMI Users,
0xc07918e451ab77023a16fa7515dd60433a3c771d,0.0785340314136126%,GMI Users,
0xf690dc6e603c865f416913ba4fb6437c94ba3041,0.0785340314136126%,GMI Users,
0x0df1dd9d2591a270bbcfed24e8e2a3f3627a06e5,0.0785340314136126%,GMI Users,
0x08889d53a62626bc1b97203c95ea10c8df3287e0,0.0785340314136126%,GMI Users,
0xf7b3e7e00f7b6d0e259ffb82f2d5a130dfd021f1,0.0785340314136126%,GMI Users,
0x3214e141bdae08be1f382a885cf3d2a448a5e780,0.0785340314136126%,GMI Users,
0xf986ba6c6477c0bf2a29cd0ae6c10b6e0e781670,0.0785340314136126%,GMI Users,
0xacd6bd01c3146cb3a2d70f368d3de9f98003d514,0.0785340314136126%,GMI Users,
0x214ae2a1ccafdcf15998c634ee39c67cbc7fbfbd,0.0785340314136126%,GMI Users,
0xede1faaf984763a544ac3e95b4198434c552a2a3,0.0785340314136126%,GMI Users,
0xb00f5d85268326fb8046c8066d22df438efa2155,0.0785340314136126%,GMI Users,
0x5150510e7a25aaf7e182aff12645936fc3687de6,0.0785340314136126%,GMI Users,
0xd52382bb68837fc476b768c7c94c5a76b2321519,0.0785340314136126%,GMI Users,
0x1bf866d2345533776c5e503a6606a90aa0e988f4,0.0785340314136126%,GMI Users,
0x7efce4683f2cf1d68674464ad1a3b04a124eb4eb,0.0785340314136126%,GMI Users,
0x4576a0ba4040cc3c5a235de4406beacebd5b1f10,0.0785340314136126%,GMI Users,
0x1dfbb11a0bfe788172badd74a798e6e1413f6120,0.0785340314136126%,GMI Users,
0xbb928353b41d8bf670ea24d8278e702d4d57195c,0.0785340314136126%,GMI Users,
0x187ed1461c418ae6308af0a15c9c899f96aa604b,0.0785340314136126%,GMI Users,
0xa6d720ee95f027895104e3a5d046f9e3b4b0b3b2,0.0785340314136126%,GMI Users,
0x577be3ed9a71e1c355f519bbdf5f09ba2018b1cc,0.0785340314136126%,GMI Users,
0x6eb8d6bccceb84832725dcf792468dd8ba088449,0.0785340314136126%,GMI Users,
0xc9ae03e73457aadbd1ea4937051940dcf5ecabc0,0.0785340314136126%,GMI Users,
