Address,Allocation %,Type ,Sum
0xDd561195Aa0F719dE3735568C3CD46d8836C6B35,10.000000000000%,Developer Address,100.00%
0x401bfc5be946869bc0a72d221d9d767f9b999d97,0.005318583129%,Token Holder,
0xc1704c99278c3e5a91afb117301ea61b003aa650,0.005318583129%,Token Holder,
0xcde23dd1ee45fb7f0b5585b46769b4f2d5f25208,0.005318583129%,Token Holder,
0x913ede123190387fd2ac68b863a8c240b93742a7,0.005318583129%,Token Holder,
0x12d2244d6d7cb8c7f6dd4aeeaa832fc4b18675d7,0.005318583129%,Token Holder,
0x4c46635c03aa10c2982dad92ebb1b0c68f4dff1f,0.005318583129%,Token Holder,
0x84b028fa6cab4fd462f12cd41ac7cb9d78b8e996,0.005318583129%,Token Holder,
0x885a57ef5e017752c7665029c6ee42f1c3061c31,0.005318583129%,Token Holder,
0xfea7b5cb6a6a459b029855c9d85f7fad36c91924,0.005318583129%,Token Holder,
0x073ba27e68dcab7ef707713da9f4a4cf460ee1e3,0.005318583129%,Token Holder,
0x61e5f20e0c7efcb8f8bcc162fbaf1d288555bba7,0.005318583129%,Token Holder,
0x66518188bc2f9293399306f1ef1fd74b0680ac77,0.005318583129%,Token Holder,
0x412b3ade2cd55bc823149a9d20e6755e1153c7e5,0.005318583129%,Token Holder,
0x58264d4164ce950f3889239cbb570386a692ad65,0.005318583129%,Token Holder,
0xbd14e3d15ae592efd60cf40e6ebd3557e90246f7,0.005318583129%,Token Holder,
0x0c795fd013a4928fa763872fc7db89205e7ccf8f,0.005318583129%,Token Holder,
0xfdea5831f9d6491b770d262d04084cf8bcf9a03d,0.005318583129%,Token Holder,
0xc675644c44dd2b4bef6a5e86ee566ea0d3052dd0,0.005318583129%,Token Holder,
0xe25768f8b6cf3d250c55a327c14b5235d3bb90be,0.005318583129%,Token Holder,
0x4e140de0b33c418d2206b4ec9c83ed6c32741435,0.005318583129%,Token Holder,
0xf6e89fc1473a64bf973d4e08d38da9df62e4da32,0.005318583129%,Token Holder,
0xfa5e49bb53b8f9e530214459925b619599ed07ec,0.005318583129%,Token Holder,
0x51e3d44172868acc60d68ca99591ce4230bc75e0,0.005318583129%,Token Holder,
0x11c2ea1cc80141c40eef0aea73fe05600d78b3d6,0.005318583129%,Token Holder,
0x576b81f0c21edbc920ad63feeeb2b0736b018a58,0.005318583129%,Token Holder,
0x7cd16e5c762c890c13e5f94d3bc7d1fc7b3a1c7a,0.005318583129%,Token Holder,
0x0ab27d0c7aa94cb65af51dc61d80bf176d9ad3ba,0.005318583129%,Token Holder,
0x785807cff823140bc601ad355f89037a3cee7eb2,0.005318583129%,Token Holder,
0xb2c5a11e5ad1eb71e5ec9b2d4c3d2076c15defc8,0.005318583129%,Token Holder,
0xb2c7739c1db36e8899e40f79bbebce73238fda98,0.005318583129%,Token Holder,
0x0e92034655ee5a42878121d25332d1a115acaf8e,0.005318583129%,Token Holder,
0x34799706fc0ca4c931a1fb20c7ba01a179eea958,0.005318583129%,Token Holder,
0x53a92c92f0397eea3149cba50b224afc25bd4d55,0.005318583129%,Token Holder,
0xdd9bc7872510ffbf565e55285c242c7b3fa99e02,0.005318583129%,Token Holder,
0xf8c5f6313f9a8241ab0c4159044a35af535b924c,0.005318583129%,Token Holder,
0xfcd1014e6e136469c38d168af035f1478622fad6,0.005318583129%,Token Holder,
0xdf08e9d4ca290593acddb18363c49df35a060df2,0.005318583129%,Token Holder,
0xe49684b1f0a81dc954fc1e38cb717d68932693dd,0.005318583129%,Token Holder,
0xc0819e1e01204bcb9cb5a0a3be826afedad6edef,0.005318583129%,Token Holder,
0x15dd97782843aedccc5ba7b45761cc96c7b29102,0.005318583129%,Token Holder,
0x9ee27144ffa246d0fe6d4a2286618e8bccea7d9e,0.005318583129%,Token Holder,
0x93d54198aad5e5cefee1641211fa3c89fb5dc9f6,0.005318583129%,Token Holder,
0xa813251e163766361adfb9700748397977a54ea0,0.005318583129%,Token Holder,
0x2a73554a791062e092224d97185eb124723246a3,0.005318583129%,Token Holder,
0x2154191709b6c1b9bc796946e508439cf8c15eed,0.005318583129%,Token Holder,
0xb5d12170d020a10097339f60df488b32ea6cf4a4,0.005318583129%,Token Holder,
0xb50ff38f0fb98dd5f9fb76ea333927beb8f1920c,0.005318583129%,Token Holder,
0x658cd7efc40d45119f6f85ee08f0f1888b829ba6,0.005318583129%,Token Holder,
0x907cec57456adb5484921771d692a74c2dd0d107,0.005318583129%,Token Holder,
0xb99bfb6525112815c691a32afde3d8cfa0871f66,0.005318583129%,Token Holder,
0x673e83213498f3b05a3066dcc2ff297d2eb43510,0.005318583129%,Token Holder,
0x629e93dfe516845a0f3996dd4dc671245ae039e7,0.005318583129%,Token Holder,
0xa5b641c2f5a908d80f7a4109b6af144ef5b48cc9,0.005318583129%,Token Holder,
0x3a519b6d608972296ad94a51d272526207cd06b1,0.005318583129%,Token Holder,
0xe27f66e47081dc36dc418ca1b58b78c4ccd5bae0,0.005318583129%,Token Holder,
0x5805c8c77187aaaace20bd2af4f8412c7b9a9275,0.005318583129%,Token Holder,
0xb73dc2b77d80ad9cef469fcc20b77f7229e13fa3,0.005318583129%,Token Holder,
0x3086a393d5fa5cdc07e921a5d57722c8c155a6c3,0.005318583129%,Token Holder,
0x20a870c72ff36c56ebf1a5bd65f9ed9b2ad63788,0.005318583129%,Token Holder,
0xd775db6af3c84684f0e5cdfa10c5fa8d2a675b51,0.005318583129%,Token Holder,
0xd08b37b15134c158dabcd4d09ea0207465ea5e4d,0.005318583129%,Token Holder,
0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,0.005318583129%,Token Holder,
0x511652f5f25f613331cd95e580c1a357146f4af1,0.005318583129%,Token Holder,
0xc75ca609de85d3a0a79ba2f1daf95ea526498382,0.005318583129%,Token Holder,
0x9ba14a88556e16431df471e24ec78b815db90cb9,0.005318583129%,Token Holder,
0x54fa4e2b88f3229ea6f9b454fd7240f4b43426db,0.005318583129%,Token Holder,
0x2d59e650a72e3a707cdf4eb74b5b9988586b2d3f,0.005318583129%,Token Holder,
0x4d3d4eadbc7335b9646eee3bb7d820c7e632bf35,0.005318583129%,Token Holder,
0xd98316e77d2601be2194681bfe53d7705b518706,0.005318583129%,Token Holder,
0xa35e1ff399da059ed4e249e176e1d38fb38820e1,0.005318583129%,Token Holder,
0x318b4a3a7ec40a951799422629fae348d9e05ecc,0.005318583129%,Token Holder,
0x7a7e0a7fafcf034202c0ad075d5522136b68797f,0.005318583129%,Token Holder,
0xa5f0d6180d80b06e2fb2ef53ad490e2781cd5553,0.005318583129%,Token Holder,
0x45b6ed342c42143c88fa9767830bab84ee45eaff,0.005318583129%,Token Holder,
0xc1ad6a77d802208e1f4af3d8af4055e795055598,0.005318583129%,Token Holder,
0xaebddc59474eeb11ba0f4238bfcef38114fdb8d4,0.005318583129%,Token Holder,
0x02af94b8db31eacd0e81c1d5292d37ea14c3efb1,0.005318583129%,Token Holder,
0xacfaf8f7a29cf16767db1585cfae2919a473d16d,0.005318583129%,Token Holder,
0xd995edb4e843d35d86117bc0dd85e76156ef5667,0.005318583129%,Token Holder,
0x3969f47e99d122337f25d7f542d0f31f4f327022,0.005318583129%,Token Holder,
0xfa5cb2e93e1326cefe1284b547a02e1cd87091b0,0.005318583129%,Token Holder,
0x444e9bdf77e81d065985c60ad2b490790cbbf5ad,0.005318583129%,Token Holder,
0xa2b25d0ce872b0bc48becca0291520e5c04d3529,0.005318583129%,Token Holder,
0xbab48871d06613d07ddd287c29ec13e3ca4a1ba2,0.005318583129%,Token Holder,
0xf499713993b1044a37c12fc09b7a4b4d4dcac877,0.005318583129%,Token Holder,
0xc77cb7331947ab38f7fda70a3df8f017b30c0c45,0.005318583129%,Token Holder,
0x78a3bd930b1e99b55e5390e048ab0d659d8977fc,0.005318583129%,Token Holder,
0x64ccf050e7ea299c7cfd7c5d3eaf24ea1a2a12e8,0.005318583129%,Token Holder,
0x49f8ec4cc1989a6423a0cd506489b9e3c7c6e7be,0.005318583129%,Token Holder,
0xd1c8fa7f3aaf213307900cb6b96ae5178f7268f4,0.005318583129%,Token Holder,
