Address,Allocation %,Type ,Sum
0xe1EA2a7FF6864Aa8555c85B61F506E1f674028ce,10.0000000000000000%,Developer Address,100.00%
0xe1ea2a7ff6864aa8555c85b61f506e1f674028ce,0.0020739716557207%,More than 3 tx using LZ,
0x755593af4a992f1bbf7abfd58777fd94348c5b2d,0.0020739716557207%,More than 3 tx using LZ,
0x2589253662e30a5de052f4fe6f7b44ba408edd6b,0.0020739716557207%,More than 3 tx using LZ,
0xb453663e420deded9b4b3cce3ce23dce56b6fb50,0.0020739716557207%,More than 3 tx using LZ,
0x7d0a34a771996d23dd3511993043b2ace9640f02,0.0020739716557207%,More than 3 tx using LZ,
0x384e0391ec74d1ca16c801fda27d7194b7bd0cc8,0.0020739716557207%,More than 3 tx using LZ,
0x7beaacdf9f7571ad79f682c15fd860518b6d94b5,0.0020739716557207%,More than 3 tx using LZ,
0x09fac4fb83930156c610be3e844e6b43010bbb81,0.0020739716557207%,More than 3 tx using LZ,
0xe5673e1694c95d51d6ea2c4e466bfd6b2f944922,0.0020739716557207%,More than 3 tx using LZ,
0xfc4cf9581a2339dd760cd0ce4eda10b775522f3c,0.0020739716557207%,More than 3 tx using LZ,
0xdb8a18afa85653aa07768cca786d8f7aa8f55685,0.0020739716557207%,More than 3 tx using LZ,
0x1ff4421295b13353403ba4481a0aa556f45c1ef5,0.0020739716557207%,More than 3 tx using LZ,
0xa789bdad4119ca7c0c80ad049c8319fdd4600b13,0.0020739716557207%,More than 3 tx using LZ,
0x07349e49df4cc4e8dfc6e64f490bfc651a49991e,0.0020739716557207%,More than 3 tx using LZ,
0xa4224d98f186498b4832ec5d341ed8966f16991b,0.0020739716557207%,More than 3 tx using LZ,
0x198c46f639357ac2b288dafb81ed46f3d745bb31,0.0020739716557207%,More than 3 tx using LZ,
0x10ab57b6887a01dc81caa29b6f006fb7bc9dbda0,0.0020739716557207%,More than 3 tx using LZ,
0x4d6fe00588543ffe3d299bec3df88f87f8f36c14,0.0020739716557207%,More than 3 tx using LZ,
0xbd4fdc174e8dfc2b51e96c130a42e74362c3de19,0.0020739716557207%,More than 3 tx using LZ,
0xb3a29e6bee26663772e4d9d38b453a5add44433e,0.0020739716557207%,More than 3 tx using LZ,
0xbcc8b7dde50ad79ddfe0c6f767243c7415b61e75,0.0020739716557207%,More than 3 tx using LZ,
0x784592e3c52f3dc69bc3214c6ab9cd1dcc35bac0,0.0020739716557207%,More than 3 tx using LZ,
0xfd6575edd122929225eb99a399efe0bc72f09040,0.0020739716557207%,More than 3 tx using LZ,
0xfbb244a9b361b8412f30a6e6987893cfe5d76c36,0.0020739716557207%,More than 3 tx using LZ,
0x76d30e97b263528490deee8ab28e8e9c0e3552ed,0.0020739716557207%,More than 3 tx using LZ,
0xe43e13d2a7371614c607692cfaa0ca38cb9c9746,0.0020739716557207%,More than 3 tx using LZ,
0x61b59c8fa4c6502a386d841ee7aead01b0d54e41,0.0020739716557207%,More than 3 tx using LZ,
0x965fffa0eba9b554417d280d5e7e0fdb56250cfd,0.0020739716557207%,More than 3 tx using LZ,
0xc023a905fff42af0aae943bf940d7b0871a4e418,0.0020739716557207%,More than 3 tx using LZ,
0x48fe794f442dfb89710583108f7bf6f912a681ea,0.0020739716557207%,More than 3 tx using LZ,
0x8405eea3fee5f1bc45dddb36fbad01810d8b6a82,0.0020739716557207%,More than 3 tx using LZ,
0xbb013be9f038f048ba79e406f52ec3fc8389e92f,0.0020739716557207%,More than 3 tx using LZ,
0x9dc051ce8da00508838d152c35f1fb94de32b6ae,0.0020739716557207%,More than 3 tx using LZ,
0x6eb9a44a3f70b31f9cb99b7d11784bf1c0421516,0.0020739716557207%,More than 3 tx using LZ,
0xdfa3728d6dca7392a9255bcb8cd3036d6e13c703,0.0020739716557207%,More than 3 tx using LZ,
0x42ae01552f4fc48edb2c7e9529494ee4dee25f1b,0.0020739716557207%,More than 3 tx using LZ,
0x4a79829ecd053c10c89ebd3b5841a3b7154b925e,0.0020739716557207%,More than 3 tx using LZ,
0x44a7c038410f0a0e720f7a02d0a44703a1ed158b,0.0020739716557207%,More than 3 tx using LZ,
0x5820a6d3619a861df9961be03271a4904f27a011,0.0020739716557207%,More than 3 tx using LZ,
0x308fd5e02852a2dc836004a6694ffdaa0423bbd3,0.0020739716557207%,More than 3 tx using LZ,
0xdb929968c9308736fd642cca1c2762d248fc7b1f,0.0020739716557207%,More than 3 tx using LZ,
0x768a5d1691bdd3c4ec74e26ec984b487e6e91286,0.0020739716557207%,More than 3 tx using LZ,
0xb6544d7edb1f9ae7594a672f7c0bf2059c8d5460,0.0020739716557207%,More than 3 tx using LZ,
0xfda1c4fcc4d5b18da8671a66f34130afe4277bc1,0.0020739716557207%,More than 3 tx using LZ,
0xa06ef05c6abd89f62ebb9ba8039f5e71d00b107a,0.0020739716557207%,More than 3 tx using LZ,
0xe8b4c3b98b7cb05fe9dcf2f6c149f6dc3be0c0cb,0.0020739716557207%,More than 3 tx using LZ,
0x84d1bb693c7b79f975504bfd68088f441812ff4d,0.0020739716557207%,More than 3 tx using LZ,
0xf4a1f640bdb6928937484eab13631d39e0f82482,0.0020739716557207%,More than 3 tx using LZ,
0x82bfa63cb9b8f1332cb82d2c4590cef50c0300ff,0.0020739716557207%,More than 3 tx using LZ,
0x4b827148701087571b9a94673315ee524d80fab2,0.0020739716557207%,More than 3 tx using LZ,
0xc633aede0b7dbd461c4d655369e8b0d0f5339448,0.0020739716557207%,More than 3 tx using LZ,
0x5204814ac50dac7615bcc341165232ae0c194204,0.0020739716557207%,More than 3 tx using LZ,
0xdfcc808ddea86b4fd7a18fbc73de6c5d0cca53ee,0.0020739716557207%,More than 3 tx using LZ,
0xc53efd444bbda8d1e0a29a401a9c593712775f43,0.0020739716557207%,More than 3 tx using LZ,
0x61ae7a8c957f8366357afc8c03c9f5b40fb60d20,0.0020739716557207%,More than 3 tx using LZ,
0xc1c6cb6948f6a1fe800a05ff2add14a8afb8d958,0.0020739716557207%,More than 3 tx using LZ,
0xcf3abbce9b2b7f24bfd0ec2b7c086225f535aae3,0.0020739716557207%,More than 3 tx using LZ,
0x3548501ba13bea724247980d732a749022e63881,0.0020739716557207%,More than 3 tx using LZ,
0x712e10e25c79c0f69706fdd8c69b630c8c90cb13,0.0020739716557207%,More than 3 tx using LZ,
0x3402936329772248865803f9b0080c0496ae4e8b,0.0020739716557207%,More than 3 tx using LZ,
0x6d5168d1499e3c0972d55f63061280848dda4277,0.0020739716557207%,More than 3 tx using LZ,
0x354e3f9d5561965176ee110720977c8ab093a017,0.0020739716557207%,More than 3 tx using LZ,
0x5446c711af34858fe107cf9e0959a4aac9a9ad8f,0.0020739716557207%,More than 3 tx using LZ,
0xb6ad41eb0848bff99de05aa94a46211397c39b5f,0.0020739716557207%,More than 3 tx using LZ,
0x4fc521a9ce9543f5a6690eb4adfbdab3a67100d5,0.0020739716557207%,More than 3 tx using LZ,
0x8fd4f55a3a3f8f3cf461bd4a6a3ffee937fbf75c,0.0020739716557207%,More than 3 tx using LZ,
0x07f9c45fd48e2ab1667aa9a59f38d78c3a09d7c7,0.0020739716557207%,More than 3 tx using LZ,
0xdbb205d2816540c1daaaae7d094669bb5a53d375,0.0020739716557207%,More than 3 tx using LZ,
0x28046ad21c3c9f6581ff9b5fe53687ec05866fc5,0.0020739716557207%,More than 3 tx using LZ,
0xae196d8fed64395c31c96a7c483750fc9b2958df,0.0020739716557207%,More than 3 tx using LZ,
0xb71667b32a69fb3712a7e0824bdea7cc146ccfcd,0.0020739716557207%,More than 3 tx using LZ,
0x7d65b378526e0e954656712bc2cc3fcbc7d3a75c,0.0020739716557207%,More than 3 tx using LZ,
0x247c80030ac0ad281d16cafe4295b87f01887e55,0.0020739716557207%,More than 3 tx using LZ,
0x3caa7ed55666474f053d34fd593c1c1c526d6071,0.0020739716557207%,More than 3 tx using LZ,
0x7a2f48dc240dc6b7369bd885de1c4c0d6a93d0a7,0.0020739716557207%,More than 3 tx using LZ,
0x26f1793ad28247cabfeacea3c9a5324edd9ff599,0.0020739716557207%,More than 3 tx using LZ,
0xae3e78460bcb38ef0926eeded9d91f2e66affec1,0.0020739716557207%,More than 3 tx using LZ,
0x278121b8c16e5683b624f1ebb00a5b9fa3b2cada,0.0020739716557207%,More than 3 tx using LZ,
0x7aabc3913ad17c6718814636855faefe61d94191,0.0020739716557207%,More than 3 tx using LZ,
0xf2e397e5c68f9f289a7f6550dd09bbaaa02bfffa,0.0020739716557207%,More than 3 tx using LZ,
0xe041a01842d7421a3dbe83b0544f5c4d91cf18c7,0.0020739716557207%,More than 3 tx using LZ,
0x6a8d20810fda00f18edf9d4cdfcacce95eeb5b81,0.0020739716557207%,More than 3 tx using LZ,
0xc81e04299762dab568f1e6787403e8701b37b4c8,0.0020739716557207%,More than 3 tx using LZ,
0xc6af8f870863408549f1c868ddb19857f3ca4ea5,0.0020739716557207%,More than 3 tx using LZ,
0x60fcd57436d9dc20cc97157be1652e0b70ae97d2,0.0020739716557207%,More than 3 tx using LZ,
0x42d82cca601cc7153cfe996b34615c326bebc16e,0.0020739716557207%,More than 3 tx using LZ,
0x0574580519fc34a4bd500409b90d1ebf8e00a494,0.0020739716557207%,More than 3 tx using LZ,
0x42d0fcc9430690fe77d4bc0a0da4d0f543bc0119,0.0020739716557207%,More than 3 tx using LZ,
0x58ea97f8e74fcf311459e37b2b0b11f8ca6c3c30,0.0020739716557207%,More than 3 tx using LZ,
0xe3ef837814959f2a2d4b135252b61cc4335d477c,0.0020739716557207%,More than 3 tx using LZ,
0xc346beb9f8e1a28c0a4cb721469ce329c795d60b,0.0020739716557207%,More than 3 tx using LZ,
0x1c1b489938bf71f6e46dd073f525883caa253f2f,0.0020739716557207%,More than 3 tx using LZ,
0xc71c12422d9169ece1a28ca57f46bc0c0458dfe0,0.0020739716557207%,More than 3 tx using LZ,
0x7ad0325c607f12cfc3fff31857817ec36d95beab,0.0020739716557207%,More than 3 tx using LZ,
0x1a2e015811433e55b3a170583610b9b89d544d00,0.0020739716557207%,More than 3 tx using LZ,
0x7320b08b56953b9795fa7d50aecab533e7ec33cd,0.0020739716557207%,More than 3 tx using LZ,
0xc8e80d15bf7a6740cfc50157f3cd554862317591,0.0020739716557207%,More than 3 tx using LZ,
0xabda01dda22868ea9c7ff18bc4dc6da90555e96f,0.0020739716557207%,More than 3 tx using LZ,
0x2321c8df3e676c3f6e074f40fe53a13b68a34062,0.0020739716557207%,More than 3 tx using LZ,
0x133822b32ed93933621ef20cad9fc5795bfc9daa,0.0020739716557207%,More than 3 tx using LZ,
0x796ee341ae2581463598154e834a5af927561f3e,0.0020739716557207%,More than 3 tx using LZ,
0xe2749763c4979d6650bddc65c374215d51179cad,0.0020739716557207%,More than 3 tx using LZ,
0x5629e37d0fb4cb68c42c2e125d2227aab0e1b244,0.0020739716557207%,More than 3 tx using LZ,
0x9beaca4cf2a517c6914d571706eaf4601a5bcf71,0.0020739716557207%,More than 3 tx using LZ,
0x744a3be37446576e9bc95966a170e65a32cf40c0,0.0020739716557207%,More than 3 tx using LZ,
0xc84c0f515db41d4a5fbec17f9056ae00a0a55665,0.0020739716557207%,More than 3 tx using LZ,
