Address,Allocation %,Type ,Sum
0x2E593087CffeD0dc5b651eCecacF3c66a9530000,10.000000000%,Developer,99.9894%
0x645ddDcf657545795D473290Aa2035aD2daaF177,0.127148213%,oNFT minters,
0xC0f1b6aB562795E531c1C0ea51B78Be5881AFF2b,0.109997989%,oNFT minters,
0xB7e875F5d7D4F0D2e9B7778B021a86348BB39D18,0.070966445%,oNFT minters,
0xE853d8F7930867694da7C54457529Ff18b2B954E,0.059138704%,oNFT minters,
0xf8469F47b928E726629FACdBB547B61E93Fa06B4,0.059138704%,oNFT minters,
0x43871eC3FaC42A1Cc90cDb111Bb392144aFB0E8b,0.057955930%,oNFT minters,
0xfdB7F6Cd26cdb2d9B9553Db3E148411E87055FCE,0.053816221%,oNFT minters,
0xcA8F212c295cF6aCC0CeC0c9826542e583114427,0.056773156%,oNFT minters,
0x6BF6717ADAdb6C313F954522db9A581F494a233f,0.054407608%,oNFT minters,
0x7Ce9caD3C5e01D5D6A7D57BDb574585c83f74Ec4,0.040805706%,oNFT minters,
0xD6A11A700a96Bcc99CD0026562B11B03383043C0,0.050267898%,oNFT minters,
0xb165C361E916698314A4eC056cB339B55e05cd45,0.047310963%,oNFT minters,
0xe0735afbfa516e199cf6AFF16965cAFc2Dc22E66,0.040214319%,oNFT minters,
0xD5985EbF0af79b45b1aC1e59Ec4c0054aF02B39b,0.037257383%,oNFT minters,
0xc3BA7C7B3171473D931e353eB034f72943167CB1,0.036665996%,oNFT minters,
0x747762b1eA89Eb9Bf89b30f98d96E56697B8d72D,0.027203804%,oNFT minters,
0x4Cb369361508B2899Ba41fbD26be26c9D9c2B911,0.035483222%,oNFT minters,
0x54A9e43C2e9e482b6905744bD60DDef50fd130CA,0.035483222%,oNFT minters,
0x50148d607e097aF27038f3bE2D80019dEbe5f2a9,0.031343513%,oNFT minters,
0x3582FE976AB314D006f36B863c315Db52C66ae21,0.034891835%,oNFT minters,
0x84aBC0096746b959759a00f22a6a6255516096Ee,0.035483222%,oNFT minters,
0xaF16Ef9E4D9c04dF07bFE4e6746d88ed831F0D2A,0.020698546%,oNFT minters,
