Address,Allocation % ,Type ,SumCheck 
0x0a9eEddaa65546Ad35D3F0Ac9E6F09575E4C9297,10.000000000000000000%,dev address,100.00%
0x743A87328003E3ef168f361eB442b841214d32a7,4.534733233611040000%,staker,
0x91697beb0F8a061a1c7b1842A4A0b57dEcc5BD1d,3.521275775313010000%,staker,
0x60BCDb4c8C07033d99e71dbe29235848F750F321,2.652855447843950000%,staker,
0x05cEB20f181B67969C311D882A9DBE2BD17e45ac,2.557138963994380000%,staker,
0x7eb520927aeC1D02a463eE644a73ff99DBf293f1,2.499707902579210000%,staker,
0x3BDDE7d9f8B3CC3583A41b5e12244924B371e17F,2.181994276354920000%,staker,
0xd75aeDcD10035c9c949d2A39715D4CE3D5C8f5bC,1.741355596438200000%,staker,
0x3565E49740735bd82C2fB069b77FdADDb8F25aE3,1.497432694956820000%,staker,
0xd18Fa708E5656DE58D7E58990d69E48D0309F799,1.436124409373470000%,staker,
0x6df49AedFFa9A6da9D3AFF2b5e754DB872824F13,1.418195892761440000%,staker,
0x82e4D78C6c62D461251fA5A1D4Deb9F0fE378E30,1.302969994186280000%,staker,
0xe29f5ad2A33c76CCACa2d2e3226fF80085cE4573,1.294396547291410000%,staker,
0x9f960a577dDe09EDcd72544866Deb29A2Ca58C36,0.957531857022622000%,staker,
0xa59C46c50C80c92421523136591949875bFA0398,0.929063418179063000%,staker,
0xED1276206Cf74aaa87Ae783eb712001BfC2Df6F1,0.792916352393568000%,staker,
0x0cE8eb5467c77C3eec9E4C941103E0E874cE5261,0.743047762047505000%,staker,
0x5f3087dBD4ddbF1ccE72f7a8fB74C07e89fF3B8c,0.705015662780746000%,staker,
0xF8606fE429c6613e4cd242d6AdF445a510720542,0.580629680476028000%,staker,
0xAe03E4F9f917056907e85511EA1e4568613Ae7be,0.536007414385403000%,staker,
0x669ead6B7981a6e11c02d8204E53CE6F8CaE1213,0.531173716663969000%,staker,
0x322d16ED932CC047239389450BA4684De6C0DC74,0.526887640798531000%,staker,
0x432225ce557883A3a2349357cC54948db4B3f0C9,0.510682198907780000%,staker,
