Address,Allocation %,Type,Sum
0xeC36dF3F0Fe20317d83425B0C34534350E84eC4E,10.0000000%,Developer,100.00%
0x777336ae2cef9ddc261a61a97cbfb4e0aa7d1329,8.1246450%,lzBridger,
0x4444682b8892bb1d42dea9329c3b620667f603e8,2.8742150%,lzBridger,
0xca1c7c3e87c4c0b78a0f73eebc14d9e2314e014d,2.5754150%,lzBridger,
0x2efe05b6670f30ddda94f24bb89adb709a238404,2.2054650%,lzBridger,
0x1f84833dcb4e7421fe691cb64369580c1e48b287,2.1343200%,lzBridger,
0xdbbce16edee36909115d374a886ae0cd6be56eb6,1.4797950%,lzBridger,
0x8d6f070e5e3f73758426007da680324c10c2869c,1.1952200%,lzBridger,
0x6ae098a5035a885a1e564fc859093fd67fa5e603,1.0244750%,lzBridger,
0x816262c84dfa7c2f7ec798c9ec8669a67934f5e2,0.9391000%,lzBridger,
0xcbbfece866a198f01ebd93b4ebe2d674542bec7c,0.8964150%,lzBridger,
0xca74f404e0c7bfa35b13b511097df966d5a65597,0.7825850%,lzBridger,
0x210671a6ca1f91c4661749f3401d5aa64aab8837,0.7541250%,lzBridger,
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0.7399000%,lzBridger,
0xec01db636d038db9b9d1d77106b02209220717a3,0.6972100%,lzBridger,
0xdd9333e6f4385864fc35b9aff3d4f1936048e31b,0.6545250%,lzBridger,
0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,0.5976100%,lzBridger,
0xf15e603e71325526e995634adb15ed61f41db564,0.5833800%,lzBridger,
0xb758b6576221a7504a7211307092c23d3ee191c9,0.4980100%,lzBridger,
0x47fc9d7751806339d820e1c26cf0badb04363196,0.4553200%,lzBridger,
0x4ffcf72097a3ac77c11cd1c6ee7131a3c431a918,0.4553200%,lzBridger,
0xaed1d264d85e80bfcc0b57cea203304eaf1b2f48,0.3984050%,lzBridger,
0x329cfe850ff4cf637aa2353ef2d3672156e54d6c,0.3699500%,lzBridger,
0x0e3e522d6c1c9fa7db8c4ee02bfe6c9d9ffbd62b,0.3699500%,lzBridger,
0x15065100b0ff6bd2d157dfd0f2d133867fb173d2,0.3130350%,lzBridger,
