Address,Allocation %,Type,Sum
0xd57dE2Fe6531a55Ab609B5C7d33A099ad7670F5f,10.000000%,Developer,100.018000%
0x20ca6c34be78db32e85e7612f39c661240916680,17.784000%,vXNF holders,
0x4cd2050eeb6f2c47ca6a0deaa53f89ba587f2617,13.338000%,vXNF holders,
0x5acd29efdac786d4f5d9797158e42d2574f0d76e,7.326000%,vXNF holders,
0x35ac1f329aefdf3ddb5166194738c20d594c7098,5.490000%,vXNF holders,
0x043ea8ff33d420f72a66b493e11d3dfff062a7d9,4.365000%,vXNF holders,
0x362ac45cfcb7970876ebe9c40358448c16dbcafc,3.987000%,vXNF holders,
0x8ccccd1c1cabdbf71e16218046bf7238b5ea9274,3.690000%,vXNF holders,
0x074bd14e20031423c4c9b2f2103774688082a40c,3.600000%,vXNF holders,
0x9741ec12f68bdb45e40bc48127c5f0b0dcfe3b09,3.375000%,vXNF holders,
0xa66911f56c40050b977cf704e755d0bedba2cbf7,1.926000%,vXNF holders,
0x4de695fa17a79da1fdf9532a6171a0ad531dabe3,1.908000%,vXNF holders,
0x65477856cc8533209d27910eb9076de5c8ece2d4,1.872000%,vXNF holders,
0xfb1691194412181ef2202fbe37c2f80ce1c58d8d,1.773000%,vXNF holders,
0xf26e3e347267c9b66c6c41b6979d0cb5dfba117f,1.458000%,vXNF holders,
0xa6738dcd119727807486b982866b7dbb646143cc,1.323000%,vXNF holders,
0x9b06aa2c42e0b382d58fe792d2c055449c3dc73c,1.314000%,vXNF holders,
0x1b69c4a788ad8f940e624341ab45c731d01190de,1.305000%,vXNF holders,
0x550ce3fd8d9da35024cdbfe53c3d0bb9a5991c4e,1.233000%,vXNF holders,
0xffc83181b90a9abf18eb9a00b87a2a004ed6c805,1.224000%,vXNF holders,
0x6df27818ff544ab91f32582e1541292863f770fa,1.080000%,vXNF holders,
0x009f418edf1352a72d4116dfdc5c5b7ce7648448,0.900000%,vXNF holders,
0x14c1efb1aa5fd4853789b0e7ff86ea9b05824d4a,0.837000%,vXNF holders,
0xc160122068707ecefe584ef7caa35d241d51598a,0.711000%,vXNF holders,
0xd85b90b9397258123060a59bddabe426f9ab08bd,0.702000%,vXNF holders,
0x6582b7c80df319553a988f62436b8a1be6b2b24c,0.675000%,vXNF holders,
0x1e3918daad8663accb994e80e2ef5b3343e33088,0.657000%,vXNF holders,
0xc6f3631d270e4a5f9e2f179fd5eb6a7694eef746,0.657000%,vXNF holders,
0x935c4b166d90c1e4dd1f00b1fd0d3864703adbdf,0.567000%,vXNF holders,
0xbbcc221e21819cc1cc0591aa4ae22ef43bf25a30,0.486000%,vXNF holders,
0x5b57560c0fcde976be9b553340961eef2f9eb880,0.414000%,vXNF holders,
0x92c01d93ecb0e8cf8f543cb1ae5e40509880a41d,0.396000%,vXNF holders,
0xd668e19b0f4d6f0aeb9a4770d8d998ca181f0ddf,0.360000%,vXNF holders,
0x3eac690ce48c3f7bc90e63be4dd1a600cafb0b4d,0.270000%,vXNF holders,
0x7399426aa418144e99ad2004e442842209e20c9c,0.270000%,vXNF holders,
0x5ad3d537b675d0020a47f9b8861e581bb57b942b,0.261000%,vXNF holders,
0x29be426729c3a6eac6808024d719c6e793ea6f95,0.261000%,vXNF holders,
0x8599a6cab9617ffb12e6f11ad119caee7323a2c4,0.243000%,vXNF holders,
0x54b0866be0839599a797109c8a01bc0838621df8,0.207000%,vXNF holders,
0xff188baff25ab1876c7356730d9913b9783df033,0.207000%,vXNF holders,
0x7902cea27fb48833eac52f700b0b005040b94183,0.198000%,vXNF holders,
0x3f3425823d02c815f95c6361b3173b472ea11222,0.189000%,vXNF holders,
0x4d77b0d1b474f2d5ab8429b420b2333cf33295cc,0.180000%,vXNF holders,
0x7442313c26e252f8fac06821bbdb2a32ee8c52ed,0.171000%,vXNF holders,
0xdf6a9ed807f84040f0e7d9ccd8440d031076cb00,0.171000%,vXNF holders,
0xc5182eefe35fa9cc3a53e3bd01a166e897b47dd8,0.171000%,vXNF holders,
0x4b05a0ba9161cbbd08c93c90713a982d6356d276,0.099000%,vXNF holders,
0xebe886aa06a7b9c69c79082c6addd400c1ecda25,0.081000%,vXNF holders,
0x98f1e5720f4fa80cb1172c761a442438ade87181,0.072000%,vXNF holders,
0xcbfea1dce465046363be1cec14dadabf5a9e70ce,0.045000%,vXNF holders,
0x0854096ef074647c2a0ce1c8206a3b83174b47d1,0.036000%,vXNF holders,
0x6fb819aaf0bcfdc537b3ba801c8067e417cec266,0.027000%,vXNF holders,
0x6b23d6ed66426cd4aeb02107c751e87c1eb1146d,0.027000%,vXNF holders,
0x145697bbaf5f3343ed69ff011a5a49f9cf38b10d,0.018000%,vXNF holders,
0xd4883eea1b6cb8d43b4828ebc5f03954f3f03dd3,0.018000%,vXNF holders,
0x29ffe212ab910e3b0ccb159885f2321da604dfcd,0.018000%,vXNF holders,
0x5cf6a463680d033a7758172d8dfb0b97881d819f,0.018000%,vXNF holders,
0xcc9fccc16dc95a9c68eaa6d759513c915134547a,0.009000%,vXNF holders,
0xc3755c50ef8f5408fd8f22be53743ecff2d2b444,0.009000%,vXNF holders,
0xffbebdc630c35d1b1386c491bcbb7b2db0ff5f57,0.009000%,vXNF holders,
0x9dc6871f1c1f76d96b1d81ff4ddc381861033b89,0.000000%,vXNF holders,
0x3ed69d71e6c11a5e37f3bb9f756212b6c77c4676,0.000000%,vXNF holders,
