Address,Allocation %,Type ,Sum
0x3a20fdfcb1e7f8b940032953ff65b97147673b23,10.0000000000000000%,Developer,100.00%
0x40d8b2848e853639f374fb6e2d71413b96ee1ec7,0.0075216246709289%,Land NFT holders,
0xb98d0f9bdcc9a286095d4a22a68f563f1b3f647e,0.0075216246709289%,Land NFT holders,
0xec791567fede6feed862b788e207c52df3b7c96c,0.0075216246709289%,Land NFT holders,
0x57f5f64eaf57e39a33e7befb47d705d26297049b,0.0075216246709289%,Land NFT holders,
0x2cf202652879e550281ae59eebafa98b1891d097,0.0075216246709289%,Land NFT holders,
0x4f21f361fa16a6ff963337216873348c372999f6,0.0075216246709289%,Land NFT holders,
0x21ee33639f501a3c0f9a77571a8f5e814eb0607a,0.0075216246709289%,Land NFT holders,
0x6f5c809af9674ddd8e0392d748419baca7a8e965,0.0075216246709289%,Land NFT holders,
0x9409c4eafac3f003790b5d32f5704a544b890998,0.0075216246709289%,Land NFT holders,
0x09e30c04f8e6d769b34438b58d5ed85356e7685b,0.0075216246709289%,Land NFT holders,
0x2a22438fe02d8b29c8c77d8b06d70c509e50caf9,0.0075216246709289%,Land NFT holders,
0xaa099724bb47661d01a5a4cace4b5575d8cc0841,0.0075216246709289%,Land NFT holders,
0x9bab7d41a6bb80a08b9c2beb867b54979593c3fa,0.0075216246709289%,Land NFT holders,
0xccddd8403bf28ccdedce93c1985032281670cf48,0.0075216246709289%,Land NFT holders,
0xba7db20b73faa3383da6ddc9331ab0c0c6a91e61,0.0075216246709289%,Land NFT holders,
0x9381dc79760eabff5cb76a810dd468fc8f6c7ca2,0.0075216246709289%,Land NFT holders,
0x09eb46903fb9d92e8c33c0ea78030e322161b232,0.0075216246709289%,Land NFT holders,
0x03cad5e10658b6e4c579aca5f873b817054bcd96,0.0075216246709289%,Land NFT holders,
0x3da2995d8fad9b8889a334ff136dc0364c71ac1b,0.0075216246709289%,Land NFT holders,
0xb20d22ddbd102766d009482b8169e1e6fc625b77,0.0075216246709289%,Land NFT holders,
0x9a9e89878056136cd7c44c88af06b79d336778e3,0.0075216246709289%,Land NFT holders,
0x4af7c4e284dd260863dbdacc66e864fb9e8fc555,0.0075216246709289%,Land NFT holders,
0xdaca3a003c8dd0562534e1864afc12aa009d2d15,0.0075216246709289%,Land NFT holders,
0xdeb7d69db97d23c2229a558fc06a3006dae58f47,0.0075216246709289%,Land NFT holders,
0x23d73b753b68b8e5b0d36655d20291dd256a9a0c,0.0075216246709289%,Land NFT holders,
0x667f76df38e4789d88310b6cfbb9230d969b0604,0.0075216246709289%,Land NFT holders,
0x8fbc6ca9ae09301a70b1ffd31c30dba8d3da25e9,0.0075216246709289%,Land NFT holders,
0x112fd53f366a4c325a70a03e7e551902906b9e25,0.0075216246709289%,Land NFT holders,
0xcd1c3abaf4dfff7e1ab4ec0b19b113b120cefbd4,0.0075216246709289%,Land NFT holders,
0xe5baf63779cdfc4259f74b5d7a70bd957f37410e,0.0075216246709289%,Land NFT holders,
0x5060d1c09d57dd2e601fc66a6d4d13925bfff961,0.0075216246709289%,Land NFT holders,
0x8d68548f8fe702408f39fa1e9abadada4a8315b5,0.0075216246709289%,Land NFT holders,
0x4784b0e99573f2c361e21624f2460e2cc6a04a71,0.0075216246709289%,Land NFT holders,
0x6e970691fb2c904dbab8bdefbab268345a307137,0.0075216246709289%,Land NFT holders,
0x0bb6ef9896bc4b497988f4b67532379342295c44,0.0075216246709289%,Land NFT holders,
0x2fa6bb4e6cf9dd955604f79460c28d159898123d,0.0075216246709289%,Land NFT holders,
0x293b576e199e03c55be7c84b0f8b31de402f97b4,0.0075216246709289%,Land NFT holders,
0xa9b6b02167d249805d0d320a23bd52285bd349f7,0.0075216246709289%,Land NFT holders,
0x9b5dc7d77126f6ac7a6d66f06c1cd8b97b607c9f,0.0075216246709289%,Land NFT holders,
0x1a5ded802e619c6211110fa7c6005889c8e79b55,0.0075216246709289%,Land NFT holders,
0x97d50bd22945fb501178d9a8d7ad18c095fc3e20,0.0075216246709289%,Land NFT holders,
0x72307553680396252e65e567d3d9283bb6f18b73,0.0075216246709289%,Land NFT holders,
0x014aa693be7837a3c0faf8cc9885ab28fa49a52b,0.0075216246709289%,Land NFT holders,
0x16d4a8cde145faabaa59a8a4a43a46be2a58116a,0.0075216246709289%,Land NFT holders,
0xa92d1755c284638eaf31b62df7c0e9c4df46e26b,0.0075216246709289%,Land NFT holders,
0xdbd7e3ec54162febf54938a66828971e89ddcd07,0.0075216246709289%,Land NFT holders,
0x7a819e34a6f3d5fbc3f3a1f2f99882cf0e995e81,0.0075216246709289%,Land NFT holders,
0x7818eccf650d48c6b9f5271945dde5b57b369f5f,0.0075216246709289%,Land NFT holders,
0x29fa19cac407b0a1a83f4593e9ee96ae7be4896f,0.0075216246709289%,Land NFT holders,
0xa8f1737be78e8bb95e05e5e2314cdd5a97a4ec54,0.0075216246709289%,Land NFT holders,
0x3a20fdfcb1e7f8b940032953ff65b97147673b23,0.0075216246709289%,Land NFT holders,
0xf4f4c1ef7eb916c7f929d2bf739c899e6f52716a,0.0075216246709289%,Land NFT holders,
0x46be56c9d5fddae74bf426b46ccaf9d9edc751d9,0.0075216246709289%,Land NFT holders,
0xa8c755149503b2ea33a2273000568d2b13bf41a7,0.0075216246709289%,Land NFT holders,
0x473eafd3d945d19f7a7af81bbeaabad47bf1c843,0.0075216246709289%,Land NFT holders,
0x86d8522ab51bd0f3a70ef166398b577a2f8d3322,0.0075216246709289%,Land NFT holders,
0x742550776754fe1fc72ddbc22cfa8b6f498bc6f5,0.0075216246709289%,Land NFT holders,
0x706b2484665434141353902df732c9a050c3079f,0.0075216246709289%,Land NFT holders,
0xfe61ae52a0b4c5db6812265931cc148079535cb7,0.0075216246709289%,Land NFT holders,
0xe430bb7da02aef0ce745911a931551fff08157ce,0.0075216246709289%,Land NFT holders,
0xe2523c412e2dc5f55ea5cf501c0321ced4db5fa7,0.0075216246709289%,Land NFT holders,
0x6c0bc012019a0b307ca591647171874f3228972f,0.0075216246709289%,Land NFT holders,
0xcb81d5b7ae238c5a1441a271aa3debb6b5c4f857,0.0075216246709289%,Land NFT holders,
0xa77797a13930864d35cd7c53d0830aa775bb181b,0.0075216246709289%,Land NFT holders,
0xf4bc50a0ce54f6ee3dd50aeec743575eb0a8fac5,0.0075216246709289%,Land NFT holders,
0x8eef779818afa953b0652e45438423ebe089f55a,0.0075216246709289%,Land NFT holders,
0x154edf183586c5f5beea009cf4b0761015a309f3,0.0075216246709289%,Land NFT holders,
