Address,Allocation %,Type,Sum
0xdcedf06fd33e1d7b6eb4b309f779a0e9d3172e44,10.0000000000000000000%,Developer,100.00%
0x34fc4134dc4956955164d8f7ec08d0f78955ac00,15.9877795941284000000%,Bridger & Voter & Token Holder,
0x93dd5d77e20844fcfd3e7a57542205241de302d0,5.2552592851419200000%,Token Holder,
0x4dabe297e1e507d316b47fa54dbc188defd07db0,4.5870838891702800000%,Bridger & Voter & Token Holder,
0x99f6181d5f192fd06c4715b8cb736996b583fd7d,4.5388452260955300000%,Token Holder,
0x8a5658c67c5a28885e8dac103b3400b186025e93,4.3741135021135800000%,Token Holder,
0xd21a12b3fb7e8c622de672e2647627393cd530d4,3.6380854692605900000%,Bridger & Token Holder,
0xb57d6e248f0cc14b90659efea2931497df3eae89,2.7363735681745200000%,Voter & Token Holder,
0x8bc60aeab709528b485c0a15c0d9f2ba03db29f2,2.6005093575784300000%,Token Holder,
0x7ed2ac5ec75f6ec6e1211217f8c99070cb41d139,2.0236574723764000000%,Token Holder,
0x0783abc1e6f1eb93b80024a056492e314d949986,2.0172876291564200000%,Bridger & Token Holder,
0x8771ac12777b4cdefefe53f259f73065f7d74518,1.9602524385599800000%,Bridger & Voter & Token Holder,
0xc4f6a96846fcc8e773158e34d166a40b3bc19898,1.8864229032003300000%,Bridger & Voter & Token Holder,
0xa80fa66f66e7eddfefa0a617b49f43dd713fd086,1.7655977281870000000%,Voter & Token Holder,
0xd328097602b9cef563a294eb940f6f9f781a2e0f,1.7587502104793300000%,Bridger & Voter & Token Holder,
0x156365f6f3f7cba66a5a93ed72d34c6e91d7e128,1.3987038347520700000%,Token Holder,
0x73f2ee05e02c972a23222e60bd08ed66dc89d7a5,1.2755572028646100000%,Token Holder,
0x96ca8e38d6774e1324bfa1e5681d2bda5c84ce6b,1.1943771102595200000%,Token Holder,
0xcf462c1b0a635173c8ba568cd011bd38d5d0ad4a,0.9779063267945480000%,Bridger & Voter & Token Holder,
0xcfed01b111deaca96d9595f9530fff2722e77e43,0.7114637789286390000%,Bridger & Voter & Token Holder,
0xfed8f7b89db158d2c092744ee73a6e8a814a9f04,0.6362909350947000000%,Token Holder,
0x7c1908d49266ba2999c41b07b0895c33821f53a9,0.5764757086118820000%,Token Holder,
0x54692cb1cb4f48db074b9fd691c2b44267194184,0.5601304231808070000%,Token Holder,
0x5bd5ac056b811ecffb80ff1800282c5b719a0095,0.5336720047718070000%,Token Holder,
0x515bf062e976fc498c09cbea649c752bb3e5bb3a,0.5322679320503550000%,Token Holder,
0x04cc7fc4183ff221f50e3b86cb6b5481e5618daa,0.4924613995026780000%,Token Holder,
0x9cbc04de5c29fd0b986fedcfd66d19f3d8d6bcf7,0.4658106273258820000%,Token Holder,
0xadbb744a9434aad006772cf76e79d246c4506d1b,0.4521991226316910000%,Token Holder,
0xb0705001a29d78777213ee4668d778fb5b48bd29,0.4273349046881990000%,Token Holder,
0x7f7d208e6b7729fcad70253919b7bbe3c302ad4f,0.3844690324164930000%,Bridger & Token Holder,
0xc47919bbf3276a416ec34ffe097de3c1d0b7f1cd,0.2969313039133120000%,Token Holder,
0x3edf64e426463c0f5798f211f6cb05662148705c,0.2960658732559650000%,Token Holder,
0x1dac32947cd796b4203f69a5a6748e6775d92800,0.2674778486060870000%,Token Holder,
0x468190a410f8453311a85c442b9455b76671323d,0.2532133306576960000%,Token Holder,
0x5d0ac389c669d6efe3ba96b9878d8156f180c539,0.2436590197762960000%,Token Holder,
0xa7b169dfb74e7d0abb3789d9d7906f86e75a9fac,0.2367167043033850000%,Token Holder,
0x53c6e02083ee6210e53fc64002bb86f8e7f043a8,0.2309734230904280000%,Token Holder,
0x3e2681e79877bdbcee74be466615d5107fe49026,0.2303132354403940000%,Token Holder,
0x44afccf712e8a097a6727b48b57c75d7a85a9b0c,0.2295232584882040000%,Token Holder,
0xf0dcc007473df783140449c6b0eb4d8d358b0182,0.2206989110987950000%,Token Holder,
0xdd168e2d873fc83842f8a5d0ff998846b341045b,0.2172494761855310000%,Token Holder,
0xef29613b1200d882d00d89ff6fd179497e50c9d4,0.2147076350394870000%,Token Holder,
0x96ea6c538f76694ed18989a44b39af868da2351a,0.2070002200852450000%,Bridger & Voter & Token Holder,
0xc0ed2b926eddd8ae4374d46e4833a77206828d99,0.1996490619368560000%,Token Holder,
0x65d5b7ab02253e546b9c26d82b46e870ab165069,0.1957610880306810000%,Voter & Token Holder,
0x594ef2480db681c1abdd1bdb049dad2c3dda2199,0.1930994855825880000%,Token Holder,
0x0de876142a642c3a704a2938fdff8bba7b3b0586,0.1912717498693680000%,Token Holder,
0xcf5efa2358e92034006eac53cd3701096029cbee,0.1802815431216800000%,Token Holder,
0x8906b2b1a2bdc52dbaf8939a7f6017fdd178ba69,0.1724659305538660000%,Token Holder,
0x883408848740ff84edcad5bbe322e83ae3e61a74,0.1683076898668100000%,Token Holder,
0x3859fc2abe68b16669658368bd6aece648e7456a,0.1535931910527280000%,Token Holder,
0xa395c12c8c1cdc021f0f13cfd6a8828e164927b9,0.1496965082250090000%,Token Holder,
0x5e262a549c5d67cda4e87f30262f3cb3ac33a1a9,0.1453312392462330000%,Token Holder,
0x1ef55d17c4285a94852f42725947c5011a111e1f,0.1395492702673020000%,Token Holder,
0xe89f89c344d1230f228bf5712492c0a50c11ef5c,0.1363013003825500000%,Token Holder,
0x685ffc187fb925aa87dc57d4abc77c2c9c6174ca,0.1361923572543160000%,Token Holder,
0xc6e0ddc2384e0865748d46921d16c58a081d3421,0.1344296453535260000%,Voter & Token Holder,
0xc4c93d09d45df1ce52053fdc0befcc49b01884ea,0.1312070045532390000%,Token Holder,
0x21f4aa076e1cf8b458884d6baaee61eb4c1d65ad,0.1293389844502600000%,Token Holder,
0xb91092313fa0789608ca01d532ca0e9069722599,0.1279726258586940000%,Token Holder,
0x4ac13c94038d29ddccfe7d69bedd105349b2bb05,0.1272157094177500000%,Token Holder,
0x6e4a23e597e446f127175086b66309d419aebfc3,0.1256177009033960000%,Token Holder,
0x72cd006b67782434438e97bece0d3d6a04f87a1b,0.1251237182395800000%,Token Holder,
0xc03c4476fbe25138bf724fa1b95551c6e6b8fd2c,0.1234317848587860000%,Token Holder,
0x85bd4ca89d5c27c886720ee1ada8fc0ed6883b61,0.1229957365362380000%,Token Holder,
0x52fc297ce072148a99bc0d6a2d8a8d34ae0b145d,0.1226545113754040000%,Token Holder,
0xf4ba6886155d47a02066bc103b8728e722e4580f,0.1205550800292520000%,Token Holder,
0x8496d042a44abf31ee457e212d5e6a911a95a8aa,0.1174204303180070000%,Token Holder,
0x60594664d69099547c7425061c7cf10f2df771e7,0.1172794451289930000%,Voter & Token Holder,
0xbbf0cd3e88297a894098fb29ba046c7a7bda9c07,0.1151727453527760000%,Token Holder,
0x3a3cbd8556d60562d410a5cd1881e95bfcdefe62,0.1130894349619590000%,Token Holder,
0x815840bd88ed5f8a0469314c57f57e35305b947f,0.1122575878824340000%,Token Holder,
0xac9be1372ab5fc54cdf4dd2afe7a678e94706e82,0.1115630265639410000%,Token Holder,
0x0d47eeebcbf23bb57f791626b939076a00aebcbb,0.1090391872860650000%,Token Holder,
0xdb84160755d848a044939284ff9bd3fb283d4415,0.1081607534243490000%,Token Holder,
0xbce5d054d763a40eb03f04b25a9085afc8ae0150,0.1055163346996380000%,Token Holder,
0xb2389ef65a678a852af0265f89a8605b366bfb4d,0.1051844503149070000%,Token Holder,
0x130a02961a304f93ee54e14917de1f76c799d4e8,0.1047513391082820000%,Token Holder,
0x877c39fb43ba2a7a574549059c8529bd7243b1fb,0.1012593767962640000%,Token Holder,
0x06f7dc8d1b9462cef6feb13368a7e3974b097f9f,0.0988838636691124000%,Token Holder,
0x303f46c416cff8ab9f50d2953c50ca5f10c80ecc,0.0970413601671084000%,Token Holder,
0x01602440213d10820b775a9e23ec840fc8725048,0.0960335962252936000%,Token Holder,
0xf93ea91d48e3fcb4a9d710c6493b4f6bccbe4943,0.0956281036294220000%,Token Holder,
0xf513a59d0e8d0ddb9898fa544d955e3fb0ee32c3,0.0955536056442824000%,Token Holder,
0x9fa933f60bcc5e63f75f210929839f91f55b919c,0.0955501688207622000%,Token Holder,
0x7edaa243c0c0aed2f343106a12c9fa9b33d94081,0.0939725001598098000%,Token Holder,
0x03a750698ba85420c4adda6ba803a9a5068e1acf,0.0914820130309482000%,Token Holder,
0x0a96888e36cdaa408b3359262fb953c279c7ed96,0.0904478367338688000%,Token Holder,
0x2782f040a9f7462424226670869da40bf978574d,0.0900081308690999000%,Token Holder,
0x3fa110fd850c252fe9babdc801e8374784ebe886,0.0891284116141664000%,Token Holder,
0x9cd570788966c9cf34ead3799f9bd057b7153d76,0.0883281577887624000%,Voter & Token Holder,
0x5a7fd23998ce9db36f3ce67545dfbc7ef7432cc4,0.0874559886417394000%,Token Holder,
0x792b62f48bcf3cf086bc6ccf0d1227c39908c989,0.0817270046991968000%,Token Holder,
0x976922dfafea12209c15f80c70ee925e80a5a356,0.0803552286826478000%,Token Holder,
0x6901af5c36d240027eaf41c298c346e2a0493c5b,0.0797897229959116000%,Token Holder,
0x8a7190b2db6fe5e6551180ddec53ae138bb401bc,0.0779399474846348000%,Bridger & Voter & Token Holder,
0xc0b38b3f9dd7ca8de7d97f3a07a4be981b045584,0.0777587532455993000%,Token Holder,
0xafef17e03503b8cbb14d189044e2eb7e82ffc651,0.0768702446032061000%,Token Holder,
0xac124b80a7e8af2f0aca5718ad9a1e5e58355339,0.0763124833581687000%,Token Holder,
0x729250be25dc878dd400bf5bef702de77c83493e,0.0761595620637561000%,Token Holder,
0xe1488801013fb86cebb337b62e6c6c32097bf0eb,0.0760777679765247000%,Token Holder,
0x18f08ee6dd8cf73d14fb4a496b4a01aed90722cb,0.0751823015247335000%,Token Holder,
0x2a5c2b8700c5c6eb908b09f3c234e1a7fabdcde2,0.0743631125125977000%,Token Holder,
0x94a2bdcfa0736e507f786484dc7bcdf19894e9fd,0.0729750805050239000%,Token Holder,
0xa7ebcb7a9bf1e66d2594a3e900bb58e43e52d069,0.0729601813230182000%,Token Holder,
0xa3b17606b7c9097fd07bf03a28b918cc064cc0c2,0.0722479443552643000%,Token Holder,
0xcf598fc776328188ad9b3f86ec3d69c2a873b310,0.0717901730989065000%,Token Holder,
0xfb07dceb236eb33f5db42ece1bcf7e8d13d62b48,0.0702091441774925000%,Token Holder,
0xb8adee9b8efee72f374ec6c7ee5c16646fd4ec85,0.0699442719941973000%,Bridger & Token Holder,
0x21385bc5916ac6d5173e4cfba867615e85cdd316,0.0695632396935769000%,Token Holder,
0x9408285c8acf3786ce6f28928da1df050cee136d,0.0695062336743044000%,Token Holder,
0x97cdd8176084b24ae8a385d4ea9177c31ba0022b,0.0694516262351902000%,Token Holder,
0xd497e1dc3054df6e9e9a68610b4533783e9b26a6,0.0688265378326750000%,Token Holder,
0x6f32d5728ad3a817fa9511a4f3c233ed01231913,0.0687828128500566000%,Token Holder,
0x19bb9d8e2c056d693386fe457aff8e86f0d77c4a,0.0687400892577344000%,Token Holder,
0x0ec9efc8c5305978cb957c74b228d4949f5e9dd0,0.0684789103958873000%,Token Holder,
0xb95e44ed0d11d0b80cd1d2f438fdf315d5dce8b4,0.0681510407215616000%,Token Holder,
0xd9f8b987558a3c6a18c1f01397b042b76996e52e,0.0679462494978357000%,Token Holder,
0x001a9d8fc5916cf5a1c43dbca0e937006fa1412a,0.0675941076840433000%,Token Holder,
0xc043e4e07b412589435d249d42e109ee043bc924,0.0675740717722877000%,Token Holder,
