Address,Allocation % ,Type ,Sum
0x8Ac4412a766FFd6A8B4178cC9341FFe5473d1A10,10.0000000000000%,Dev,100.00%
0xAE487e1cF3A74fBC1AA157e13a41Dc0295CA8684,1.9565217391304%,Bridger,
0xD0DaDdF983fce88BeF3F10fC12280d0f0cD1208c,1.9565217391304%,Bridger,
0x697C89c4Bc5344960C26Da9517e39204186d7EfA,1.9565217391304%,Bridger,
0xC7cb454CEFD11A346C5307D4865b5bB687aaad46,1.9565217391304%,Bridger,
0x8264e9e0f4CbcBBbb3F8eCAec0A625B590Ae790e,1.9565217391304%,Bridger,
0x3b5f0D8Ed2712c400F4304DebE6F29d2e527fa94,1.9565217391304%,Bridger,
0xeBdBD504f79502fD31240457157E4005688FDDA5,1.9565217391304%,Bridger,
0xa7CaFd18dD8bc1E23203058d66f89f0f0Ee539D9,1.9565217391304%,Bridger,
0x8B97066FfE92e889bD53d4dCe2b13461b8EA7Ea2,1.9565217391304%,Bridger,
0x723D656E83C120Aa42Bfd63f59781Fc00674BDbf,1.9565217391304%,Bridger,
0x75d4bdBf6593ed463e9625694272a0FF9a6D346F,1.9565217391304%,Bridger,
0xbA8E220834c32Fac376BBfb33820C001f022d72E,1.9565217391304%,Bridger,
0x86362a4C99d900D72d787Ef1BddA38Fd318aa5E9,1.9565217391304%,Bridger,
0xAbc837FEeEb448D36173d92d9563F324bC3a273f,1.9565217391304%,Bridger,
0x63a9dbce75413036b2b778e670aabd4493aaf9f3,1.9565217391304%,Bridger,
0xeeFbdAe2b62F9A1639bCBa81A7E76e84B2C6813B,1.9565217391304%,Bridger,
0xF930b0A0500D8F53b2E7EFa4F7bCB5cc0c71067E,1.9565217391304%,Bridger,
0xbC49de68bCBD164574847A7ced47e7475179C76B,1.9565217391304%,Bridger,
0xFAF33E42372CE3E86A8c219af9Ef24Ccc35CE037,1.9565217391304%,Bridger,
0xeA310C966D3Ff5E09c65487f1763B21361Eb71eF,1.9565217391304%,Bridger,
0x4Ec89BA6558eF10b3435246de77Aa3bF8F2bA745,1.9565217391304%,Bridger,
0xfDF3243db419D83327E5986f4a32CabaC42dBF11,1.9565217391304%,Bridger,
0x6853a596D6d7264D3622546dA3B891B6fe17eb82,1.9565217391304%,Bridger,
0xAE487e1cF3A74fBC1AA157e13a41Dc0295CA8684,1.6813858695652%,Holder,
0xD0DaDdF983fce88BeF3F10fC12280d0f0cD1208c,1.6813858695652%,Holder,
0x697C89c4Bc5344960C26Da9517e39204186d7EfA,1.6813858695652%,Holder,
0xC7cb454CEFD11A346C5307D4865b5bB687aaad46,1.6813858695652%,Holder,
0x8264e9e0f4CbcBBbb3F8eCAec0A625B590Ae790e,1.6813858695652%,Holder,
0x3b5f0D8Ed2712c400F4304DebE6F29d2e527fa94,1.6813858695652%,Holder,
0xeBdBD504f79502fD31240457157E4005688FDDA5,1.6813858695652%,Holder,
0xA73dB69EA64315c44C970245C1f30A7bc765A7D0,0.7031250000000%,Holder,
0xa7CaFd18dD8bc1E23203058d66f89f0f0Ee539D9,1.6813858695652%,Holder,
0x0aa0Bc25769C52e623D09A9764e079A221BeA2a1,0.7031250000000%,Holder,
0x8B97066FfE92e889bD53d4dCe2b13461b8EA7Ea2,1.6813858695652%,Holder,
0x723D656E83C120Aa42Bfd63f59781Fc00674BDbf,1.6813858695652%,Holder,
0x75d4bdBf6593ed463e9625694272a0FF9a6D346F,1.6813858695652%,Holder,
0xbA8E220834c32Fac376BBfb33820C001f022d72E,1.6813858695652%,Holder,
0x91f3ACF393dE794E7291FBF36DFc408Da617cfF0,0.7031250000000%,Holder,
0x86362a4C99d900D72d787Ef1BddA38Fd318aa5E9,1.6813858695652%,Holder,
0xAbc837FEeEb448D36173d92d9563F324bC3a273f,1.6813858695652%,Holder,
0xeA310C966D3Ff5E09c65487f1763B21361Eb71eF,0.7031250000000%,Holder,
0x63a9dbce75413036b2b778e670aabd4493aaf9f3,2.3845108695652%,Holder,
0xeeFbdAe2b62F9A1639bCBa81A7E76e84B2C6813B,1.6813858695652%,Holder,
0xF930b0A0500D8F53b2E7EFa4F7bCB5cc0c71067E,1.6813858695652%,Holder,
0xbC49de68bCBD164574847A7ced47e7475179C76B,3.0876358695652%,Holder,
0x212581F9295A987BA85Ab2d0e2E68282EB63b67e,0.7031250000000%,Holder,
0x1b7df0Efb5B552a3f87E85710E4580C84355991A,0.7031250000000%,Holder,
0xFAF33E42372CE3E86A8c219af9Ef24Ccc35CE037,1.6813858695652%,Holder,
0xeA310C966D3Ff5E09c65487f1763B21361Eb71eF,1.6813858695652%,Holder,
0x4Ec89BA6558eF10b3435246de77Aa3bF8F2bA745,1.6813858695652%,Holder,
0xfDF3243db419D83327E5986f4a32CabaC42dBF11,1.6813858695652%,Holder,
0x6853a596D6d7264D3622546dA3B891B6fe17eb82,1.6813858695652%,Holder,
