Address,Allocation %,Type,Sum
0x3D64e2c929ED2940E27179F8c10b40DE6752Da48,10%,Developer,100.00%
0x455774100396ddde432397e4c4e6fd4ec5297395,4.167%,ZKitty NFT holders,
0xc9ce7f2201f654ca9311bc09e342455378439ee7,3.078%,ZKitty NFT holders,
0xccff3281b7bad3a2b8ea3b4565165bb06dc0e64a,3.078%,ZKitty NFT holders,
0xc551d45680a1dd44389a23f4f53f498b783828dd,2.889%,ZKitty NFT holders,
0x424824d93ddd89b0bbacf798e5ba39f43d8b13fb,2.808%,ZKitty NFT holders,
0x58c3218ea636e8bdcb053b522cc1ca3f2ca58ede,2.421%,ZKitty NFT holders,
0xc15c305ebd7f05d1f48a570eb0c21f4e5d455844,3.429%,ZKitty NFT holders,
0xaa61e233f4023e458ee4ee6ea9b27994c81beaff,1.35%,ZKitty NFT holders,
0x98986695d323429ee54a97512b0bd2d4120476f9,1.197%,ZKitty NFT holders,
0x2eec3f0291939002fc1ff4ae8b9f3b3681b1515b,1.152%,ZKitty NFT holders,
0x63fb4e56a7f75af12b292d223d90be492f5172d2,1.152%,ZKitty NFT holders,
0x71c71e84e93fe49d521729e144218d7109dcb855,1.152%,ZKitty NFT holders,
0x823267c0034b9682f6051aa05e19aebf679e04e6,1.152%,ZKitty NFT holders,
0x8d0a2dfd7b5a34a23a482a5c22f3da2b6dca3d2a,1.152%,ZKitty NFT holders,
0xa78adedd856c09db6ed0ba0af51c1223af808127,1.152%,ZKitty NFT holders,
0xc68a214e4bc9f00bd7e72decdfcd04e9649d30df,1.152%,ZKitty NFT holders,
0xeeb81ebc4b107b48357de97b251156b32a1b4780,1.152%,ZKitty NFT holders,
0x5e6445c92ebb820535c235548e44bf248a0b5f49,1.035%,ZKitty NFT holders,
0x2fbdd6f457ce8a027b581197843e5f60266d2542,0.774%,ZKitty NFT holders,
0x3b9a7b8c9eab4c3de6bde9eb4b4097ded32a73fc,0.774%,ZKitty NFT holders,
0x8de0c161b80355d074a80e89bdf83f8e200d8664,0.774%,ZKitty NFT holders,
0xa8da5912db11c6caa2762473f0b5d3dba6aff992,0.774%,ZKitty NFT holders,
0xde6166f72f7d141462001bb6424b1d262b6bb152,0.774%,ZKitty NFT holders,
0x512fd83cd7f16ef27f40e3446fc07da5fbd85e65,0.729%,ZKitty NFT holders,
0xbabda1468f2218ea73342c1b0f3ed9774b8ce031,0.657%,ZKitty NFT holders,
0x28d27a79ceb3dccd6aa96aa5d4bce4730454c555,0.576%,ZKitty NFT holders,
0x3180c0a2517b078b7598d57f0efbc2bda26b7577,0.576%,ZKitty NFT holders,
0x74a5bc35f9651287c5c3c2c0ebfb86b01db23501,0.576%,ZKitty NFT holders,
0xa69567aeea572e548e840fa3c7bb02f3f6d49924,0.576%,ZKitty NFT holders,
0xcf34ebc75e9ed1fc228c6c945adc7cad39474e19,0.576%,ZKitty NFT holders,
0xe727eca2626c9e8bf247c9a29d3e745406adb9cf,0.576%,ZKitty NFT holders,
0x1baf6999da4d0537b391f1f9ce85e2b7c6b40f00,0.54%,ZKitty NFT holders,
0xfeeabe192ee56ca4c0d9b54da702b8258c0cd817,0.504%,ZKitty NFT holders,
