Address,Allocation %,Type,Sum
0xbaf6b7ea2b1f4b42ac52095e95dacaa982f9ffcb,10.0000%,Dev,100.00%
0xdf2f595541307c31f879a17e7c0bbeaca6375634,0.0039%,User,
0x2c5273015b688cc8903d694e65984ebd7628b09b,0.0039%,User,
0x424ca2ac3d4b3a85979b02ac4ed4ace51a6f5f6c,0.0039%,User,
0xb0555a0f25fa35f9bb80d519c36be9e9ff45ac07,0.0039%,User,
0x48db62ec018aad7dd93a83d2f114c34a6d85b2b9,0.0039%,User,
0x4bcd0c86a5931aa9dcb3e623ae2c92c1901d7802,0.0039%,User,
0x325b17051b9e75121e6c9a3d14c6d17933f6dc5f,0.0039%,User,
0x461c7790d5eea6caa6655c06878169f6fb1ce297,0.0039%,User,
0x2a8c62ec90fa62ca29b719f2a3af88a8c4167709,0.0039%,User,
0x15a4d93aa39e226edcde0dff9879a2f98d79fcb1,0.0039%,User,
0x06c1758a10554bb543313efdc0efd7fa5be2d767,0.0039%,User,
0x1763154a0bbf46a780a6a028714d4c5cc869cf48,0.0039%,User,
0x5f181f5d2be5a49c17bd888278c0ec20714cc597,0.0039%,User,
0x9cb48443eb720d2aab196e1a306d213959e8d406,0.0039%,User,
0x23907bafd8b50aa368e9dd6b4ff48db0ea29a6b2,0.0039%,User,
0x59dac89c104483f453956971532079e21e724a96,0.0039%,User,
0x80cb24344ed2b7cbd2bfb4e249d49618bc7e0557,0.0039%,User,
0xccd69546e7c126a647e94bcea8bfe3cd268c7309,0.0039%,User,
0x7bd22e249da2ca7ade53434fe8e5b73b685d7a60,0.0039%,User,
0x3e3bb7d95f6331f2985d541d9d3511cf57b85ecf,0.0039%,User,
0x6a2db5ec9ff1c2a8fa395502cf47b8da9a7fddba,0.0039%,User,
0xc45691d0592cd81e1102b4a02ae8bd4dd478acb2,0.0039%,User,
0xbfacab2c0e64e5bfabae440cca995ae98aa93a3e,0.0039%,User,
0xd22e526402faf5c9d3502e5e2ba66f3de72e8951,0.0039%,User,
0x375b36fd21324236634708d17be69ce347ad2d6c,0.0039%,User,
0x4555f5b2acdf6dd2adf22c581d74ffbca18da4f1,0.0039%,User,
