Address,Allocation %,Type,Sum
0xFF488e57deA73DD92f191A4EbbA99434474B8c8C,10.0000000000000000%,Developer,100.00%
0x886478D3cf9581B624CB35b5446693Fc8A58B787,0.0393894633185623%,ZkPengz Holders,
0x6eCFA3ba9deFA7a6Af821853cBd8040E6F380110,0.0393894633185623%,ZkPengz Holders,
0xFF488e57deA73DD92f191A4EbbA99434474B8c8C,0.0393894633185623%,ZkPengz Holders,
0x4975BfB3C89529efbe778BD192a941d3d42ebe59,0.0393894633185623%,ZkPengz Holders,
0xBB4a7c9572284257C9E41aecBb96f9D542210c90,0.0393894633185623%,ZkPengz Holders,
0x14519EEBF9ed8c6Dc9F32044015fD0820b1FBb91,0.0393894633185623%,ZkPengz Holders,
0x64F21f99296cf5471F9Cb81138D1f0B16542D286,0.0393894633185623%,ZkPengz Holders,
0xC466FC172fBCc4826Db7e2b58Abd4683995bd164,0.0393894633185623%,ZkPengz Holders,
0xB53F7DcED0b64c32B952A4b8FCce6e7137dAcDbA,0.0393894633185623%,ZkPengz Holders,
0x507e4E805Be028F151Fba0c5d11248D17d25bB5B,0.0393894633185623%,ZkPengz Holders,
0x0029Ab135b5Be72168BF80F140D60a9264dbD0C5,0.0393894633185623%,ZkPengz Holders,
0x26e6d98a3Ef209c80867d5cbbCE34e9abbdb8326,0.0393894633185623%,ZkPengz Holders,
0x980A7eF493F5D45Fd3Aa02552c518aD2f1C35e87,0.0393894633185623%,ZkPengz Holders,
0x60E315D6Bd9e82370A609cA9D3F5A09E4Ffb82E0,0.0393894633185623%,ZkPengz Holders,
0x1eEC157d6814eA7e13204e9AF208c159fdFbc43d,0.0393894633185623%,ZkPengz Holders,
0x62365E0af7b6A188D063825AFa3399Ba0b5AA7Cd,0.0393894633185623%,ZkPengz Holders,
0x49f11D244883adCA303EB6D2AD44B741A68426bE,0.0393894633185623%,ZkPengz Holders,
0x2c605C69900B18C82De848B9B650A14BCCEBe658,0.0393894633185623%,ZkPengz Holders,
0x7ea1a45f0657D2Dbd77839a916AB83112bdB5590,0.0393894633185623%,ZkPengz Holders,
0xaa8fF39Efb40A7A626Fe16c561E860d3f11Fd332,0.0393894633185623%,ZkPengz Holders,
0x999f2950f75Ab92a67Fad6aD49e1aCD81F708B9A,0.0393894633185623%,ZkPengz Holders,
0xA8ce8b512de9Bcbc60Bd770A3588D653Cb0eC7C7,0.0393894633185623%,ZkPengz Holders,
0x704c8c855765b4C053Cc2dC02B3f318CAF2aB732,0.0393894633185623%,ZkPengz Holders,
0xdd3Df378dd14334351Ba245cD0398f7cFe813540,0.0393894633185623%,ZkPengz Holders,
0x0B6dFFbFdE0E60DDFDcFC2fE0F10Dc37A65863B6,0.0393894633185623%,ZkPengz Holders,
0xfD4F256e0410DEa6516889A3aC9DfF81a766361a,0.0393894633185623%,ZkPengz Holders,
0x439b1C50414308e84dfb787DD453C846D26b2De4,0.0393894633185623%,ZkPengz Holders,
0x271c6f480Aeb26672B915A7b33159cE8f1e97fd3,0.0393894633185623%,ZkPengz Holders,
0xf3D476566BCC8E882A3910F1471428522449d89E,0.0393894633185623%,ZkPengz Holders,
0x3CED497eDd7e70a535A26750EC7F9b1f793C84d9,0.0393894633185623%,ZkPengz Holders,
0x211ba51Cf5335E5bfbeEb104C6e90FD221724BEF,0.0393894633185623%,ZkPengz Holders,
0x766244cb75D011c1f9aFBdb3284970a81F2E88cd,0.0393894633185623%,ZkPengz Holders,
0x131Ca44AAeBF2e9F4DF3708f25733e64852576F9,0.0393894633185623%,ZkPengz Holders,
0xEC1Ea20E9779504035eBD7eb41dad366281298D1,0.0393894633185623%,ZkPengz Holders,
0xb77771e01Bcb358f9468Df78ddCb9f0Cb062A772,0.0393894633185623%,ZkPengz Holders,
0xe9a329b488aF9ac7a35DE32038e6F3B99c23928D,0.0393894633185623%,ZkPengz Holders,
0xf286E07ED6889658A3285C05C4f736963cF41456,0.0393894633185623%,ZkPengz Holders,
0x8776d9C1aAE452c32256F0709C9B9cfA3A1f9b07,0.0393894633185623%,ZkPengz Holders,
0x5B7Eb06Ad63A60A6c9e312F2C2c044A36366f401,0.0393894633185623%,ZkPengz Holders,
0xFd3EA51F6e940DE5EcB64C07c480fb6FE0a264F5,0.0393894633185623%,ZkPengz Holders,
0xfEf4F66B0Ab5af3f3BdAC059D13De286ABDc1000,0.0393894633185623%,ZkPengz Holders,
0x1D6F0cab88E9D9870Ab6CCaf58E64F862cbC34Ec,0.0393894633185623%,ZkPengz Holders,
0xf3f614211F238fa64227930f4b16629c2D8C02bc,0.0393894633185623%,ZkPengz Holders,
0x22EDd44B31F8c4d83f56AdB1693972A10F498D3C,0.0393894633185623%,ZkPengz Holders,
0xa2019fECdc83C0fE37D0ed8b3BC0dF6b8373602b,0.0393894633185623%,ZkPengz Holders,
0x49701c01ba9D687326a318aC6E283E9712d93645,0.0393894633185623%,ZkPengz Holders,
0x270E171dC5a7A0f19cc4c0Bc5ad7a0eEB5B8147D,0.0393894633185623%,ZkPengz Holders,
0x6E257f3F1ECD850b8A0143b7d5aaF47bC2110643,0.0393894633185623%,ZkPengz Holders,
0x969Bb8Ae65602B4F8f9B459a11084e591c4491C7,0.0393894633185623%,ZkPengz Holders,
0xA613280345DBf645B8C3eD39a56c810668Fd9301,0.0393894633185623%,ZkPengz Holders,
0x7090E87630B772076f6551c0aDbC6fcE4143FF9F,0.0393894633185623%,ZkPengz Holders,
0x2DaD4dC75026FF639142af8Ad30799575Ec98ab3,0.0393894633185623%,ZkPengz Holders,
0x996C63b339530C309305A1870A18f2C8D83095b7,0.0393894633185623%,ZkPengz Holders,
0x2e80D672d281c61566718b097B752872C90A4222,0.0393894633185623%,ZkPengz Holders,
0xF2a7594190D0A719F43bB79F90A45414282E0261,0.0393894633185623%,ZkPengz Holders,
0xa1f72B4a096BAb04c40461917900E947172365FB,0.0393894633185623%,ZkPengz Holders,
0x99845d640C8eDa2374a14193CC4f81Bc513Ea7a2,0.0393894633185623%,ZkPengz Holders,
0x09CD6679698d84d8D3D93C4Ad5865241aCd274b5,0.0393894633185623%,ZkPengz Holders,
0xc5D20b24c40a4d8489aF847eFd2eFd12EDF5b158,0.0393894633185623%,ZkPengz Holders,
0x4b467a052d6dbCF14643D257b7a6Dc1b6cfFb14D,0.0393894633185623%,ZkPengz Holders,
0x9618E8E62041fc707542FC96d7F39102a22566Bc,0.0393894633185623%,ZkPengz Holders,
0x1e906Ca27EA83D3D8990d22144806B338caE5DC1,0.0393894633185623%,ZkPengz Holders,
0x0f04e5BabDBFc03d214Af97e02F98054F1D84FB5,0.0393894633185623%,ZkPengz Holders,
0xb7d3B83b1d61c00700AC772033e04BE0CC5aB411,0.0393894633185623%,ZkPengz Holders,
0xB372454367E67aE57E9fe7C9aB60139cb61169A9,0.0393894633185623%,ZkPengz Holders,
0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,0.0393894633185623%,ZkPengz Holders,
0xCCCa16559E655Fd307924270218964d89F51BAA1,0.0393894633185623%,ZkPengz Holders,
0xE725f07Ba64E5110c34Ba9F8a58196986A698BC2,0.0393894633185623%,ZkPengz Holders,
0xfc981249f059CF4611925768394C8df2e3981629,0.0393894633185623%,ZkPengz Holders,
0x8Ef6EFd6254D199448DE3595636ea1E4C9e0411b,0.0393894633185623%,ZkPengz Holders,
0x355618B77024bE97D61454e5e9eacF70b587c550,0.0393894633185623%,ZkPengz Holders,
0x5e95b00EB048bA226e37f5FcBaB2eBd8B530C83b,0.0393894633185623%,ZkPengz Holders,
0x344b8D667494ACb1877d426C86c1F9B5500C1064,0.0393894633185623%,ZkPengz Holders,
0x091c2eB5fCC213cCf88fCb5137aD4d5F9f1Eafbc,0.0393894633185623%,ZkPengz Holders,
0x3489c8A6C08e46146816A17838c8E6CDbf92611F,0.0393894633185623%,ZkPengz Holders,
0x4349805202F7A75AD6FAd641e07404F525BD2a8e,0.0393894633185623%,ZkPengz Holders,
0x6cCeE5039482682289BAC2190c1b230e386C4D36,0.0393894633185623%,ZkPengz Holders,
0x89E5A1693F82e8EA8e8f5D762E555Abab6911F28,0.0393894633185623%,ZkPengz Holders,
0x2041D4605850fB3461B20a1eaB48E13b08f382dD,0.0393894633185623%,ZkPengz Holders,
0xa0530374627aFcA2870A6c004d6651C95977dD6e,0.0393894633185623%,ZkPengz Holders,
0xF4593FE2B6305f877dE9659603087Db239A54a63,0.0393894633185623%,ZkPengz Holders,
0xF1dDEE8315e66660D9CFF3BEaea349397190FF62,0.0393894633185623%,ZkPengz Holders,
0x64cd4a1B4B2B23d9fB444593A3bE8c0bab40876e,0.0393894633185623%,ZkPengz Holders,
0xe6265E9C7365246e71995E1a8a057eA663AdF4c1,0.0393894633185623%,ZkPengz Holders,
0xd559A875A32E026df59ccFA85fBB1315B8D582CE,0.0393894633185623%,ZkPengz Holders,
0x0ebb0493f5b29482be680ff1f84425dDB641316B,0.0393894633185623%,ZkPengz Holders,
0x2A9c71eD45C0906f0b9877D948a100bB08242410,0.0393894633185623%,ZkPengz Holders,
0x31115E093856fcD2D0Dbc774fD646B159bCB2127,0.0393894633185623%,ZkPengz Holders,
