Address,Allocation % ,Type ,Sum
0xBae8042aD03C08972bA7D3A85727806D46c1Fd58,10.0000000000000000%,Developer,100.00%
0x1fc200c8bedac1f0306b767f0c17b9a4658e5dac,3.3457232048222500%,user,
0x05b6ef41449dfdebe54c81fa272eaf8532c903f1,2.7973404103163500%,user,
0x804b8ff3b23b319208ab5e4053a02a2ba0364430,2.6920637708889600%,user,
0x9b55d80af9dd8d23c372915ad55c010799010b4d,2.4161268838044800%,user,
0x9498af223fa03a0ea9247bfb330600eec2ddc23b,2.3575188854406900%,user,
0x629f0448a05c75055645439b80895f8da88085a2,2.2926943305720500%,user,
0x5548f5663162a4926be858ccd90534c2351d0976,2.2909705895618100%,user,
0xc6e5e156425c9f7f342871ecc84098298e0d883b,1.6413835339339700%,user,
0x5232f14c6969102c1afda0c8d81758ea638c0a3b,1.6154592624227900%,user,
0x5acbf849a459ec897f0fed745a447a438d473f9b,1.5908397579839500%,user,
0x9c48c15556719b287ef1286f6375fef24ae4d666,1.3795216494342700%,user,
0x57696a563b66dfa0c180747217d0edcf17a9cd51,1.3735532742687000%,user,
0x2f927703d66375ded4916e3aecac586faca50c96,1.3095541077686200%,user,
0xa49dcfd59f39dfada7eb11f60f173187b5401a06,1.2606624703027500%,user,
0xa0872ab22a5126488a824ad0697f94ac5d5d70dc,1.2500000000000000%,user,
0x4fe089747595276074a3219917d9278bcbeb4b0d,1.2500000000000000%,user,
0x47515585ef943f8e56c17ba0f50fb7e28ce1c4dc,1.2430964041702300%,user,
0xfdc2d24f9f289143f0b69c18cdd487a1cea09336,1.1334980269610500%,user,
0xd5fb864acfd6bb2f72939f122e89ff7f475924f5,1.0910899787274900%,user,
0x809b4aac3e60e8f52dd3b3a81cbccb2468843cff,1.0838397449135700%,user,
0x30e3f18ce444eb6d33b413194f3d3275c9aabe5d,1.0608794688495100%,user,
0xb331968ac5e886fe5b1fc6463c3a87e549d2f71a,0.9785037484163730%,user,
0x4d4bb76233b7d882fabfb9897b1bb32c13553528,0.9687222996074460%,user,
0x1c60e0ce49823428c942f55258a948dd5f405799,0.9512818716769140%,user,
0xdf2e60af57c411f848b1ea12b10a404d194bce27,0.9049738820915310%,user,
0xe4bdfd2578205a89de369912046c8e2dc0b03099,0.9024295918053040%,user,
0x6d38a78f402e38909a375820a732678bddf9b801,0.8955872967939900%,user,
0x4122691b0dd344b3ccd13f4eb8a71ad22c8cce5c,0.8350765244522370%,user,
0x101f40257d468c27a6c94ea34f5a4968597e9423,0.7501749112487370%,user,
0x9d66439af927ff88561c21807bbec38130aa58c7,0.6983664682790930%,user,
0x9ba508f14f98882df2cad6534219a9c65400a320,0.6983664682790930%,user,
0x1f137f133df19d65669165a0963fe72485c7fd0a,0.6949806949806950%,user,
0x20429dbc45141ef39dde9c8ffed10af88c60bbd0,0.6922598533336790%,user,
0x014d3239e6a0b9cb825527c8c365472a3e271028,0.6922598533336790%,user,
0x0c3b6ff6b8543c8ea07423126df362e3e7727e44,0.6707693601450720%,user,
0x046c9a6eb9a66ff345124412714016cd19cc1083,0.6627397378137630%,user,
0x80e151f1074c0d1cdca8546bee30934a4e6d1af8,0.6457867263236390%,user,
0x00e72b3b34c6d8faa5c62251884949bbd093ad42,0.6457867263236390%,user,
0x57fb054732068abc075e72b26b8ace60c1d28dcf,0.5944164608375600%,user,
0xf523a09fe24116ddf4f82525fa4384074bd936a8,0.5913638090414080%,user,
0xb3d8edaf090070d2691ebbf38c408f33b7c83a26,0.5913638090414080%,user,
0x65f6e8e791564307a10fb902902f0dc41fe0a32f,0.5698467396782800%,user,
0xbd89cf0460052b7bf10931becfe384a78d873a03,0.5680386208306130%,user,
0xca319aa4e349ea1aebe8f84c93da593d5ef9553f,0.5519606027220910%,user,
0xd8d76b05cf1915d3addb00d913f3be0f7c4257b0,0.5393946199315330%,user,
0x15b874846c72535791805b075bdfa62294fb6187,0.5393946199315330%,user,
0x4089e9e284364fbb9e3cdb9c30b8eccfd642a9d4,0.5297427320182690%,user,
0x13021a4e6c9083a6cd63c3f7d7483db8e5781c70,0.5229546317934310%,user,
0xaf4a5d3f972195dcf3d1a3e703d213912fe49c28,0.5185146795885050%,user,
0xaab2885b4a57e83dba3ef63d7bd9e5508712a17e,0.5185146795885050%,user,
0x2627c39dabac510f47f2a692225e70c9b6249276,0.5185146795885050%,user,
0xc0a177953f12f0a22eb4046ef8d06c0cf5e50b02,0.5179041267429260%,user,
0x778c029675d3e2435cf4c207e981d37c2174bec8,0.5023595023595020%,user,
0xc81a19158726927cb0f2e618967532487711ac45,0.4970241863998990%,user,
0x68b94d6de74617b32d08eb37ff17c9d38e43c8e6,0.4970241863998990%,user,
0xa2a3fd7ce8322ae5d3debc37023fae11ce900d5d,0.4694270782658780%,user,
0x999e73d7ee3f825361ad3bcb34c1b7c0b68b52a6,0.4627262962567730%,user,
0x9ac84446ddfa4d41b6a78da7ea23ec6749dc1961,0.4605996216734470%,user,
0x61ea15dd1043e458a15d595d24979e4c75d7310f,0.4492650672122300%,user,
0x880e14298dd46418806f7b5e12b92aa9873bb5d4,0.4330025135394260%,user,
0x23459a1ab5801cc49f5bcf67a3f108b001ee9f1f,0.4330025135394260%,user,
0xcb046c54b21f1b52e1d1bb60fc2576ce2171ce89,0.4143591196625870%,user,
0x7ce15d2199b01cde1d130d519cb068155ad35d8c,0.4115120203508200%,user,
0xb9b8ef61b7851276b0239757a039d54a23804cbb,0.4053914317104220%,user,
0xbdd93fa3ff5aff250650a1e3622b224bd74bd2e5,0.4026845637583890%,user,
0x959ebe8861481e0bc21b37444bef96167bad5834,0.4026845637583890%,user,
0x2d7f3c73eebbde5f467961679bbfbcb3b3de2582,0.4026845637583890%,user,
0x33601ba677e4c1c1524f3cd74b08c3b8b60f048f,0.3856052468806440%,user,
0xf1461d743244beebe421ac0b446ce224722b7507,0.3750874556243680%,user,
0xb4222aff43de9f9bf6b7039a134a7e924af45ccb,0.3750874556243680%,user,
0x96f52fadecd9efc75f673bfeab2ac4f764759cff,0.3586498977026990%,user,
0x671ca68ef5615bbcfce2a525d3fc55b18b4d5ed1,0.3535969624357620%,user,
0x813266906953c1709ec68e0577110fdb12b687a2,0.3474903474903480%,user,
0xed2c95209938ec8d2430ff39252f13ed07992904,0.3171723977093100%,user,
0xb4ce0c954bb129d8039230f701bb6503dca1ee8c,0.3171723977093100%,user,
0x4daea5f3bc56feade3988c878e72670cc330b1bc,0.3171723977093100%,user,
0x1ff2914a2f9faedb1361bd405354d6887f9292f3,0.3171723977093100%,user,
0xec54e1f538cd167a722b6277bcc564f5311873cd,0.3161963024421280%,user,
0xd1fcab35033c962e0c0b479b12940ffee9dcc1b8,0.3134415385584130%,user,
0x3e796e617d13486aa5bc2a1172dceab3c738c9af,0.3084841975045150%,user,
0x47d6071b8f8745f53e3573fc9dd459be5cf2aed1,0.3015996460681620%,user,
0x73a9adad422b9daa7d80c0395cbbb6d13371d792,0.2972115908835030%,user,
0x2432da6cb6492a01fc04a4bd70d9eadf51739fa1,0.2966816717112430%,user,
0xfca9bc93b1b0c9d6beaacfd815e34ee65265b61a,0.2956819045207040%,user,
0xd098fa04e7f398a0d67dd799acb1226131f2fe72,0.2956819045207040%,user,
0x608e27d8269984ecf03b3584b4c2e573c129f9f6,0.2956819045207040%,user,
0x3ea79ff8d4ca7158001f77e664ca6c559a4eb9c3,0.2956819045207040%,user,
0x60215d79243992b5d495954daf0cdf43f8fbc99f,0.2895752895752900%,user,
0x163326840045c23e97512f75f0390a0d1b1ca98a,0.2859412877002270%,user,
0xbc8df28d979664d31878682afe3af2864dc3d590,0.2851877851877850%,user,
0x263a13fbe5416661d8ff67c5d98624d1553900ae,0.2715979586241690%,user,
0xdc869cbd2d6f3039ab2c89b921b0a90dc783dcb3,0.2592573397942530%,user,
0xd0a4116352091748bae29646a800a17ecdcc79e4,0.2592573397942530%,user,
0xcd125c95230c4d416eb017c654c92ab9bac51198,0.2592573397942530%,user,
0xc202ce374b9875bf2cdb01d638317ec0f32784fc,0.2592573397942530%,user,
0xa7b56b5dfce40a22d0ac8c872fbc0ae64d2e05ac,0.2592573397942530%,user,
0x98d81cb144d206e03a31e8445b466b2e1b854af0,0.2592573397942530%,user,
0x8b4325040c343a48312edd48de00b00d3e880dc5,0.2592573397942530%,user,
0x7dbd0f75aa91c757ae6564d41dd59669023d57a4,0.2592573397942530%,user,
0x7bc153e86a595112bb3d604b343cd62e32e72d5a,0.2592573397942530%,user,
0x6ec3df47a65b89b72292c1b6354023e7caaebcf1,0.2592573397942530%,user,
0x6cc2cbab663d700ac27057db79901da1e6bf6ad2,0.2592573397942530%,user,
0x311e36517b6e24c168d2b2a1c36f7bdf905cda69,0.2592573397942530%,user,
0x30c469826a1114ebe19c928d64dcf5294e452446,0.2592573397942530%,user,
0x22b8756d3f6730ba5ea77fe364fcaee02d3dfc5c,0.2592573397942530%,user,
0x0c3781153730d9363e5fd50c5bee4ff9e510c5f5,0.2592573397942530%,user,
0x0c093853e346b0e57a8ccebf820dcf0498ba0b23,0.2592573397942530%,user,
0xec44dd6d210d930dec3d7f397f20c416c876b635,0.2419396172759730%,user,
0xfc26116d1b039e8489f9d1c664855556684d9847,0.2372952992463980%,user,
0xe6c7b62017d4ab7603df50a917f8505498b696ee,0.2316602316602320%,user,
0x33bd61af24582c8742264d6a06f876fba211ef60,0.2316602316602320%,user,
0xfc1c57294ae40f7a06bdd911eaa3ce0821212f3a,0.2272727272727270%,user,
0xd69401e5b2f93eb66e585711ec4cefd6e8c8346d,0.2272727272727270%,user,
0xb1018c09c81a2e4d66dee7720e24399bd5ce124a,0.2272727272727270%,user,
0x81729475e0b6b3ba9ff5d22d176234c699087636,0.2272727272727270%,user,
