Address,Allocation %,Type,Sum
0x26B2ec4E02ebe2F54583af25b647b1D619e67BbF,10.00%,dev,100.0000000%
0x561ada4b0243f1d83df80d1653e9f76e84128b0b,0.019%,cross-chain fETH/xETH/FXN user,
0x1dd50763ebf30966922c428177b090a90a634de9,0.005%,cross-chain fETH/xETH/FXN user,
0x38a93e70b0d8343657f802c1c3fdb06ac8f8fe99,9.252%,cross-chain fETH/xETH/FXN user,
0x2184d88114f300050841b82d7c344049278d5d82,0.103%,cross-chain fETH/xETH/FXN user,
0x3ff8788f9172d77a9688939bc00442c7be9042bf,1.021%,cross-chain fETH/xETH/FXN user,
0x11d67fa925877813b744abc0917900c2b1d6eb81,2.014%,cross-chain fETH/xETH/FXN user,
0x272f697ffde25f7c412168986993aa9367d8f716,0.015%,cross-chain fETH/xETH/FXN user,
0xc8be49a9b1ca1a1cc654491a7cbbd27abfa06a81,0.527%,cross-chain fETH/xETH/FXN user,
0x4736a8f509a07500146320a80e170818e739c11e,5.609%,cross-chain fETH/xETH/FXN user,
0xd927877464ca61b6dc6318c16499cd2ad3359cae,0.967%,cross-chain fETH/xETH/FXN user,
0xf3200849ac675cf41e47e70b744ad38f64ee06de,4.684%,cross-chain fETH/xETH/FXN user,
0x8c8868c77e0546b34f196595f0e727bc1add2e4d,0.759%,cross-chain fETH/xETH/FXN user,
0x6808a2ab42dfb5e5d5b5c17a001810f79d6ef6f0,1.333%,cross-chain fETH/xETH/FXN user,
0x225bbdf071c6800f1e5c8682088ec66f56d56a78,0.048%,cross-chain fETH/xETH/FXN user,
0xc693b4ffb338579467a541b2bf267b1955870920,0.123%,cross-chain fETH/xETH/FXN user,
0xa9d12e95b35e44a6fde3a9879e99dd89e06db5f0,1.040%,cross-chain fETH/xETH/FXN user,
0x905deafb182b9f6b4d289822306c3cfdd6f40d54,0.139%,cross-chain fETH/xETH/FXN user,
0x8eb5d539c301665189f8743696b60ec97639020d,0.494%,cross-chain fETH/xETH/FXN user,
0xda603487d8a7f1c410743871507051880538863f,0.055%,cross-chain fETH/xETH/FXN user,
0xb888f9f40f6007c06681306bba976f5e25691e1b,0.334%,cross-chain fETH/xETH/FXN user,
0x3e909f4eba38ddc71aa72e1ba3be7edd312818c2,0.141%,cross-chain fETH/xETH/FXN user,
0x602695c0a8ab763a4823a07e3f40abf0d251b671,0.100%,cross-chain fETH/xETH/FXN user,
0x84afb4b60844f8759154d6ff7b0580daa2d4e37d,0.064%,cross-chain fETH/xETH/FXN user,
0xdcd50bbb34e9c3395602e941a829fd9f2d3696c6,0.028%,cross-chain fETH/xETH/FXN user,
0xffab14b181409170378471b13ff2bff5be012c64,0.336%,cross-chain fETH/xETH/FXN user,
0x445bab4342fafcfee8baaec5bd7d6030770d4011,9.970%,cross-chain fETH/xETH/FXN user,
0x04db146c32441277a78624daee1ed085acc04257,1.366%,cross-chain fETH/xETH/FXN user,
0x241e25c9d15b5e7fb007b5e028c4ce8694893870,0.352%,cross-chain fETH/xETH/FXN user,
0x632090e3e6c5677b0753a6b25d7c2d5ab2b134b9,0.196%,cross-chain fETH/xETH/FXN user,
