Address,Allocation %,Type ,Sum
0xE0cb07602f7B3386E91Ede8Ea8C021024869b7B7,10.00000000000000000%,Developer,100.000%
0xe9a3dab9115b9a3dc437abd29fd2faf68ee3a7d5,19.36673596845670000%,vdUSH Staker,
0xb836984b5a3fb2e996009ac6845e70f57172ab2e,9.13721818589771000%,vdUSH Staker,
0x076a3a0f275cf990cf7822566c49da93f5d6bb39,7.82681551436345000%,vdUSH Staker,
0x561b085ac5ac9319a146b7b6bab43a1ce77044af,4.56005033630757000%,vdUSH Staker,
0x421a9654c9b65c4138fe9b1e613bddef92b6507d,2.92639564224204000%,vdUSH Staker,
0xbeae5e4d8a920a10f8b4db1384b65d0c9a99f164,2.87051970023006000%,vdUSH Staker,
0xf0c512ebc3f5bf8acb2a78ffd8a3e8db763b0ee0,2.75913259006449000%,vdUSH Staker,
0x6c83e54f018f32272d8035131fd612ae1410a4a9,1.04758160952365000%,vdUSH Staker,
0x805ec14309d962e00cfb754f40b146573c394fa3,2.08966240082183000%,vdUSH Staker,
0xa4a62f7127c644aaef733029e0d052e411fdafb4,0.90753470679318000%,vdUSH Staker,
0x8f10ae3ffd993bfb0a71e58e1bb606439dd5b301,0.74250722988735000%,vdUSH Staker,
0x416679287b3f618a2d9e4f88a089430c91b0d11c,0.72282095208379000%,vdUSH Staker,
0x53dcb1143f7f2da6c9e182d4d42ec45b0ffa5726,0.64315103918354000%,vdUSH Staker,
0x96e725c53561a1b88eeaf2bea2fe9f7d69c26c7e,0.38342427716741000%,vdUSH Staker,
0x2829419f7cde7054237ca8610ce29e39bcb0af30,0.29257583041345000%,vdUSH Staker,
0x8bc8860fc86e143c93c1404f56765d375569b918,0.19431694798535000%,vdUSH Staker,
0xda94699666c454a04f34bfb40e57bbd8ab6614ab,0.29437138217726000%,vdUSH Staker,
0x39bc15cfad775d69a0ecd019e5e10700f4736381,0.15512779169272000%,vdUSH Staker,
0x1297ca257efeec6f07d44951e8d7aa8aba10e73c,0.13813340455033000%,vdUSH Staker,
0x8832d07a813a17df7275e6b402efd514125605c7,0.11863337321605000%,vdUSH Staker,
0x734082cce1b9c15958db1d6bbd2fcb9fe0d685e6,0.10576016145171000%,vdUSH Staker,
0x74995e3d24051ae3c579fb6d17245c89cfddbbd4,0.08729038535926000%,vdUSH Staker,
0xfa816a79a11fe6605fe9c2973b4e00e0998b1ea1,0.07880073679913000%,vdUSH Staker,
0x989b1d5211fae2b1d9b000aad488ebfe27e42867,0.07789504736510000%,vdUSH Staker,
0x31e015e65b5fb16b8f3f415a435da19af5b3efd4,0.06461169952296000%,vdUSH Staker,
0x5f4252e5d5239733913ddf4d1dfb12391eafc65a,0.06454093308178000%,vdUSH Staker,
0xfda1215797d29414e588b2e62fc390ee2949aaaa,0.03953674677926000%,vdUSH Staker,
0x64baeb02876aa58078aa25c1c43b7a5492873559,0.03510302921238000%,vdUSH Staker,
0xae368dd77f680f1517d5f118edb020d0e4e519d1,0.02712640764311000%,vdUSH Staker,
