Address,Allocation %,Type,Sum
0xd9b68d44640dccad2c6481d951406bdb5f65d1be,0.2320%,Token Holders,100.0000%
0xf52647fcc0e9ea5136b1a8426f9975e212f26f81,0.2320%,Token Holders,
0xe9ca5757aa58e3f852d8d6c20581fc4c39769549,0.2320%,Token Holders,
0x00e47611b289ab4ff414a04e98fb772dd3624b24,0.2320%,Token Holders,
0x0817e382a40d484a8b90c792b399667174e50ab8,0.2320%,Token Holders,
0x7f3988ea0275cf4741bbf9080fbad248805f9956,0.2320%,Token Holders,
0x0ffd5a9659b011b448fbdeaceee480879bd60af0,0.2320%,Token Holders,
0x805609a40c898606180a3b903f8fe4404bd7e94a,0.2320%,Token Holders,
0x94b764bd9f21bacba12487c4f67b6baa7be3a538,0.2320%,Token Holders,
0x14669df8bfcf56ca60dbc3397b8e8f0c0ad23062,0.2320%,Token Holders,
0x176ed68af6ca10dcf41d1106aeee02d6a61c8e86,0.2320%,Token Holders,
0x9992989f0746319472414087034be8a128ac73da,0.2320%,Token Holders,
0x9a54e31807c6c8eafdd012a412f1851e77fe7843,0.2320%,Token Holders,
0x1c6f2c47a35d9e4c8db9cd73f7a6607a74619633,0.2320%,Token Holders,
0x9de283325d8d0d21ab6fbba0fa2e58d301751051,0.2320%,Token Holders,
0xa0b4ce2799eab91219ebe2748029b1571d83d5fc,0.2320%,Token Holders,
0xa3442905c5c0de9d29e2cd660c859e91d7b5226e,0.2320%,Token Holders,
0x2687b8f2762d557fbc8cfbb5a73aee71fdd5c604,0.2320%,Token Holders,
0xb2eb076154cac8a66617d16b612a7146d4e9104a,0.2320%,Token Holders,
0x2bd1bc5d7c79771cd9d6c4ee0d5cf7774ac4dcad,0.2320%,Token Holders,
0x2dcf5b89f688444b8432628453b823cea61a2ea2,0.2320%,Token Holders,
0xbed9471da2c8d9e8aa5878e9b0b4637809435314,0.2320%,Token Holders,
0x3b20f950e122307897e961f3781f6c1263ea1b47,0.2320%,Token Holders,
0x3c610f624464c4188fde1d35ef7d4d7ee69e8a9f,0.2320%,Token Holders,
0xc181dce4ec51db655fb4d3ca5e7c859333e641d8,0.2320%,Token Holders,
