Address,Allocation %,Type ,Sum
0x30304ec65dbc9B7Ff4953430D55Aed94A6fb6E70,10.0000000000000000%,Developer Address,100.00%
0x1cc17bEBC19a719ef566f18e663F109CAfe0C095,0.0798722044728435%,Early NGT/Bridge,
0xA2f72827B6651451E4322D9eBdC6Deb143984E3E,0.0798722044728435%,Early NGT/Bridge,
0x85BD6874CE656b3ab058DF04d1b64f30b15d350d,0.0798722044728435%,Early NGT/Bridge,
0x6F5473Bf6f4518037784206000f4d5347c48e98B,0.0798722044728435%,Early NGT/Bridge,
0x0e7b5b45151724623DA0fb1aCA1ABA9A6db72be7,0.0798722044728435%,Early NGT/Bridge,
0xbA9cEC4917442Fe599D50518D815c340A6CA7BCe,0.0798722044728435%,Early NGT/Bridge,
0x9BD38a429329F60Cb364E7C55dF0A3659F5eA14c,0.0798722044728435%,Early NGT/Bridge,
0x8c17A41FBb2048D0a89f6E1Ce419F63597fb016e,0.0798722044728435%,Early NGT/Bridge,
0xfa064303225f44e3B5Ecd36b252f09544760c47B,0.0798722044728435%,Early NGT/Bridge,
0x22088c9D80680579d0c7B274e3423de31253ecFC,0.0798722044728435%,Early NGT/Bridge,
0x5637B33926CbeD5Aec52d74098885aC25526a226,0.0798722044728435%,Early NGT/Bridge,
0x0bD697f329380614e2e301c97F1f7a4D6e565d7A,0.0798722044728435%,Early NGT/Bridge,
0x69D5e2c06fc96268436241838f8DdC91526AFae8,0.0798722044728435%,Early NGT/Bridge,
0x12c358466a44ef0737752837e66eff306BE57519,0.0798722044728435%,Early NGT/Bridge,
0x50F598A6Ff43DD8bBd408B012945A3154765c529,0.0798722044728435%,Early NGT/Bridge,
0xd6869a76Cd6466FC1EE9886eaCf2607e5c654bBa,0.0798722044728435%,Early NGT/Bridge,
0xA9954C3495f24A0C620A1f6eb2CaE02Fa0a43b10,0.0798722044728435%,Early NGT/Bridge,
0x7ad9095b430289826CA6BCa92436e7394228260e,0.0798722044728435%,Early NGT/Bridge,
0xf686DaDD8dAeaAFb73174D81d4D2583F4e4EeC07,0.0798722044728435%,Early NGT/Bridge,
0xf4c8b4719d95C267946CAaCfd0deC75C36049ebB,0.0798722044728435%,Early NGT/Bridge,
0xe737Af091340265e74a295C8fD58765139b91F03,0.0798722044728435%,Early NGT/Bridge,
0xe2058B12b5Ee90e205585F1E8cA7FBD0c4A59d28,0.0798722044728435%,Early NGT/Bridge,
0xC81DDf8e6858BC2d22942c4c3A0BeCD47D7b2172,0.0798722044728435%,Early NGT/Bridge,
0xC01b0295c9e91Ec0ad263D6E9fC2568fCD36E6da,0.0798722044728435%,Early NGT/Bridge,
0xBDD4bec6B9753b5610b8004EE93aAc879FE8BE80,0.0798722044728435%,Early NGT/Bridge,
0xB68AE443AF138e3b6813249955d0ECc4dEc56992,0.0798722044728435%,Early NGT/Bridge,
0x8fAe606416Ef3E4890B180F755c18FEddFc65A8C,0.0798722044728435%,Early NGT/Bridge,
0x67616EeE4cddCf9c6aDBbf9EC1784E995eD3591c,0.0798722044728435%,Early NGT/Bridge,
0x55a42029c2fC6004Aa3D507aaCDF2279C0CA790e,0.0798722044728435%,Early NGT/Bridge,
0x550AaF8fFC6ab135406F182B696db426B0a8c5c5,0.0798722044728435%,Early NGT/Bridge,
0x51Ef9b54d986bc80d738A57Aca12Fe67948bB277,0.0798722044728435%,Early NGT/Bridge,
0x4B4Fee73C4CB327Cc3703C6d8D40bDf25bE4eC82,0.0798722044728435%,Early NGT/Bridge,
0x44E29D523c702c364a36657e3Dc049Af623E5fb7,0.0798722044728435%,Early NGT/Bridge,
0x238551D50E1E579E2129f17959d29389B04aFB86,0.0798722044728435%,Early NGT/Bridge,
0x138176c72Fda650BE9dAD7b865A993189Ed32B28,0.0798722044728435%,Early NGT/Bridge,
0x0a343ed7165a7699a7d1515EACaF621A511416dc,0.0798722044728435%,Early NGT/Bridge,
0x0008c341B19e00d0d2b539cb3c118B1B5eEe09D4,0.0798722044728435%,Early NGT/Bridge,
0xfAEeB52E892AAa7F68ab9C97cC9C27b1201348fd,0.0798722044728435%,Early NGT/Bridge,
0xf7C4a377866B1029734431ff654E24658716B812,0.0798722044728435%,Early NGT/Bridge,
0xf642afB0415955adD9eC399F2C3014C7e00843B9,0.0798722044728435%,Early NGT/Bridge,
