Address,Allocation %,Type ,Sum
0x2A41CB35CD0D68e7e4E46D5bb521fa5E256a7109,3.33333333333333%,Developer Address,100.00%
0x4A8C673bdBC78132D46d5Abd9191debc9c10eBB6,3.33333333333333%,Developer Address,
0x112e5Af0B8f74B60bA7a4F2C167Ba2B1d47c87dB,3.33333333333333%,Developer Address,
0x08401f583b504c0f05338cc633677b3b112d624f,0.03561253561254%,zkDX OFT Holders,
0xe8730ed65a2b014e33894d5722c1c22e463dafee,0.03561253561254%,zkDX OFT Holders,
0x4a8c673bdbc78132d46d5abd9191debc9c10ebb6,0.03561253561254%,zkDX OFT Holders,
0x07e1a3d089c2bfd793ed3021e035b1e6032d325a,0.03561253561254%,zkDX OFT Holders,
0x4e8730f175811c3079c411309db823e62a4f9598,0.03561253561254%,zkDX OFT Holders,
0x4a8c673bdbc78132d46d5abd9191debc9c10ebb6,0.03561253561254%,zkDX OFT Holders,
0x4e8730f175811c3079c411309db823e62a4f9598,0.03561253561254%,zkDX OFT Holders,
0x07e1a3d089c2bfd793ed3021e035b1e6032d325a,0.03561253561254%,zkDX OFT Holders,
0x37f75717c18f7ebb8364584327a376ed17c38551,0.03561253561254%,zkDX OFT Holders,
0x9ec6ee1a217a29ec4284b5cc2ef3e5930e21ea0e,0.03561253561254%,zkDX OFT Holders,
0x949e8fe0e9f9eb64013babd22cec00024214ea4f,0.03561253561254%,zkDX OFT Holders,
0x040d4f1d4981b84f25b643d755b0f1ad134dc7a8,0.03561253561254%,zkDX OFT Holders,
0x4b6bc4dda1d78145d76171162f579b99ed8e499d,0.03561253561254%,zkDX OFT Holders,
0xf96de976c6d8fc4ced5f7e4ee9758fe5b47af3d3,0.03561253561254%,zkDX OFT Holders,
0x8387054ee0eb13c2b5f2a2cb5ee53e96f46f2429,0.03561253561254%,zkDX OFT Holders,
0x82136fdcfe323b530def65c3efb797aa31b01a3e,0.03561253561254%,zkDX OFT Holders,
0x066fd8c9f83354f84794ee3e69dd9b37ff30e076,0.03561253561254%,zkDX OFT Holders,
0xa1f667afc5a6f37674cb12ce4b4a1ab0a9df8a51,0.03561253561254%,zkDX OFT Holders,
0x5e0ebf3f3e186048696baf8775bde77ce1a07974,0.03561253561254%,zkDX OFT Holders,
0x770e6bd22063975c78fd30170e49def6e4f575ee,0.03561253561254%,zkDX OFT Holders,
0x7b7b59b7ad3803cd12263cceb705517bffa8ba55,0.03561253561254%,zkDX OFT Holders,
0x49d262f5eb8bf1239f2cedf242841e65f68aa65b,0.03561253561254%,zkDX OFT Holders,
0x2b4aac20893c8c04090d9a5f054651aa770a1d66,0.03561253561254%,zkDX OFT Holders,
0x6c324f8eb16e46230bce1c693d5c1bf5917f2c22,0.03561253561254%,zkDX OFT Holders,
0xda0ce609b06c109ccf037090c8f68b74e6d4f9ea,0.03561253561254%,zkDX OFT Holders,
0x17ed82b128d78c250c4bb34293a31980e6636917,0.03561253561254%,zkDX OFT Holders,
0xf42e8a88bc44786578b81e3d7aec87bfb54cb0c1,0.03561253561254%,zkDX OFT Holders,
0xb460a692f22d61e49b933717827ecd60a7f3acc5,0.03561253561254%,zkDX OFT Holders,
0x3d1a7ddb600c1668750723f1c8a4807c6e3bee84,0.03561253561254%,zkDX OFT Holders,
0x1fcde6a54e87902f2d44af17ced808cd75091dde,0.03561253561254%,zkDX OFT Holders,
0x40cb82e42449fb36e5adac4f4604f608a60065da,0.03561253561254%,zkDX OFT Holders,
0x2dd22ad6e0c2770a331d712f897954bee3ef9765,0.03561253561254%,zkDX OFT Holders,
0xa142da0409c403683324cc13d7119884ce29b9ab,0.03561253561254%,zkDX OFT Holders,
0xcbaeafd91b5dec9d803acfbe82d5e85e43c1262a,0.03561253561254%,zkDX OFT Holders,
0x450f959b1dd494f406a7b9ce10213f82ef1d1312,0.03561253561254%,zkDX OFT Holders,
0xcfed16d91a2ca502173b229731197b1c5c548f4e,0.03561253561254%,zkDX OFT Holders,
0xb10424fae59f2568389c1c5a2f7e2ebaadae9d86,0.03561253561254%,zkDX OFT Holders,
0x6932fca8528bdb3de4e3ea77496a03fe093c96be,0.03561253561254%,zkDX OFT Holders,
0x4424d0d4b9dc4d09c099fde8ef5275325df052dc,0.03561253561254%,zkDX OFT Holders,
0x8ba099790596e7b28f1798adebab1c7cacf226c1,0.03561253561254%,zkDX OFT Holders,
0x2531bc154e221fb966bced89b9ad7950c8181553,0.03561253561254%,zkDX OFT Holders,
0x01bec13383d934f7734fb83b4661572186541bd0,0.03561253561254%,zkDX OFT Holders,
0x15468a60889549b0f7a542c99fbae163aeafcaf6,0.03561253561254%,zkDX OFT Holders,
0x30a106fed41fec406a989914bbfc66fd9c305276,0.03561253561254%,zkDX OFT Holders,
0x3508f9ea2b39830836689189210378c194162e92,0.03561253561254%,zkDX OFT Holders,
0x9ac38c6a216aa5d46698c34a5c7f5031c27d93e7,0.03561253561254%,zkDX OFT Holders,
0xd990518ffd8f4cf7d2e9e5919105159269e36dc1,0.03561253561254%,zkDX OFT Holders,
0x0ecd10a52887b1532e2610400ae879a263cd332d,0.03561253561254%,zkDX OFT Holders,
0xfa55b547ad481bd0413b965712dfd5c9c018acf9,0.03561253561254%,zkDX OFT Holders,
0xa4e78a618a28fa2de03aef017459ca26278ff884,0.03561253561254%,zkDX OFT Holders,
0x20d7535349e9e997dab46479b5a8e8fdcce3cd61,0.03561253561254%,zkDX OFT Holders,
0xabb3639ac7ea3fbd7e9bfd4d8fd46cad6c3056f6,0.03561253561254%,zkDX OFT Holders,
0x2245c733dd052343b60f44130a25c9f574a696d4,0.03561253561254%,zkDX OFT Holders,
0x8c90ffc94a5817223e5f9e623f27641c264312f2,0.03561253561254%,zkDX OFT Holders,
0xfe3aeadf7dad188ebf9b879b51448bb15ceb4808,0.03561253561254%,zkDX OFT Holders,
0xe0eae41369c6a568fe121d3e34301a48c9b7e483,0.03561253561254%,zkDX OFT Holders,
0x7f343f66eab7bcadc76929804203b214071f631a,0.03561253561254%,zkDX OFT Holders,
