Address,Allocation %,Type ,Sum
0x720986753900A12884773858F63F98713FDf1FfF,10.000000000000%,Developer Address,100.00%
0x720986753900a12884773858f63f98713fdf1fff,1.304347826087%,Bridgers,
0x3704bd27db79ed6ca94a83ca64f256697ddfe9a9,1.304347826087%,Bridgers,
0xd25b89ba3a2b221c6823e88a1ba3310cc707e88d,1.304347826087%,Bridgers,
0x6a61e31aa186ef040b71c306433582c228b35723,1.304347826087%,Bridgers,
0x8c9e0cd547f1f21e8fe306d044e6bb11a294f794,1.304347826087%,Bridgers,
0x08493630967083ca4d781ce77952b1f39ead6ffa,1.304347826087%,Bridgers,
0x07b6e641f71c9ea084528ed14c7d8973f2d419f4,1.304347826087%,Bridgers,
0xe36fecf528d9a204f06a1d8425fef09d5fd6103d,1.304347826087%,Bridgers,
0x52641eb20f3eae1b39c47f6033df63e6580cd68c,1.304347826087%,Bridgers,
0xd397236e68c9cd0e0ef948648f74e09550515810,1.304347826087%,Bridgers,
0xc1181b317ca5c88488781290bea16c924ce11b2e,1.304347826087%,Bridgers,
0x1d8d3417d1d41aac899a43c3592eafc504634171,1.304347826087%,Bridgers,
0x1c08da208334d239276a07461a7f094b6037fa76,1.304347826087%,Bridgers,
0x30f89f5f4cf25f457b4d9cbfb64a64a97f00bed0,1.304347826087%,Bridgers,
0xeff618648fc7a3cd502d1c5f01dffdafdcd31b9d,1.304347826087%,Bridgers,
0x196746a83fee9336aa34d41e1d6cbefe870b8ef2,1.304347826087%,Bridgers,
0xa567d32be56b25ba07df3b918f07d3f67bfa36fb,1.304347826087%,Bridgers,
0x6199e12fefa543f881fffea02b1646055c77e079,1.304347826087%,Bridgers,
0x82bc3b47a8f66d892ad494273673cb9203c7451f,1.304347826087%,Bridgers,
0xa364a74338630f52546c5d5d94599c0074c2cbd8,1.304347826087%,Bridgers,
0x277effae0451d72aa4cdde895426f44f12c13fb0,1.304347826087%,Bridgers,
0xcd5cc13ea8a115e450119c02cbfe4e2216b88d54,1.304347826087%,Bridgers,
0xf8c12506896d72e5c4c216cfb033af46a0fb5ffc,1.304347826087%,Bridgers,
0x08e5e4df2f56be734ead5c80a3b2377616210a62,0.102564102564%,ZKE Stakers,
0xd25b89ba3a2b221c6823e88a1ba3310cc707e88d,0.102564102564%,ZKE Stakers,
0xd397236e68c9cd0e0ef948648f74e09550515810,0.102564102564%,ZKE Stakers,
0xf7b3e7e00f7b6d0e259ffb82f2d5a130dfd021f1,0.102564102564%,ZKE Stakers,
0x5583bbda575f142993c10a335daf29dc7510e8f2,0.102564102564%,ZKE Stakers,
0x15926b9b2ec810fda5203619571b03f1338e040b,0.102564102564%,ZKE Stakers,
0xda73d6978f5ef5e150d8ac351821fab7095c2f94,0.102564102564%,ZKE Stakers,
0x07b6e641f71c9ea084528ed14c7d8973f2d419f4,0.102564102564%,ZKE Stakers,
0x3704bd27db79ed6ca94a83ca64f256697ddfe9a9,0.102564102564%,ZKE Stakers,
0x03b0e4a19f357a112be59d658ec4e2834d510f39,0.102564102564%,ZKE Stakers,
0x8d9004e297950cac958729153fd7bb707d691338,0.102564102564%,ZKE Stakers,
0xbd65ca9efead86eb46adc10b0473d4a370c324c8,0.102564102564%,ZKE Stakers,
0xd84819d9732e0ac368f11e0dddc498d44f6af7a3,0.102564102564%,ZKE Stakers,
0xc0e86a3bdd4007c187be8d64a17ae7bcb26e0eea,0.102564102564%,ZKE Stakers,
0xd59df9a9dc3fc2fd918de66df7d9d609368f00e7,0.102564102564%,ZKE Stakers,
0x1a5cb0c69c2e607ccb6dd7fe7bcf394636a4215f,0.102564102564%,ZKE Stakers,
0x4ae50051b8dc10d8501041e2eea93341db29b52c,0.102564102564%,ZKE Stakers,
0xd041a3b8d6ed093770819185f0c453b1356208f5,0.102564102564%,ZKE Stakers,
0xdad29981b5feefeeaf3ef92e678e53c5620a1fd8,0.102564102564%,ZKE Stakers,
0x6a61e31aa186ef040b71c306433582c228b35723,0.102564102564%,ZKE Stakers,
