Address,Allocation %,Type,Sum
0xdfB53265FdC8eC0e03abeb8bcb8fA0Ef6748DBae,10.00000000%,developer,90.64%
0xe386d28ced10a8fddea6ac1ad8ed0a897d6a8611,0.07400000%,zkrank ONFT 3times or above,
0x3355fa2aa5d9d46f40505f5f3b3cd173b195c547,0.07400000%,zkrank ONFT 3times or above,
0x315f3e637bd94a97893bb4d455e1b6dba6056978,0.07400000%,zkrank ONFT 3times or above,
0xdfb53265fdc8ec0e03abeb8bcb8fa0ef6748dbae,0.07400000%,zkrank ONFT 3times or above,
0xdd5fa00481b382ee857d09fb20e89c80e508d95f,0.07400000%,zkrank ONFT 3times or above,
0xc4036eee5a4ba4807322c6016105902d0b5de77a,0.07400000%,zkrank ONFT 3times or above,
0xd989a010bf4fbf98ef6833295a8de1def4de9d65,0.07400000%,zkrank ONFT 3times or above,
0x008978d821be50d22d3e32707b2482188b903c9b,0.07400000%,zkrank ONFT 3times or above,
0x6193a8e08f9eab479347063c6394f9c8bde573f3,0.07400000%,zkrank ONFT 3times or above,
0xb7399172f2836299b99b4860926460b28dc560b5,0.07400000%,zkrank ONFT 3times or above,
0x0d882a0de0c54b96d2b3fe06111a841eca455985,0.07400000%,zkrank ONFT 3times or above,
0x0bd58759f4bc7937ab3ed46bf5222215ec9a51eb,0.07400000%,zkrank ONFT 3times or above,
0x636dfaf3c78ca8646071d2e256e7969dae54c985,0.07400000%,zkrank ONFT 3times or above,
0x1260655b5d9bc0e6097abe51a1f0beafa3363762,0.07400000%,zkrank ONFT 3times or above,
0x4fb1b7dae157660541a7118260db644ec8809a9f,0.07400000%,zkrank ONFT 3times or above,
0x62ec7a6f4bf184bcd4ccdb2ff5e9053689c4728a,0.07400000%,zkrank ONFT 3times or above,
0x2781179acf264278b88601186e0edafa54bcef6c,0.07400000%,zkrank ONFT 3times or above,
0x2f88252c15e4b4bcd5054cc2df0ea546d0f2506d,0.07400000%,zkrank ONFT 3times or above,
0xe337a5df1839d44d2807d7ca2a5b91ea810193ba,0.07400000%,zkrank ONFT 3times or above,
0xf064fe3437346b288f518cccf9b95d760046aeba,0.07400000%,zkrank ONFT 3times or above,
0xfa348e826ccf7d3d7290cc6901123c2c495a8437,0.07400000%,zkrank ONFT 3times or above,
0x6af6800ea87a9be435225c6571bb4a75a5d67bbc,0.07400000%,zkrank ONFT 3times or above,
0x7755105a2e67f78b73be043d9c6c8c1b3d6ca619,0.07400000%,zkrank ONFT 3times or above,
0xd511d2a6d1c8837e58140ea28835d3ce266400a7,0.07400000%,zkrank ONFT 3times or above,
0x17e904c68630bd396fdfd053e17e6e27ab90e0a7,0.07400000%,zkrank ONFT 3times or above,
0x3f1fdd14140058733ab79b25794915cb9ed1fd6a,0.07400000%,zkrank ONFT 3times or above,
0xb581d86e72839838b530a1717cf07f4cd4b9a352,0.07400000%,zkrank ONFT 3times or above,
0x39923277243c892bf9969fef398aa9b58a69c4bf,0.07400000%,zkrank ONFT 3times or above,
0x42465f5ce19f70cfa13a6e431feb07808abb949d,0.07400000%,zkrank ONFT 3times or above,
0xf1502280661e10bf46654292598b5dcb8b1c9132,0.07400000%,zkrank ONFT 3times or above,
0x95392dc35486a3ca341e8bcd9538cd2898a40cd8,0.07400000%,zkrank ONFT 3times or above,
0xdfee880b5c02559519cc3bf10d858e30375f4408,0.07400000%,zkrank ONFT 3times or above,
0x9ccc59a857aa40de3267fd04622c16ce960a9d23,0.07400000%,zkrank ONFT 3times or above,
0x9b2d11cbff3c5ec7e1b6f6910367463adc9f1b75,0.07400000%,zkrank ONFT 3times or above,
0x1125ffa2d8036d26e58e74772e5432dc182c1560,0.07400000%,zkrank ONFT 3times or above,
0x4a66a0d48e6277758e01368d6414dfbc2c0ae759,0.07400000%,zkrank ONFT 3times or above,
0x18b1837a5bf42dcd7b5820dc85680b00524f900c,0.07400000%,zkrank ONFT 3times or above,
0x654a88180083a3473e537e7297d874f14091dd12,0.07400000%,zkrank ONFT 3times or above,
0xf5498109198c8f641d9ab5f15258a762b375539d,0.07400000%,zkrank ONFT 3times or above,
0x9da7204d31857018871451ace14e5217d62728b4,0.07400000%,zkrank ONFT 3times or above,
0x49dd734193330f1a34579e20f70f863a824081a6,0.07400000%,zkrank ONFT 3times or above,
0x6cd08f886094b820b7f47ac1b8bbb841e4431757,0.07400000%,zkrank ONFT 3times or above,
0x2cd68ff4e20f1ba5799748061a6909c8ebae9978,0.07400000%,zkrank ONFT 3times or above,
0x70e97ab7b7b74ee5d1e08925e9a526ee94368488,0.07400000%,zkrank ONFT 3times or above,
0x0d878d33b1a4188ab4026d846332a5baadf90fb3,0.07400000%,zkrank ONFT 3times or above,
0xe8ee476659b02b54953b05ef60b3d098d43bf3c3,0.07400000%,zkrank ONFT 3times or above,
