Address,Allocation % ,Type ,Sum
0xEe78e5db6A70Ae0e529e888050d942aE135F365a,10.0000000000000000%,developer,100.000000000%
0x0078f430a1d66fb48a240924ef86a63fb91190fa,0.0458248472505092%,ONFT holder,
0x00ddacf50dd02c8391a0e9aafb134a8e230ec1a0,0.0458248472505092%,ONFT holder,
0x022014caebc84c5767f06dc321889df845da1446,0.0458248472505092%,ONFT holder,
0x023c638b2181be451030dee5b050eedb5a4a8ba7,0.0458248472505092%,ONFT holder,
0x028f9d0574768976ce9a0f09420f203807eaddf9,0.0458248472505092%,ONFT holder,
0x044e018c1ce5f8043d334b310b7815ac8d65b35f,0.0458248472505092%,ONFT holder,
0x04710b1a4d60e7d999f25a248bb501c5f6df4763,0.0458248472505092%,ONFT holder,
0x049a3740b3b6150539d989c70e8c39069881f502,0.0458248472505092%,ONFT holder,
0x04c8849418e8608cbf6c3f48417ed1947ee757ff,0.0458248472505092%,ONFT holder,
0x04c9bf686ae32cfbb04c85ee5b98f46f77beed29,0.0458248472505092%,ONFT holder,
0x04d6ad6484cf24cff40f293cd9de612fd24b3b57,0.0458248472505092%,ONFT holder,
0x04f3a0f58351dad3dd79f84b19bbe9b9638c016b,0.0458248472505092%,ONFT holder,
0x0573b2f29ab41d9bdfe769b634ee8cb6cfef92d6,0.0458248472505092%,ONFT holder,
0x0613bbff0637f01675fcf83eff030ec9a1dbe8c8,0.0458248472505092%,ONFT holder,
0x0616e58efa3185c6f0cf09e2cbed72a8d97920db,0.0458248472505092%,ONFT holder,
0x0691178ded562464562231b0ea12807f7ded2a3a,0.0458248472505092%,ONFT holder,
0x06a17cc77285cc0958446ef4a25d4c35b92d39e1,0.0458248472505092%,ONFT holder,
0x06bbc9df84a5ab0d4edecd241be0f289601415ce,0.0458248472505092%,ONFT holder,
0x06fcb0c1c7219cda16d77db44eea83a3d98f9d26,0.0458248472505092%,ONFT holder,
0x0702bada307a55a54a9676c71f2d0f1581de0e58,0.0458248472505092%,ONFT holder,
0x0749c360ac26e0d223a4704be812ce0eb371e1db,0.0458248472505092%,ONFT holder,
0x07900c85840450ccb4e3f7a914f25155586feeb0,0.0458248472505092%,ONFT holder,
0x0797e9e4f02ac298121a88bebd39560c47cd5490,0.0458248472505092%,ONFT holder,
0x07a1c874b6e7ce35e26f51e8168a495e0d5d0c28,0.0458248472505092%,ONFT holder,
0x080cc932a246898ce34d8183db8aa7c66548579a,0.0458248472505092%,ONFT holder,
0x08338a68ec670d9a4619045171ea6b79de7e93fc,0.0458248472505092%,ONFT holder,
0x0bd6c507d0e2d5c5c2bfb6a82e98c6490fcadcf7,0.0458248472505092%,ONFT holder,
0x0c3e86ead44cad97f9805d601e70aa7187957ecb,0.0458248472505092%,ONFT holder,
0x0c60147ba93f43985c1845a69d0ae030a52fe8fc,0.0458248472505092%,ONFT holder,
0x0cfe815ca9b814ebcccc0ca8907847531e0d8ae5,0.0458248472505092%,ONFT holder,
0x0d06dbfe8013ca3cdab5e12094e5138f7e482c8c,0.0458248472505092%,ONFT holder,
0x0d5e51cacbf9a71d1ecfd34a57bdcb22f41eaac4,0.0458248472505092%,ONFT holder,
0x0d9ea69faed1d0e763d6d1a7d39f26cce2cfa358,0.0458248472505092%,ONFT holder,
0x0dfd6ce69ab23305590753c1aa230fc8b6c59a1d,0.0458248472505092%,ONFT holder,
0x0e6ee2295622db05a29f29bf6f61e05a9c5406eb,0.0458248472505092%,ONFT holder,
0x0e7783627e9011e9b22c8c3a7912428c8f1dbb5e,0.0458248472505092%,ONFT holder,
0x0ea3b39cbd08539dbf2fcdb4f957368103e0263d,0.0458248472505092%,ONFT holder,
0x0eaa221995754dc224f9958019bf3e40f540af77,0.0458248472505092%,ONFT holder,
0x0ed94ddc597721a976d86a5d2be11d0d445dffb9,0.0458248472505092%,ONFT holder,
0x0eefac3b6db2a8040c0f2b0e220b451df0894a86,0.0458248472505092%,ONFT holder,
0x0f05b1753409d67b71fcfee8c2e29197817ca736,0.0458248472505092%,ONFT holder,
0x0f54e5f33eecfeec2963c15a3995993db62f1228,0.0458248472505092%,ONFT holder,
0x0f7b4d31d0b8814a936ba4b76a377023fcad0059,0.0458248472505092%,ONFT holder,
0x0ff8b18165cedf92e19350ee275e11dfa81b34e5,0.0458248472505092%,ONFT holder,
0x10103d79ac194eb0c4cc75742bda65c18dff335b,0.0458248472505092%,ONFT holder,
0x101726bcf3c65d210027afb8f0d7c5e7b7a379ee,0.0458248472505092%,ONFT holder,
0x1037820c125add3beb6bd80d9c93cceb11226bd7,0.0458248472505092%,ONFT holder,
0x1037af4bce59ba1493092bbd593d1c374ebf910d,0.0458248472505092%,ONFT holder,
0x1060e3591850c16c0a0270c303dfc7081f5aa67d,0.0458248472505092%,ONFT holder,
0x109e7db544ca0d5091af3558ba62501b78c7dfd7,0.0458248472505092%,ONFT holder,
0x10e8b73b62db0be4f2df2f60d0abf84374d89234,0.0458248472505092%,ONFT holder,
0x10f12c2d71cfd9247095a7ab2649551d30d65ff8,0.0458248472505092%,ONFT holder,
0x1102dd27ff59b95c5e6fa60e5aa04c4fd3958538,0.0458248472505092%,ONFT holder,
0x111172ecf556e961d814d4c8b6f574d75166417f,0.0458248472505092%,ONFT holder,
0x111963e3aaf6c5f14929ce3346d59f661ea21d99,0.0458248472505092%,ONFT holder,
0x13a7831838fa27d84b771d47cdfc3c704a3779d3,0.0458248472505092%,ONFT holder,
0x1638700e1f31762713a4cec162f4fbbe565b04df,0.0458248472505092%,ONFT holder,
0x16f8f5b08e2548572ace262ea7d3caee4af473a8,0.0458248472505092%,ONFT holder,
0x1751f6e895dfe67e21f9ca050f351f98bbf9ba30,0.0458248472505092%,ONFT holder,
0x175a4b2a50744fc7a9d3c3dcaafb4c372f9deb3e,0.0458248472505092%,ONFT holder,
0x17736ded6d80472e94db70095d87118bfdd682fd,0.0458248472505092%,ONFT holder,
0x17a5727fd8917e9c6afb92ecd69b697d68e2a192,0.0458248472505092%,ONFT holder,
0x17af104f70d200aeb31449d00f0d190c6608c4a1,0.0458248472505092%,ONFT holder,
0x17b7471163375e06af9d89105acb0493bd5e33be,0.0458248472505092%,ONFT holder,
0x17cf099c161e4d17b7a53893746c4f49a137ae91,0.0458248472505092%,ONFT holder,
0x17ddf49ef7724dcd11d0906d9803bf650a243c60,0.0458248472505092%,ONFT holder,
0x180333e4433f2e1122d725151af7e6db97d1c660,0.0458248472505092%,ONFT holder,
0x18319fe2fb3a5854a7573126a315c5609fa19380,0.0458248472505092%,ONFT holder,
0x18a9df2e073c2873c0ef37039b7d9d0a879a3690,0.0458248472505092%,ONFT holder,
0x18c9404e0f242c252a8bc6fe95731f3f4f6db84f,0.0458248472505092%,ONFT holder,
0x18d785a9bbc5e63b10f68b2aaabc5af52f01193d,0.0458248472505092%,ONFT holder,
0x18d921a71bec8ad785e1494c3603c2551345a530,0.0458248472505092%,ONFT holder,
0x18dfdad9855acfadc6beda2b7995ebd106fec2ad,0.0458248472505092%,ONFT holder,
0x1904354c0b249e4d71026e0204184cc659c5c495,0.0458248472505092%,ONFT holder,
0x1947564bd3904442e4c5177d606f6183bdedd5ae,0.0458248472505092%,ONFT holder,
0x1952b284adf24073ffba813374c3f4fb6d2d703c,0.0458248472505092%,ONFT holder,
0x1954bbbe9cfac3b477d1ff30fea66e059c1b7df8,0.0458248472505092%,ONFT holder,
0x1974f4c995c38fcda40436f1da00f83d1fec3ea8,0.0458248472505092%,ONFT holder,
0x198a0a2fa5b012e4646e7240ddfb16529967d72b,0.0458248472505092%,ONFT holder,
0x1992ee55e6bcc2b7d718ef9c5835443eb4408839,0.0458248472505092%,ONFT holder,
0x1995b2b6e375f58c91ee4b77f9f1f4c1a5141559,0.0458248472505092%,ONFT holder,
0x19bcd035b8dcb25f3da228a0203e63df4c343707,0.0458248472505092%,ONFT holder,
0x19d5c52dc9840356fb723cb8d0a47781bf31029a,0.0458248472505092%,ONFT holder,
0x19dfa4f775a7bb1013f3dd0530c2fb8449eee901,0.0458248472505092%,ONFT holder,
0x1a3fe764af57c4bf49e7183b2e4b7aebcad335f5,0.0458248472505092%,ONFT holder,
0x1a427b5373942fe5759c61e7c8280c3d0706b0ee,0.0458248472505092%,ONFT holder,
0x1a43b0b9af247a155ed2a570f7f049bc0dd9175d,0.0458248472505092%,ONFT holder,
0x1a4ceeb7fec7daba0baa26094c50da5b494c954e,0.0458248472505092%,ONFT holder,
0x1a7cd13efc7a65ccc1a77fa35b6aef83ce3eb1f9,0.0458248472505092%,ONFT holder,
0x1a81b0acba1e882f04d898a1d0b8d17c9958fa20,0.0458248472505092%,ONFT holder,
0x1a84c9fa4da985f2f084424efb991455dfdb08a8,0.0458248472505092%,ONFT holder,
0x1a8537b57e8a06bc38d5ed73358b8fcd0e99007d,0.0458248472505092%,ONFT holder,
0x1a977057ce63f0d50e2b5903dc20cfba5d9fd3af,0.0458248472505092%,ONFT holder,
0x1ad319adec1cba188c49c0051eebe6a4588056d6,0.0458248472505092%,ONFT holder,
0x1b04f9953b228bb9be9066623dd2dd4131da4f75,0.0458248472505092%,ONFT holder,
0x1b305b3e1c52e8bcaa54d56b4371befb7424072a,0.0458248472505092%,ONFT holder,
0x1b4756b794e374e4f14a05812766e7d002767ad5,0.0458248472505092%,ONFT holder,
0x1b593384279c9e0a14d52f95f22d728c336cb021,0.0458248472505092%,ONFT holder,
0x1b65c657b1aa577229b13025a59476a98f6e43f6,0.0458248472505092%,ONFT holder,
0x1ba80837e0ed071c416a695e037e07f218ff2139,0.0458248472505092%,ONFT holder,
0x1bc7a873301bd807a52e835cc2929873bfe46690,0.0458248472505092%,ONFT holder,
0x1bfeb28706e4e7ffa87ec29d1d92ee158c669460,0.0458248472505092%,ONFT holder,
0x1c358bb8d34df3f4cdf91d8a6c1ca04642fb44d5,0.0458248472505092%,ONFT holder,
0x1c57a69ce1d769472b957af689ec61c8c9d31e2a,0.0458248472505092%,ONFT holder,
0x1c58b9d5f67b6b719c313adc74b5c4e21045f2f6,0.0458248472505092%,ONFT holder,
0x1c5e865ba6abccb8a3fe8e4b6359dcbdf2654012,0.0458248472505092%,ONFT holder,
0x1c6465f165b1069cd9cc7010ea4d0a02ad138394,0.0458248472505092%,ONFT holder,
0x1c676ba79150ce1a6532842ed3e622815a77d6e6,0.0458248472505092%,ONFT holder,
0x1c84a956c9e3decdae576bffd80663b0d303c83d,0.0458248472505092%,ONFT holder,
0x1c8c366deb70bded8742f8da1d465c49e20c2a27,0.0458248472505092%,ONFT holder,
0x1c8cb93e072b3d4a56be030060d2d11c8e79cbcd,0.0458248472505092%,ONFT holder,
0x1c8e5251f709974bf028f732340049c5a05f81a2,0.0458248472505092%,ONFT holder,
0x1cbae694dd965d512a8d9e5fca6f863d6dfb136d,0.0458248472505092%,ONFT holder,
0x1ce0f1e85b9539c9bcbe9fe60e5acf336628b91d,0.0458248472505092%,ONFT holder,
0x1cffea39f9794a30d976e4964f494ac50bb774a7,0.0458248472505092%,ONFT holder,
0x1d491191f64e08830f07257ca7006fd85385ed55,0.0458248472505092%,ONFT holder,
